QRA,LRA,CRA,NWR,ATR,ETR,FAT,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,STF,STD,DER,LER,TFD
1.516632689,4.084282234,0.273830242,1.431305217,0.460226949,0.671702995,0.856116565,1.080862927,0.44118674,0.201518343,0.155247181,0.104279997,0.071448937,0.42579585,0.628666042,0.067044887,0.162495472,0.331132479,0.459503832,0.314835646,0.562502058
4.788771712,4.788771712,1.16439206,0.606631191,0.115512323,0.266030014,23.82636656,0.479953365,0.475573549,0.270040486,0.249932524,0.066489553,0.028870286,0.240674056,0,0.243150463,0.08883011,0.08883011,1.303008545,0.565776551,0.228853254
1.811161506,1.811161506,0.186460351,3.206141954,0.291520829,0.377623127,10.43511605,1.435928782,1,0.443653722,0.294808638,0.11132656,0.085942858,0.203019002,0,0.102950703,0.024163938,0.491611467,0.295356478,0.228011896,0.430680634
0.638508371,1.188869036,0.044007677,10.81061668,0.523519655,0.910381151,1.089738722,1.717422766,0.213492797,-0.019957217,-0.014325765,-0.013041907,-0.00749982,0.304828645,0.462927915,0.037016421,0.246518592,0.603384078,0.73895532,0.424940294,0.323463938
1.038993442,1.721284919,0.053770946,7.010321507,0.888266687,1.778637357,3.281687022,2.937595702,0.262470831,0.061747723,0.057655485,0.1025482,0.051213447,0.302378808,0.396384973,0.031238841,0.283813642,0.350925681,1.002368639,0.500591459,0.328966435
1.109280236,1.474288419,0.234573051,4.498942846,0.589802381,1.115256568,1.090380634,1.447339925,-0.053435947,-0.157458023,-0.149013843,-0.166188667,-0.087888719,0.40750785,0.247582616,0.159109336,0.457291044,0.586672189,0.89089453,0.471148729,0.457291044
0.569842789,1.072972023,0.066674482,24.62382865,0.499192167,0.944653009,1.163956211,1.674648118,0.225080642,0.013069479,0.003823711,0.00361208,0.001908766,0.298087796,0.468911791,0.06214,0.189124742,0.589140089,0.892363447,0.471560285,0.323877032
1.118639995,1.196688105,0.003055549,21.11770524,2.439360437,11.34750664,58.12780269,3.470913942,0.299776829,0.253153327,0.176374156,2.001406909,0.430240139,0.70280061,0.065220094,0.002553338,0.698161022,0.748107942,3.651836798,0.785031151,0.751429746
7.041814596,7.047534517,3.280078895,1.519519911,0.528656855,0.57374021,4.022274022,1.30390977,1,0.553981541,0.402876154,0.231146249,0.21298324,0.405439753,0.00081162,0.465422182,0.374584838,0.732129964,0.08527905,0.078577994,0.589025271
1.241418108,1.915469467,0.22490293,6.632956112,0.34337611,0.372619127,2.87356149,3.170120381,0.107161724,0.074562987,0.03799577,0.01415795,0.01304684,0.108316426,0.351898775,0.117413999,0.471746702,0.720547723,0.085163089,0.07847952,0.471746702
0.781341174,1.45429153,0.096143843,6.112563164,0.359813851,0.596442139,0.562675435,1.909442237,0.244266167,0.09651409,0.082020687,0.048920594,0.029512179,0.188439244,0.462734151,0.066110433,0.297793208,0.326605234,0.657638423,0.396731549,0.971187974
1.001481945,1.712311606,0.284365475,4.923247684,0.254549457,0.375736093,0.367333108,2.04804222,0.245733342,0.04195102,0.035235459,0.013239234,0.008969167,0.124289165,0.415128682,0.166071102,0.165767274,0.225049812,0.47608287,0.322531261,0.933545245
0.617699628,0.804647118,0.146804502,-5.508407517,0.20947509,0.513544044,1.341200554,1.337335655,0.123047226,-0.212695277,-0.234377806,-0.120363326,-0.049096312,0.156636136,0.232334754,0.182445819,0.265830223,0.328769952,1.45157572,0.592099077,0.81045025
