year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1993,5,Manufacturing,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,-Inf,-0.500180120264915,-0.371338051349572,0,NaN,NaN,0,0,0,NaN,0.346967051846926,0.257591342988808,0
1994,5,Manufacturing,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,-Inf,-0.522088772845953,-0.242952954898911,0,NaN,NaN,0,0,0,NaN,1.14892950391645,0.534652021772939,0
1995,5,Manufacturing,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,Inf,0.408621861547651,0.256483516483516,0,NaN,NaN,0,0,0,NaN,0.593190665485778,0.372333548804137,0
1996,5,Manufacturing,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,Inf,0.421666977438001,0.27269767385773,0,NaN,NaN,0,0,0,NaN,0.546280067126608,0.353286625586359,0
1997,5,Manufacturing,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,Inf,0.529243111167606,0.324652146038017,0,NaN,NaN,0,0,0,NaN,0.630185161645693,0.386572750428861,0
1998,5,Manufacturing,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,Inf,0.581911195385952,0.374543119942536,0,NaN,NaN,0,0,0,NaN,0.553656079639725,0.356356909933446,0
1999,5,Manufacturing,2.08218150997522,2.09862759160256,1.33562068066241,98.6981460023175,0,2.52738008693975,0.958412332273763,1.46361433775517,28.4966543994647,Inf,1.32307871538969,1,0.645917594641715,0.441518493950796,0.646212798130456,0.423156769529382,0.724380432642268,0.00783658887033513,0.636425769873015,0,0.992518581301343,1,3.7136010799865,0.527115265653997,0.345168640468086,0.992518581301343
2000,5,Manufacturing,2.37834111158252,2.37834111158252,0.766885871871023,78.1600633914422,NaN,3.03618314736437,1.11364136724153,1.51746100119996,25.6402391473876,Inf,1.75958613923204,1,0.609607859040126,0.431091465763702,0.654164487246546,0.480081289339242,0.632899602020943,0,0.322445703072738,0,0.999872719558761,1,4.07982494826475,0.362604227562229,0.266109684157046,0.999872719558761
2001,5,Manufacturing,2.36515408992789,2.36515408992789,0,303.204747774481,NaN,3.43768398741736,1.0832759077657,1.40836916969897,21.4573708525829,Inf,1.98421251929743,1,0.63359757291055,0.462262673713055,0.651036497960084,0.500758017492711,0.545947521865889,0,0,0,0.979286271988242,1,4.42159541046305,0.300101995809902,0.230829578584681,0.979286271988242
2002,5,Manufacturing,2.34383770742036,2.34383770742036,0,161.728979591837,NaN,3.62959841711857,1.02883167329643,1.30384536916992,21.9326912432193,Inf,2.0810277095019,1,0.644050515349438,0.441125995618773,0.575160086608007,0.453844396207015,0.494386340267752,0,0,0,0.998350485006647,1,3.73071750190047,0.267313374882362,0.210930278449986,0.998350485006647
2003,5,Manufacturing,2.11988712711637,2.11988712711637,0,51.344387755102,NaN,4.82997768232104,1.00722124637812,1.23769347608184,23.2897477435779,Inf,2.5515650156565,1,0.669806727281761,0.468837879465395,0.580277584754362,0.472223473304408,0.394746455684167,0,0,0,0.992878258532653,1,3.91861174897538,0.228819865081757,0.18621107257778,0.992878258532653
2004,5,Manufacturing,0.743819614235262,0.743819614235262,0.163814180929095,70.9093395857757,NaN,-10.6902910333451,0.847921982037551,1.2281935523172,20.9027761778597,Inf,3.68186429672916,1,0.356789762863929,0.277933615126449,0.341356274070514,0.23566602181288,0.230296913112962,0,0.220233747260774,0,1,1,5.31761806981519,0.448467947720027,0.309613928841787,1
2005,5,Manufacturing,0.941415225276712,0.941415225276712,0.260768145184805,78.7892281594572,NaN,-36.986860441967,0.677839640402212,0.986407921633173,26.3450085082246,Inf,2.30171217602458,1,0.359598460586161,0.263169793040342,0.259592768589556,0.17838691787919,0.2944936588783,0,0.276995886813023,0,1,1,4.38315181734681,0.455223127770846,0.312820157324032,1
