year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1996,7,Manufacturing,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,-Inf,-1.45541553676822,-0.304200933540787,0,NaN,NaN,0,0,0,NaN,3.78438879140745,0.790986885974661,0
1997,7,Manufacturing,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,-Inf,-1.34298821624539,-0.206130056606379,0,NaN,NaN,0,0,0,NaN,5.51524691913286,0.846513875465967,0
1998,7,Manufacturing,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,-Inf,-1.95739331340038,-0.445119218704124,0,NaN,NaN,0,0,0,NaN,3.39745854851862,0.77259592353932,0
1999,7,Manufacturing,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,Inf,0.0733007121747977,0.0253867579448975,0,NaN,NaN,0,0,0,NaN,1.88736010852187,0.653662874593107,0
2000,7,Manufacturing,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,Inf,0.52258064516129,0.265710748916856,0,NaN,NaN,0,0,0,NaN,0.966727530939339,0.491541159480091,0
2001,7,Manufacturing,1.28478443984991,1.2998315338081,1.01271153993415,252.084782608696,0,14.8076873962457,1.42356089716046,2.09542998608576,20.2442388268156,Inf,3.41568234704999,1,0.333600669202046,0.226743935356462,0.475126041309023,0.32278380004174,0.416772039235425,0.0115761878111285,0.779109841232437,0,0.998430201393675,1,3.56830550687206,0.471963714559352,0.320635427280651,0.998430201393675
2002,7,Manufacturing,1.17799949956212,1.19010384086075,1.05436006505692,263.783400809717,0,21.4394537676867,1.55192577948217,2.50623148824864,25.6969039637152,Inf,3.42467805519054,1,0.341035538604394,0.186280302972166,0.46686156094934,0.289093204392254,0.453159612223995,0.0101708278580815,0.885939553219448,0,0.999687226323033,1,3.93866879376052,0.614917105819902,0.380773170092657,0.999687226323033
2003,7,Manufacturing,1.16198136290281,1.17275756155969,0,198.732016925247,0,21.229621817086,1.31696716484872,2.05478912675728,17.8967356789026,3.12162970511997,3.1273110642548,1,0.40328315625865,0.27678298947488,0.568730677244356,0.364514108927086,0.421118058865865,0.00918876928198868,0,0.421884492798325,1,1,3.81798024591816,0.56025783118474,0.359083644112946,1
2004,7,Manufacturing,0.925657423231711,0.935139754120955,0,239.938943894389,0,-61.7947301317467,1.40204227253442,2.15635473824707,20.0888366952197,2.74588786282175,4.28601326455416,1,0.33689126084056,0.220910160037963,0.476360670324781,0.309725382805569,0.327120376441547,0.0101400147383935,0,0.510597060978902,1,1,3.42145700914996,0.538009787928222,0.349809079338142,1
2005,7,Manufacturing,0.342182619878743,0.353205952599669,0,633.279661016949,0,-5.3065615679591,1.07243880911889,2.098041692988,3.05369621184259,2.26507229244339,9.71742522756827,1,0.308824119796058,0.192815180590683,0.404534287920264,0.206782482652717,0.110362445195502,0.0312093628088427,0,0.473467806169677,0.610445657917914,0.63918736421819,3.12894041081961,0.956327647925879,0.488838180526554,0.610445657917914
2006,7,Manufacturing,0.241520808531118,0.260518250208972,0.0315104232630006,838.477419354839,0,-4.45173665821744,0.795178658835046,1.68929212051889,2.41505927825473,1.43692368927316,12.6362664073894,1,0.0865624326736635,0.0511218491274507,0.0863597369173577,0.0406510034263338,0.0629282917278512,0.0729217306757414,0.120952843947496,0.553389623103279,0.396770166231244,0.456372968349016,2.87136294027565,1.12441833259677,0.529282917278512,0.540378702055349
2007,7,Manufacturing,0.197440656442317,0.207424050014653,0.0305949008498584,375.957186544343,0,-3.03041806349832,0.695527707844191,1.25729187973001,2.56094156858661,1.16318324171405,11.5793538664406,1,0.0660658217963526,0.0961053539182352,0.120832481079975,0.0668439365223049,0.0600661933184351,0.0481303569746633,0.147499293585759,0.59795196741252,0.499689775245331,0.648116492560937,2.58415526566974,0.807680507261199,0.446804899437074,0.499689775245331
2008,7,Manufacturing,0.322831904616857,0.332948957834733,0.145467995300466,460.240143369176,0,-4.18823184056884,0.902152683125606,1.73499527090934,3.02668238067177,1.69794380165289,8.3909690910279,1,-0.106512884811576,-0.122945010786016,-0.213309012295636,-0.110915171357511,0.107514718900614,0.030386198784552,0.436907795857021,0.531320696390181,0.598193899654587,0.672706516011943,-7.61949860724234,0.923172544250777,0.480025854679838,0.598193899654587
2009,7,Manufacturing,0.314466715131374,0.318741994668882,0.193928064527296,486.210526315789,0,-3.75537996392185,0.791759292490478,1.22735576444016,3.34089778943086,1.31122643601686,8.02650013575889,1,0.373511582593635,0.296621292487551,0.364059853190288,0.234852664677555,0.0986431544382724,0.013412978550095,0.608417051316861,0.60383109335076,0.652851148609895,0.872007727835301,5.72044347735986,0.550154449131431,0.354901089011854,0.652851148609895
2010,7,Manufacturing,0.777944162071101,0.78281090265079,0.596722869361132,257.494488188976,0,-10.8398965791567,0.654850634188931,0.955885533892608,4.06809643470256,1.14015061711178,3.00750455239392,1,0.337932468549132,0.214477490535689,0.205015930548654,0.140450720696547,0.217738867150736,0.00621700664005739,0.762282266816267,0.574354496994261,0.590113691278582,0.883218455121194,3.21848788443616,0.459700096460203,0.314927770146062,0.628125238446473
2011,7,Manufacturing,1.29593082703781,1.29593082703781,0.905929536497474,830.937853107345,NaN,9.86756122106676,0.290239856967929,0.32980822704196,7.92478042998006,1.13196772095636,2.25329584887738,1,0.421530365253338,0.272685550327722,0.0899339378935472,0.079144215124339,0.128806812968004,0,0.699057015695978,0.256402944708277,0.0167528846707404,0.828457698349384,2.83201242491378,0.136329897924403,0.119973872176927,0.0167528846707404
