year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
2002,1,Insurance,NA,1.66419491525424,0.0431206380857428,Inf,NA,1.98527066328924,0.653318925594319,1.44079798461224,5.31016311166876,27.5533854166667,0.792339087130715,0.751240489579888,0.268701857190114,0.18023722886442,0.259685436099952,0.117752392713801,0.824544612534733,NA,0.0259108099000262,0.0237110219203458,0,0.906513020392024,13.3161592505855,1.20535167154627,0.546557579499846,0
2003,1,Insurance,NA,2.07862447529868,0.0346033796146809,Inf,NA,1.26812353440104,0.578040071865548,1.15568590005911,9.07102069950036,34.2547169811321,0.658045307443366,0.824212141480112,0.574576071133493,0.422512491639454,0.488291729186559,0.244229151031362,0.878419867640035,NA,0.0166472491909385,0.0168747583634668,0,0.845481845481845,4.66283524904215,0.999317964806984,0.49982943303541,0
2004,1,Insurance,NA,1.88763124939794,0.0834216356805703,Inf,NA,1.72375061045092,0.638070943638774,1.27999838826658,11.7134955752212,5.16788677403612,0.810568753030032,0.792898290679007,0.556048729813958,0.393584537413039,0.503787573535337,0.251134857188768,0.787189169646085,NA,0.0441938200096961,0.123468444944362,0,0.831544376802307,3.80607627666451,1.00604400032235,0.50150644759571,0
2005,1,Insurance,NA,1.87656002812445,0.0227632272807172,Inf,NA,2.19972928259889,0.736059853720727,1.31761808954686,18.735269000854,3.44519472361809,1.02751563122029,0.786817995350745,0.625621040156798,0.460526915538539,0.606798594636798,0.338975374085755,0.716349057236798,NA,0.0121302952954125,0.213648258739851,0,0.864885409144464,3.6358940397351,0.790096393501697,0.441370864926525,0
2006,1,Insurance,NA,4.44622370936902,3.04039196940727,Inf,NA,1.51099244052986,0.82818261299274,1.45908116796143,18.589590443686,3.84623532527143,1.17115519002311,0.775760774773948,0.404461376049938,0.301762518933309,0.440296008572194,0.249914471433459,0.707150188162846,NA,0.68381443853142,0.215322917854563,0,0.367840344630533,3.90516286284068,0.761753281542995,0.432375413388072,0
2007,1,Insurance,NA,2.275831680987,1.04791804362194,Inf,NA,1.86949576929719,0.544121527385126,0.972621507501572,17.5252934034804,1.2656359597849,1.04803969022265,0.759912250317515,0.539060154716545,0.377208174575684,0.366880783397718,0.205247088092276,0.519180268134243,NA,0.460454985479187,0.429919459208162,0,0.517796030116359,3.86298196260136,0.787530320725901,0.440574465679068,0
2008,1,Insurance,NA,2.30232271579077,0.503912266650237,Inf,NA,2.44573753429842,0.649015767801547,1.25001208955946,6.22267693789119,1.79994429357287,1.38344617196072,0.509187976324036,0.189949321056907,0.138554682966459,0.173195028773152,0.0899241739479763,0.469129757959225,NA,0.218871256924188,0.360575474540524,0,0.423796965978224,5.04365690806369,0.926036075245418,0.480804961333735,0
2009,1,Insurance,NA,2.10198522864177,0.51977371536326,Inf,NA,3.19940108375321,0.790503482213114,1.29537537768711,9.92758112094395,2.10412954453093,1.67731565700616,0.568363814645887,0.146087447443878,0.11537832979245,0.149458247531803,0.0912069714728646,0.471290826453075,NA,0.24727752996586,0.375691451254889,0,0.575255371079037,5.91280817799158,0.638690556378823,0.389761236449904,0
2010,1,Insurance,NA,1.64595453434368,0.463651918846248,Inf,NA,5.36221902671611,0.874099388077379,1.66445838325463,11.5788527537179,Inf,2.10440180586907,0.510013972985561,0,0.00293573838054509,0.00488641435854065,0.00256612712198974,0.415367153572839,NA,0.281691814185577,0,0,0.531450544311362,0,0.904198087720535,0.474844551914726,0
2011,1,Insurance,NA,1.51914191419142,0.266043270993766,Inf,NA,6.44317298862753,0.915180094311227,2.14262895800056,16.2421652421652,Inf,2.20184903565308,0.54953078407297,0,0.0245022803017015,0.0524992953114723,0.0224239991973513,0.415641617337213,NA,0.175127332416057,0,0,0.477599915934008,0,1.34121018509819,0.572870472559446,0
2012,1,Insurance,NA,1.52303175417593,0.548856963685081,Inf,NA,6.49490435446073,1.04579837832146,2.43726608994417,20.9262510974539,Inf,2.23044674439932,0.486855464652821,0,0.0328340675477239,0.0800253594290038,0.0343378145951069,0.468873951349644,NA,0.360371320020213,0,0,0.53923361871532,0,1.33053152545146,0.570913334971393,0
2013,1,Insurance,NA,1.38635350817832,0.303811048574777,Inf,NA,6.34872693096377,0.826626988541551,2.77699710361581,27.0792638483965,Inf,1.76928388594559,0.463565954068003,0,0.048179475274374,0.133794263290666,0.0398264545555679,0.467209923239515,NA,0.219143996666468,0,0,0.479840019007643,0,2.3594319349715,0.702330626321059,0
