year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1996,24,Banking,0.207394381352337,0.207394381352337,0,Inf,NaN,-0.303916777211478,0.167840166910506,1.13681736405316,1.85686186221769,22.3804627249357,1.16148828935666,1,0.0821145059601297,0.0347780585547643,0.0395363008531136,0.005837155152655,0.144504398751599,0,0,0.00749940557410831,0,0.817450045612986,1.73423180592992,5.77321397481284,0.852359603030608,0
1997,24,Banking,0.447841835246774,0.447841835246774,0,Inf,NaN,-0.40464225218299,0.102866844738795,1.39199475347797,3.39615465323681,1.82141098684673,0.498896051602363,1,0.10479243097123,0.0740915234601274,0.103135011933687,0.00762156124023371,0.206188933362782,0,0,0.056476459998125,0,0.497144087600759,4.76906854130053,12.5320059345905,0.926101126112885,0
1998,24,Banking,0.287194525573955,0.287194525573955,0,Inf,NaN,-0.429307088368213,0.143624253658274,1.85422573414262,4.31837902264601,11.3420986726772,1.06552324487107,1,0.0277495639117667,0.0249287906555676,0.0462236051546075,0.00358037895250924,0.134792229404298,0,0,0.0126629345946584,0,0.508747701139547,2.55307262569832,11.9102549667857,0.922542195907617,0
1999,24,Banking,0.186770709351606,0.186770709351606,0,Inf,NaN,-0.387921719088752,0.160563976340339,1.80889927128347,5.53764858070342,69.1084374048127,1.68907268991394,1,0.000890326732280515,0.0180048747592371,0.0325690048315341,0.00289093428485292,0.0950604300804366,0,0,0.00232336285365291,0,0.55854713997695,0.162640901771337,10.2659097794716,0.911236640486668,0
2000,24,Banking,0.209853704727038,0.209853704727038,0.0391375112247013,1.32730212091689,NaN,-0.112894633557318,0.0551648216690146,0.400176889457001,0.971880120099403,0.301931549452878,0.425073632021615,1,-0.151249455530998,-0.145014277187152,-0.0580313623716099,-0.00799968674049031,0.129777096280132,0,0.186499024525721,0.182706384175411,0.0043591358113897,0.717297191283793,-Inf,6.25420435251357,0.862148906840004,0.0043591358113897
2001,24,Banking,0.264280666385445,0.264280666385445,0.0430412738239371,2.9687089489454,NaN,-0.187210527491511,0.0862339441890816,0.662331974419937,1.92657975651108,0.616278606599319,0.521167160713916,1,-0.00480776401684458,0.0361999274112155,0.0239763693961287,0.00312166252002756,0.165463119493091,0,0.162861984618893,0.139926882526279,0.0053284357073215,0.719805120227452,-0.444393382352941,6.68064437521816,0.869802963542875,0.0053284357073215
2002,24,Banking,0.181074023918867,0.181074023918867,0.0367646540754655,3.84233221195844,NaN,-0.177861997763056,0.0968051296243486,0.658872011269689,2.1281771482103,0.889868884354796,0.804399256025339,1,0.0374596694222872,0.0536547847665301,0.0353516359533659,0.00519405839429047,0.120344628490431,0,0.203036599506611,0.108785834999206,0.0132839011194706,0.779083235167866,3.41145374449339,5.80616518252688,0.853073986299336,0.0132839011194706
2003,24,Banking,0.314714261813332,0.314714261813332,0.0387030770819475,3.36578967672248,NaN,-0.254794926997025,0.0953858223572438,0.66378777780821,2.35912522442623,0.938138432622375,0.554812256131372,1,0.0156840271410233,0.0909636897120851,0.0603805854552205,0.00867664634783639,0.171924504736712,0,0.122978465796074,0.101675636601532,0.0113006757015555,0.637962671204369,0.807982994803968,5.95897431215555,0.856300287793002,0.0113006757015555
2004,24,Banking,0.285781167350602,0.285781167350602,0.0753018865240339,4.28560785876401,NaN,-0.22395785234559,0.0939365664911059,0.741232065588704,2.81533541235119,0.594726440407382,0.559711185127527,1,0.284313210247371,0.137580297621695,0.101978928190437,0.0129238207754065,0.167830425739487,0,0.263494922433612,0.157949201698112,0.010059311320726,0.67249444567898,4.49380191693291,6.8907723932925,0.873269693997251,0.010059311320726
2005,24,Banking,0.23198410556117,0.23198410556117,0.0359809417392232,6.56051826441684,NaN,-0.23135018231127,0.10240240283698,0.877635181435672,3.35284292821606,0.700738004639452,0.765917202674583,1,0.135221358996916,0.0832971202662455,0.0731044832579354,0.00852982526466445,0.133699050601541,0,0.155100892158905,0.146135077816521,0.0090729064059585,0.652457143091186,3.05849448617548,7.57045496122613,0.883320079911261,0.130822774829975
