year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1996,34,Manufacturing,1.8130510010711,1.91307571887616,0.412292988382632,Inf,9.29736408566722,1.71692835228298,0.459245492505612,0.649518672765754,1.14146019557262,Inf,0.819458202334295,0.406842907447312,0.27445209439218,0.221001734377464,0.14354475319178,0.101494050348773,0.560425768144626,0.052284766785822,0.21551315732805,0,0.995056438988218,1,6.81723237597911,0.41431692496757,0.292944896333663,0.995056438988218
1997,34,Manufacturing,1.71085011185682,1.79570150207734,0.0349952061361457,Inf,12.3380414312618,2.09408575158148,0.491898011651768,0.697911786359681,1.33926277934755,Inf,0.927919911012236,0.371709422200911,0.186478062814673,0.134356269479741,0.0937688240412288,0.0660895818100337,0.530108262377055,0.0472525027808676,0.0194883203559511,0,0.99496644295302,1,4.70823244552058,0.418847466702363,0.295209566714626,0.99496644295302
1998,34,Manufacturing,0.788143696216364,1.01898647725721,0.228384100532714,Inf,6.88402366863905,93.6906474820144,0.356608888523782,0.446023700253442,0.768726757570391,Inf,1.74571045576408,0.10673423942256,-0.106887813867772,-0.113798663902327,-0.0507569011576135,-0.0405816150497002,0.204277225553821,0.226541554959786,0.224128686327078,0,0.411692391749761,1,-15.4666666666667,0.250736351804918,0.20047098770503,0.411692391749761
1999,34,Manufacturing,0.883405959250972,0.979272170533506,0.109409963490755,4.56833333333333,19.6056511056511,-140.164772727273,0.615755185582707,0.781332150888417,1.53653067580193,Inf,2.96680697534576,0.353074709149135,0.140216466009972,0.0963962868377316,0.0753175181325816,0.0593565134912513,0.207548111724035,0.0978953698135899,0.111725796752856,0,0.50276763632081,1,4.12768496420048,0.268932315586102,0.211941192621621,0.50276763632081
2000,34,Manufacturing,0.389995143273434,1.47280233122875,0.111461874696455,Inf,3.11392688943709,11.8495120698511,0.597880170001037,0.708199036129785,1.56349959338574,Inf,3.80395713107997,0.398205539421785,0.156863594989381,0.0957912530882927,0.0678392731067931,0.0572716906810407,0.15717321447082,0.73520197856554,0.0756801319043693,0,0.271834969223091,0.685077358176676,3.31107044830741,0.184516683549744,0.155773815693998,0.271834969223091
2001,34,Manufacturing,0.7265625,0.874337923728814,0.0170815677966102,10.2258758451137,22.7275985663082,-35.0632244467861,0.834043513134149,1.02881612713725,2.34297986199127,Inf,5.0393760411934,0.237746055597295,0.0649436513899324,0.0346806912096168,0.0356800544167208,0.0289252055343894,0.165505313815921,0.169014084507042,0.0195365742844162,0,0.839909957627119,1,3.27424242424242,0.233497201867483,0.189292159614999,0.839909957627119
2002,34,Manufacturing,0.682412790697674,0.851623062015504,0.00593507751937985,9.14953271028037,18.9813886900501,-27.1722448979592,1.31763122476447,2.29368798235943,2.27877045252276,Inf,4.73417721518987,0.203358769452623,-0.460944541248573,-0.460944541248573,-1.05726295479603,-0.607354920433853,0.278323173145436,0.198691509031432,0.0069691366804153,0,0.570325581395349,0.768,-Inf,0.740766262403528,0.425540337265458,0.570325581395349
2003,34,Manufacturing,0.745486962335636,0.8798751950078,0,11.9473114399134,21.985903814262,-30.7105751391466,1.26180584670503,2.28049872563202,2.37115026500501,73.7327394209354,4.19275582573455,0.199057572645442,-0.0183048390019936,-0.0148009424273546,-0.0337535303437349,-0.0186759156915806,0.300949041430042,0.15273556231003,0,0.0171132370316728,0.671843003412969,0.765699658703072,5.2695652173913,0.807329338017497,0.446697412051683,0.906143344709898
2004,34,Manufacturing,0.612330073932745,0.816122108275698,0,21.5129337539432,15.314803978935,-22.1128404669261,1.28895441143116,2.18436899423447,2.70769475105217,92.9100817438692,4.98217416715371,0.232447650888615,0.0122001290398264,0.018857410991847,0.0411915438821268,0.0243063430861117,0.258713238073637,0.249707773232028,0,0.0138731382777652,0.759590556990041,0.773330874216156,-2.37714285714286,0.694682895579757,0.409919104861269,0.986259682773884
2005,34,Manufacturing,0.792166462668299,1.10403916768666,0,13.0490654205607,11.8473312401884,45.9941176470588,1.41515239267357,2.25695647153908,3.0829587571958,105.948509485095,4.33425720620843,0.227855224453255,0.0445837063563116,0.0445837063563116,0.100623484586076,0.0630927387243901,0.326504017954101,0.282483370288248,0,0.0133569825526678,0.71680900621118,0.792895962732919,Inf,0.59485047915945,0.372981973503222,0.90042701863354
