year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,36,Manufacturing,1.18736360802245,3.2808375766393,0.292424399875299,Inf,2.43434017522524,3.53796386996834,0.704731912730969,0.823140320657215,1.01393866985265,Inf,2.45959172038072,0.368459686039174,0.0754703617374731,0.0516914993625488,0.0425493573605406,0.0364286492177007,0.286523940901006,0.638091316535483,0.0891310200655655,0,0.274723194851897,0.607110185798555,5.33500227583068,0.16801908042931,0.14384960249755,0.274723194851897
1993,36,Manufacturing,1.82090899146795,2.95534346970028,1.29266024939838,Inf,2.28092758653939,2.82944771548047,0.730950712112782,0.891541736072552,1.31220205086296,Inf,1.87204708016027,0.532301274256848,0.283682790118331,0.204335834396038,0.182173924539277,0.149359423661943,0.390455304174404,0.383858759519205,0.437397636738811,0,0.314612375890081,0.733487112626617,7.74429901497774,0.219697170002556,0.180123707466526,0.314612375890081
1994,36,Manufacturing,2.11545491470349,3.09323720552396,1.74593826157595,Inf,2.44165662775724,2.68729322505845,0.882428652440695,1.04661716639271,1.84534104385135,Inf,1.81852919355792,0.575582528828588,0.364009213595107,0.254651926840011,0.266523078085737,0.224712156642858,0.485243050024531,0.316103236141841,0.564437236969096,0,0.658976441917141,1,4.88180893816879,0.186060571709271,0.156872240240087,0.658976441917141
1995,36,Manufacturing,1.00537000501979,1.79699046240413,0.685177618752991,Inf,2.44593060122989,4.87445621127565,0.766221984812971,1.03509797822706,1.72593276421837,Inf,2.16188966556661,0.501595629597577,0.30401401509688,0.213120222126064,0.220600311041991,0.163297399601214,0.354422335707938,0.44052568666684,0.381291739209521,0,0.191760180113103,0.759284865890195,4.84094932771903,0.350911353032659,0.259758978444366,0.191760180113103
1996,36,Manufacturing,0.780416494576441,1.56725648327283,0.476838467056496,Inf,1.82317595380833,6.06732961621736,0.646300295127337,0.923565114169634,1.21766081151752,Inf,2.19602349563444,0.583190172424683,0.357733847028358,0.221114128718499,0.20421329553442,0.14290612664759,0.294304817963989,0.502049279804712,0.304250435168554,0,0.26021986389378,0.625503939737985,3.6001906880661,0.429003082828035,0.300211446695431,0.26021986389378
1997,36,Manufacturing,0.792775932909326,1.72657173411381,0.401038442055496,Inf,2.26424362973344,7.30889302037338,0.807964855641808,1.02134143041167,1.65564227085883,Inf,3.07571065327944,0.601851606509769,0.393360395546394,0.247489414470512,0.25277119258706,0.199962749035543,0.262692088665859,0.540838114486895,0.23227441648194,0,0.409373881105554,0.82082674027789,3.70507637017071,0.234309204472878,0.185357801936194,0.409373881105554
1998,36,Manufacturing,0.953543530748473,1.41909293187521,0.6334658902618,Inf,1.26007240334357,3.71293984750071,0.300531229141713,0.462687995855786,0.536728985239822,Inf,1.09652215976381,0.623007228739717,0.34271710558341,0.215940344642944,0.0999130052872515,0.0648968171968291,0.274076749353107,0.32806125002085,0.446387883438141,0,0.129701906068844,0.551079827394587,3.82359729812294,0.539567109804783,0.350466768462727,0.183461082905907
1999,36,Manufacturing,0.319174171957281,0.684384074019391,0.0872040946896993,Inf,1.74549570795208,-5.49084671760486,0.36309417012615,0.627072192156255,0.543016904510028,Inf,2.53220192722566,0.632156488549618,0.284035918756816,0.188354802798982,0.118112059094317,0.0683905308115711,0.143390685482956,0.53363296418812,0.127419818783259,0,0.31387567543735,0.497704860209575,4.07899673735726,0.727021795303298,0.420968077888385,0.567849916963459
2000,36,Manufacturing,2.49203607403906,3.5923488126841,0.966962434997636,Inf,1.93618111212096,2.3053852736123,0.400402975783689,0.498274847950131,0.619290851230996,Inf,1.66363654768894,0.643528209122329,0.291224504697464,0.219512120917101,0.109377368673179,0.0878933064357961,0.240679357723845,0.306293401899055,0.269172757273298,0,0.0986349625715544,0.341091905904826,5.95360119417838,0.244433428535046,0.196421458095026,0.0986349625715544
2001,36,Manufacturing,1.01929631917279,1.71802438633816,0.376947361196898,37.8445149017121,1.85116309525758,4.75362411189346,0.392748465353311,0.566600273042986,0.61404548485073,Inf,1.98671105193076,0.621043953834399,0.260579616895216,0.185128215439471,0.104893697415965,0.0727088225074495,0.19768776389079,0.406704394141145,0.219407456724368,0,0.193732144848708,0.375016085721884,4.85774973449116,0.442652428430648,0.306831941709749,0.193732144848708
2002,36,Manufacturing,0.8264823393877,1.54573865725421,0.113439713704439,34.6905755605164,2.25593402286707,8.02661187091558,0.484243199375689,0.629023827500092,0.783908918239601,Inf,2.83387645393782,0.629581133521909,0.313972194943162,0.208658233939628,0.131251000952114,0.101041330779006,0.170876609212377,0.4653156046082,0.0733886761336156,0,0.272937575418666,0.480289607675781,4.23212400060341,0.298983296639089,0.230167160280398,0.272937575418666
2003,36,Manufacturing,0.7738593467914,1.34408337436402,0,42.4403795729804,2.27110991185465,10.133108752683,0.305236265019127,0.571999528809908,0.797477857938882,0.638127510982616,2.5940609927346,0.628569747429429,0.335187773054236,0.224083199717568,0.128175484652666,0.0683983189353257,0.117667343163491,0.424247512058123,0,0.478331148188725,0.0957792582893673,0.187715176955366,4.31429869736443,0.873956650511578,0.466369726467789,0.26452035275542
2004,36,Manufacturing,0.460265311774762,1.12257060177448,0,40.0757857733664,2.47622137624733,30.2020414523921,0.353758328009492,0.594736543309515,0.979495965653089,0.72834669342443,3.29768336155044,0.556978223124611,0.357730519874204,0.242303534711168,0.144106766665797,0.0857168933102126,0.10727480149676,0.5899898758731,0,0.485700465455873,0.119783044006118,0.235847292892844,4.24689127105666,0.681194465882815,0.405184813361322,0.300920576356932
