year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,37,Manufacturing,2.45145844799119,3.35839295542102,0.911392405063291,Inf,3.19546088961709,2.63845328106039,0.752238825830661,0.859729298152232,1.50026538573817,Inf,1.85282357182655,0.53425081591679,0.384254795998691,0.342127840230668,0.294137327959851,0.257361844819098,0.405995928197895,0.270050145849038,0.271377535970634,0,0.715091528309919,0.966900808854832,Inf,0.142894076496084,0.125028276403508,0.715091528309919
1993,37,Manufacturing,3.01257457012516,4.17066323546614,0.684466019417476,Inf,2.87061259532347,1.95445657787944,0.685025828683739,0.771176325021471,1.36110219024986,Inf,1.48583648857103,0.463536406965221,0.21716766551838,0.197187485253174,0.152066320217768,0.135078520491618,0.46103715580612,0.277674940401066,0.164114429953723,0,0.737180229193194,0.98958212756106,Inf,0.125755127589269,0.11170663270254,0.737180229193194
1994,37,Manufacturing,3.39853372434018,4.67096774193548,1.13010752688172,Inf,2.68153184297457,2.07173669915322,0.895165883320773,1.01567201686651,2.18790776152981,Inf,1.62820190858865,0.55135472095833,0.320248836790828,0.287376931184288,0.291880707296855,0.257250024449596,0.549788007616768,0.272413360120542,0.241942909760589,0,0.467442424242424,0.992,Inf,0.134625301071128,0.118652453301271,0.467442424242424
1995,37,Manufacturing,2.27949826218697,2.77673558506372,0.448600837714999,Inf,4.20969620933775,2.44364051312275,0.96975864642946,1.25021973298433,2.78072203196347,Inf,1.56359974645152,0.517880876263002,0.253534353142816,0.157969549398839,0.197496647869071,0.15319233640209,0.620209007215725,0.17907262238127,0.161556916016079,0,0.71041948579161,0.995674260742253,3.6355408388521,0.289207100743564,0.224329435182881,0.71041948579161
1996,37,Manufacturing,6.02203716868082,8.33786940184828,0.743373616329847,Inf,1.86445360463077,0.900963241806909,0.422990955400769,0.455560143036088,0.985706498697838,Inf,0.79290647113991,0.34689708141321,-0.0891397849462366,-0.124531490015361,-0.056731583403895,-0.0526756939390789,0.533468915687701,0.27774868153417,0.0891563036673447,0,0,0.894937744251568,-2.51975683890578,0.0769973618099244,0.0714926187753405,0
1997,37,Manufacturing,2.3573261912733,3.77669902912621,1.47729048097311,Inf,2.0422989228713,2.24706615223857,0.650073249000093,0.725680428829156,1.81098676858795,Inf,1.65208462606743,0.53541757956771,0.203580658719584,0.150326855834667,0.10908925720664,0.0977234675844108,0.393486652404427,0.375823656295246,0.391159176195964,0,0.715824126771566,1,10.3383287920073,0.116305631627448,0.104187982513255,0.715824126771566
1998,37,Manufacturing,1.94058496917763,3.06982031215844,1.0536440344511,Inf,2.21061597429246,2.68485309338234,0.734428445964685,0.846270614318338,1.99944944315107,Inf,1.81025692149937,0.550787119716149,0.252547026567749,0.160004405667577,0.135407026677941,0.117511787001941,0.405703984468892,0.367850632334511,0.34322661501652,0,0.8192191667031,1,3.74006757543982,0.152284635716616,0.132158870296755,0.8192191667031
1999,37,Manufacturing,1.33479515291402,2.41238699749952,0.900134641277169,21.1488518090203,1.99125374839355,3.48669481138499,0.718707366506285,0.841527468265394,1.80045287689343,Inf,2.04136501355446,0.564266408361585,0.269337728685925,0.16732544877904,0.140808961287396,0.120258032641466,0.352071952705244,0.446691117844044,0.373130282251635,0,0.595229851894595,1,3.62022259554809,0.170883704419508,0.145943396756065,0.595229851894595
2000,37,Manufacturing,1.11422413793103,2.42361571618037,0.588942307692308,Inf,2.19222612604058,4.29092550001456,0.845741140286449,0.981873292918526,1.76846285830844,Inf,2.52046103596286,0.530093833325418,0.207681713017932,0.124371560971307,0.122117114116315,0.105186145795079,0.335550174439956,0.540263693417925,0.243001521965901,0,0.50947769224402,0.998592831719229,3.39244153829103,0.160961961228432,0.138645336026441,0.50947769224402
2001,37,Manufacturing,1.45693178245835,2.74164308917531,0.929634286911873,31.258602978942,2.13572593800979,3.66177311151891,0.72129253232516,0.813273378410883,1.66151599120927,Inf,2.32616049076003,0.569761996697365,0.223379696190468,0.143311343153605,0.116551300211134,0.103369401614184,0.310078575915238,0.468591740401705,0.339079251629178,0,0.999947605574767,1,3.87985159817352,0.127522249244996,0.113099541344205,0.999947605574767
