year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1997,39,Manufacturing,0.184590690208668,0.86653290529695,0.00963081861958266,Inf,1.45710250676709,-5.45339747444378,0.110574636965507,0.152016494015891,0.130814834047341,Inf,0.839955543206446,-0.365200132318889,-1.18954680780681,-1.18954680780681,-0.180830735190586,-0.131533706426716,0.131643439774681,0.786977864221543,0.0111141983884412,0,0.430813953488372,0.557245080500894,-Inf,0.374803044017567,0.272626406720558,0.430813953488372
1998,39,Manufacturing,0.11727263468785,0.559883898564009,0.0334046236887667,Inf,1.59376438104004,-1.18315399745459,0.127317322177816,0.207908915319711,0.151044282295944,Inf,0.930059117780809,-0.354586348523372,-1.07216898102875,-1.07216898102875,-0.222913489885128,-0.136505683586698,0.136891644567288,0.790541155070487,0.0596634834015462,0,0.515931136378236,0.630757371362498,-Inf,0.632997865202806,0.387629328054383,0.515931136378236
1999,39,Manufacturing,0.132768944868883,0.501066831853534,0.00392318810654553,Inf,0.875724163707718,-0.757138915712512,0.119828395519944,0.21609543870701,0.152848947309792,Inf,0.753914835164835,0.14621481279038,-0.442470620388084,-0.442470620388084,-0.0956158828277261,-0.0530205445058184,0.158941554046678,0.735027472527473,0.00782967032967033,0,0.586757823029234,0.712048812761891,-Inf,0.803374215012698,0.445483920267231,0.586757823029234
2000,39,Manufacturing,0.324926166568222,1.16656822209096,0.0691671588895452,Inf,0.919573303389712,6.48156028368794,0.189140805281621,0.278623801466441,0.247126903004245,Inf,0.92546835443038,0.283127256811467,-0.00475982054929423,0.52155596892439,0.145317906739227,0.0986475159617952,0.204373066216873,0.72146835443038,0.0592911392405063,0,0,0.545477977897348,-Inf,0.4731177878386,0.321170980059398,0.0126300866707478
2001,39,Manufacturing,0.187382179213271,0.894558250596959,6.28377529219555e-05,Inf,0.607695041762929,-4.76817640047676,0.0868088707577467,0.128268432274717,0.119122770449334,Inf,0.562025849957853,0.145231846019248,-0.650168728908886,-0.197725284339458,-0.0253619122432948,-0.0171643086537627,0.154457078378613,0.790531048047204,7.02444506883956e-05,0,0.206196294307197,0.534170247046187,-Inf,0.477611940298507,0.323235830223071,0.206196294307197
2002,39,Manufacturing,0.18338779297269,0.828109242002501,0.00738230666828029,71.7866242038217,1.11700663246152,-5.29007275287491,0.22541,0.377267858338354,0.298769981178591,Inf,1.0980611847233,0.208020939621135,-0.129053724324564,-0.150525708708575,-0.0567885117493473,-0.03393,0.20528,0.778546375681995,0.00891465315666407,0,0.238751832252615,0.615860475516136,-Inf,0.673679453705563,0.40251,0.238751832252615
2003,39,Manufacturing,0.0282463556275432,0.317070280093233,0,426.689655172414,1.55245520448639,-0.71579799849598,0.139940965585877,0.231683798610721,0.187252201809873,1.48511761881901,1.54173934712185,0.082754161952481,-0.171407790528528,-0.26361726200097,-0.0610758486397424,-0.0368908541895208,0.0907682390328308,0.9109145277847,0,0.0942288771021114,0.509738961558234,0.722939395670303,-Inf,0.655582392480668,0.395982945613698,0.524790083966413
2004,39,Manufacturing,0.0245970836531082,0.221373752877974,0,342.724137931034,2.22367394695788,-0.48982307426938,0.115997339028745,0.19991149908482,0.151770580420541,1.19287085933749,1.72282891315653,-0.147298520977966,-0.125666566052923,-0.357681859341986,-0.0715047166965022,-0.0414901439025244,0.0673295752949827,0.888888888888889,0,0.0972421600550868,0.585080353667352,0.724573208029806,-62.45,0.723414526218396,0.419756544472066,0.602013012289384
2005,39,Manufacturing,0.018664047151277,0.311067452521284,0,366.222222222222,0.867441209406495,-0.391634980988593,0.0799990291379959,0.133655035380467,0.104664824870598,0.819594678602511,0.867368421052632,0.0599211165048544,-0.349514563106796,-0.567809466019418,-0.0758905942701892,-0.0454242060169173,0.0922318903896797,0.94,0,0.097608038737394,0.592382103990327,0.73857315598549,-Inf,0.670708217594939,0.401451438696132,0.610157194679565
2006,39,Manufacturing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,39,Manufacturing,0.110244769048559,0.209682195025661,0.000148045795499408,11.7709923664122,2.29578163771712,-0.288854199188261,0.063720763657401,0.0963810238139884,0.0793958637260791,0.617458622530699,1.08872675923747,0,0.195201037613489,0.195201037613489,0.0188136758547409,0.0124383591834486,0.0585277831345216,0.474229230407155,0.000706048481995764,0.103198435218601,0.615300191049144,0.823706353400268,Inf,0.512552867887576,0.338866084465137,0.742855981464168
2008,39,Manufacturing,0.399472315692872,0.414691037014377,7.64759865402264e-05,0.307003032809484,5.59547738693467,-0.145488991964461,0.0307656176608736,0.0519429024583664,0.0408646347505367,0.323128264654672,0.205348086675887,0,-0.147732375392905,-0.147732375392905,-0.00767364836497644,-0.00454507777747078,0.14982178874368,0.0366989396035039,0.000184416781927155,0.0952117812836736,0.732050282926168,0.886117981906279,-Inf,0.688365909408966,0.40771696184345,0.824890726120693
