year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,48,Manufacturing,0.891086691086691,3.99169719169719,0.0967032967032967,Inf,1.48097975899819,1.65806872908334,0.412505330706902,0.512902737097263,0.623672090881179,Inf,1.24268934295852,0.0742874021562546,-0.0110766504209127,-0.0205779550041845,-0.0105544894455106,-0.00848851613427289,0.331945657250777,0.776764957787838,0.0242261103633917,0,0.152505446623094,0.42483660130719,-1.16580310880829,0.243384506615493,0.195743557459944,0.152505446623094
1993,48,Manufacturing,0.452280701754386,3.56789473684211,0.0815789473684211,Inf,0.912832929782082,1.57757737241238,0.44941611521993,0.56509715628212,0.751097810883778,Inf,1.13541820327482,0.297951582867784,0.0900350786020527,0.0541769520592439,0.0306152415447115,0.0243479953289218,0.395815492409498,0.873235973840783,0.0228647293111078,0,0.155733029092983,0.541928123217342,3.44205298013245,0.257402966080955,0.204710003892565,0.155733029092983
1994,48,Manufacturing,0.251155878467635,4.27608982826948,0.0301354029062087,Inf,1.0201641025641,1.71670866935484,0.688989359550107,0.98390940736354,1.46505075705437,Inf,1.31524173617547,0.269910010422936,-0.0420440699364348,-0.0696868715042793,-0.0685655684427946,-0.048013512966784,0.523849981793907,0.941265060240964,0.00704742045103491,0,0.122490298633373,0.408705922051628,-1.52016985138004,0.428047318475294,0.299743091799167,0.122490298633373
1995,48,Manufacturing,1.10127609353102,3.63391605812495,0.0791473039758059,122.851724137931,1.65676423474589,1.99546320152347,0.818061790335358,1.12959939123956,1.90330421775249,Inf,1.44634121587334,0.201658854239762,-0.0859179835518006,-0.0859179835518006,-0.0970529019166442,-0.0702862194463898,0.565607742735445,0.696945092865117,0.0217801684766061,0,0.231787528099242,0.564357672133877,-Inf,0.380824046037509,0.275794766994638,0.231787528099242
1996,48,Manufacturing,0.890196710738472,2.78926152853918,0.120391271632807,Inf,1.44283126733458,2.01057342825388,0.811636028520153,1.1292875099121,2.21240166589542,Inf,1.28974699886313,0.238339259569128,-0.0646457704604536,-0.0646457704604536,-0.0730036611496347,-0.052468836397148,0.629298637047097,0.680848603965547,0.043162417866158,0,0.139371470448765,0.802086476699573,-Inf,0.391371834455299,0.281284862007082,0.139371470448765
1997,48,Manufacturing,1.61937070647104,3.50640318887287,0.0200152658807565,5.57550280250577,2.34211235955056,2.28883700470341,1.02115004302471,1.2563288200442,2.7531442061134,Inf,1.63607778637771,0.229605866177819,-0.0803642707193755,-0.0803642707193755,-0.100963949406586,-0.08206397850274,0.624145166890596,0.538167569659443,0.00570820433436533,0,0.336209677419355,0.950887096774194,-Inf,0.230307758028268,0.187195241617729,0.336209677419355
1998,48,Manufacturing,1.25389284771708,2.69866719451043,0.035827395091053,5.16729503955053,2.42425903091748,2.71501262381045,1.04807173274156,1.37286404525278,2.72666276574995,Inf,1.70895577125254,0.240564823027841,-0.00114452487910956,-0.0330910755672551,-0.0454295478650273,-0.0346818209080549,0.613281952857914,0.535365883474732,0.0132759590230068,0,0.44216997274859,0.960517143038215,-Inf,0.309914758219743,0.236595093864332,0.44216997274859
1999,48,Manufacturing,1.58563685636856,3.56693766937669,0.101084010840108,4.98378728923476,2.45661788173073,2.4340160472973,1.08519651682749,1.32441644486146,2.86777510573016,Inf,1.75163349035101,0.220978818766717,0.0283669486011711,0.0283669486011711,0.0375696532179308,0.0307837138150153,0.619534008001883,0.555462695638961,0.028339158182647,0,0.609364141765115,0.961605281445448,Inf,0.220439270053425,0.180622891660783,0.609364141765115
2000,48,Manufacturing,1.49037372593431,3.49750183198987,0.0334421424288855,4.31184367218794,1.95632115237811,2.12475326753801,1.02929319033467,1.28836449505079,3.50263829038783,Inf,1.5172472905278,0.260052474986505,0.103092006979926,0.071581907428098,0.0922235880183735,0.0736787698669079,0.678395141491149,0.57387478333746,0.00956172263385459,0,0.757293407017093,0.964593239943452,3.27171314741036,0.251698259688167,0.20108541155188,0.757293407017093
2001,48,Manufacturing,2.91037474616947,5.49510799335425,0,3.65862845445241,2.41152733635682,1.83494866529774,1.09638554216867,1.29311492489798,4.11825429743306,591.801324503311,1.50102462458427,0.244309661824937,0.0944696851010497,0.0865132830509613,0.111871617515122,0.0948519127426202,0.73042475400584,0.470369872677798,0,0.00185262434667386,0.726752157432051,0.873780143559964,16.75,0.179420021416375,0.1521237700292,0.73352689733043
2002,48,Manufacturing,1.61476124085047,2.78860230045312,0,3.70289795583285,2.6735580135105,2.19745688395206,0.929434673755139,1.34015717617696,2.74453132130579,487.621621621622,1.40944315980251,0.201518678638732,0.0197649927945904,0.0111850127480324,0.0149896750999064,0.0103957386744145,0.659433952544329,0.420942441097431,0,0.00190605714050217,0.31523566193774,0.77159954279567,3.15575221238938,0.441905724005764,0.306473382169608,0.31523566193774
2003,48,Manufacturing,1.17333906071019,2.16454753722795,0,3.97824882750471,2.43489440383671,2.64906801750848,0.968202040174359,1.60093624609897,3.03456338028169,601.826815642458,1.42522424787659,0.217652027811041,0.0525587828492393,0.0299089364783202,0.0478823004904146,0.0289578933177549,0.679333123623781,0.457928716958167,0,0.00160877185098638,0.317635019897669,0.794087549744173,3.18089887640449,0.653514638133452,0.395227609760482,0.317635019897669
2004,48,Manufacturing,0.896121477403488,1.81060896640419,0.0107398298774847,5.37768204441842,2.55984308307222,3.57878475798146,1.03930063938309,1.86437851632736,2.97056581105746,702.595628415301,1.60222061609012,0.193062414932919,0.0313669064748201,0.0197083414349601,0.036743808363784,0.0204828918545343,0.648662630443042,0.505071777489782,0.00593161200279135,0.0014792301536621,0.343494858353577,0.809530767685255,3.68647166361974,0.793877965315237,0.442548479141238,0.343494858353577
2005,48,Manufacturing,1.23121017335893,2.32359406739572,0.0368422517182848,4.31338228682751,2.6940163537713,3.0256065256696,1.138224756602,1.78531465928968,3.3703981264637,607.240506329114,1.72348298863514,0.265133828066372,0.140345757247283,0.107090247088579,0.191189787994194,0.121892770426846,0.660421230791132,0.470126821790834,0.0158557177586434,0.00187442165787455,0.294579732914376,0.784171249018068,5.7824219868308,0.568508019997271,0.362451458806223,0.294579732914376
