year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,47,Manufacturing,0.544116299215625,0.953250884750363,0.385978813296238,Inf,2.11289040482144,-22.7102200860106,0.662526498735256,1.76219967022613,1709.97142857143,Inf,1.11374949987439,0.18576751491253,0.0831397906954725,0.0513096849292943,0.090417909861809,0.0339940259074145,0.594861320979249,0.429199271755076,0.404907899348363,0,0.699034092084995,1,3.35713482514337,1.65981764290201,0.624034375939794,0.699034092084995
1993,47,Manufacturing,0.508916201290763,0.929450436010975,0.37083247631725,17.473789127741,2.57398349975084,-17.8409703504043,0.817308758454545,2.33080129356809,2.06149572866877,Inf,1.35421172619396,0.140008201497853,0.0266178687822009,0.00376158924062146,0.00876751706791232,0.0030743798320683,0.603531000836634,0.4524547177847,0.398980367268203,0,0.74547204445876,1,1.34156954156954,1.85179302910528,0.649341780317921,0.74547204445876
1994,47,Manufacturing,0.73689889981767,1.78198528955757,0.544807313049626,Inf,2.29163996297088,3.63992164451353,1.02272448731747,2.67180305155983,2.85900718232388,Inf,1.5973000438508,0.158589434924232,0.142548996110815,0.0888085148104975,0.237278860875184,0.0908266427789922,0.640283265035085,0.586473073523168,0.305730533378808,0,0.32648251739578,1,3.66670402959144,0.938671913657506,0.359308950970103,0.32648251739578
1995,47,Manufacturing,0.619756052019358,1.5436345927724,0.410427085593746,Inf,2.23225161547579,4.67319563703876,1.02601206137893,2.704349134041,2.74900615962605,Inf,1.64579805284391,0.188222557705296,0.101251440149378,0.0582813555281872,0.157613133353389,0.0597973737254335,0.623413097133028,0.598508575202202,0.265883576019511,0,0.203353906246057,1,3.27373153500321,1.0644903089948,0.403860538013317,0.203353906246057
1996,47,Manufacturing,0.75985862226746,1.51712127295987,0.0455182138221479,Inf,2.56742442459106,4.49316515583806,0.943222245598473,2.48185903158399,2.6007870641358,Inf,1.53152640228477,0.163244883400818,0.0768298686814898,0.0413748756643792,0.102686608848304,0.0390257031355134,0.615870705324668,0.499144441640456,0.0300030159970948,0,0.201483131323595,0.924488069339411,3.01078825104339,1.15539640821293,0.439104550597895,0.201483131323595
1997,47,Manufacturing,0.600615638293918,1.46299243460955,0.0555662554527239,Inf,1.8865227663651,4.32608156235404,0.751769478851858,1.61664103067592,1.76950999268646,Inf,1.36907272210764,0.187748512509763,0.0987285269165302,0.0604257587591961,0.0976867609198412,0.045426241171629,0.549108507322047,0.58946087205556,0.0379812322594503,0,0.151311456589911,0.894101617493338,3.58164014687882,0.902730505738098,0.419787218662057,0.151311456589911
1998,47,Manufacturing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,47,Manufacturing,0.636200337294584,1.49741930423187,0.0271090716554889,Inf,2.08298381036956,4.18073438621114,0.718811682536928,1.44431974808915,1.57912292457747,Inf,1.38877466297535,0.137370575033476,0.0253097712313524,0.014985949493616,0.0216445027974961,0.0107720755699195,0.51758697915537,0.575135477753885,0.0181038614761247,0,0.13673056985714,0.89606213428456,3.21052631578947,0.775086213001956,0.385746318027026,0.13673056985714
2000,47,Manufacturing,1.07627734951275,1.9718106953131,0.639724063415546,Inf,3.16777521694071,3.37027745508193,0.766271772260815,1.2952578946071,1.52159867174202,Inf,1.66104772877355,0.133858617386395,0.0145129809024143,-0.0154624677777143,-0.0200278834591924,-0.0118484525875549,0.461318334799806,0.454168013151054,0.324434827813918,0,0.167932358869368,0.572858639242013,0.670607777994919,0.690337477505608,0.408402160333286,0.491358377374661
2001,47,Manufacturing,0.930894236851284,1.99781864614184,0.604430099136326,Inf,2.34233330747665,3.05765676098393,0.802756174951783,1.47192799329215,1.78072663285374,Inf,1.52715910200531,0.180890433785177,0.0858289350291024,0.0475462500096879,0.0699846563653268,0.0381680457910782,0.525653269458097,0.534044674851237,0.302545028450702,0,0.184890826108674,0.578751633673867,3.26481426886792,0.833592863213493,0.454622659117775,0.184890826108674
2002,47,Manufacturing,0.931323831179635,2.02659863568299,0.599633963729133,22.5640827869906,2.10747940391617,2.84473760980195,0.794647599961368,1.27020325065973,1.87030893708311,Inf,1.44103706460582,0.209606174204012,0.0970644424947491,0.151867339691366,0.192902388545019,0.120681016998262,0.55144147189492,0.540449788733936,0.295881953718502,0,0.617596556144042,0.726780978177626,1.3323254177202,0.598448482977215,0.374393350395982,0.617596556144042
2003,47,Manufacturing,0.754241730890776,1.83184960534632,0.377735751066863,20.8465819283456,2.22943671769504,3.72869486344334,0.969814928007133,1.47140144427994,2.41411934288198,Inf,1.69321397431303,0.225441460567489,0.11788130519738,0.0672327976887196,0.098926435622163,0.0652033708502037,0.572765724072534,0.588262197568243,0.206204565027843,0,0.818886951519836,0.917217918067265,4.03651016875811,0.51719818058845,0.340890324814292,0.818886951519836
2004,47,Manufacturing,0.666303888818317,1.7179190513302,0,24.4593581860108,2.01026101434844,3.65225313114213,0.878864282886682,1.49142020211883,2.36231951300991,118.553089102763,1.52627802869819,0.193745343509851,0.115563446765106,0.0622702852750815,0.0928711614509593,0.0547271296134336,0.575821879344154,0.612144769974819,0,0.00741325501965514,0.704795900355553,0.816093177812832,4.00027194851108,0.696985793096714,0.41071987516456,0.814372851343059
2005,47,Manufacturing,0.640228030440522,1.76334010397114,0,24.6014497788277,1.62656227171906,3.45974413423833,0.950877372010566,1.71173371963924,4.11420050736846,564.434643995749,1.49770395466844,0.308277775999608,0.224221616807843,0.132083677722906,0.22609208497226,0.125595380358647,0.634890072264697,0.636923115966856,0,0.00168465451602883,0.264117012107201,0.810020460605279,3.96456273511102,0.800162428957474,0.444494572315272,0.340808032801411
2006,47,Manufacturing,0.689864045582823,1.93175721352462,0,30.3444525547445,2.04626703503455,3.59066659372994,1.0624464371208,1.76301775942573,3.02289060549578,32.470436616418,1.7319099298019,0.240428430422152,0.177986412296126,0.112165509234202,0.197749784774929,0.119169845653718,0.613453632223428,0.64288263517126,0,0.0327204234938928,0.292847740613222,0.799161332092768,4.23579811086728,0.659393072367928,0.397369689927367,0.37673596967761
2007,47,Manufacturing,0.379219369335252,1.80290013452931,0.220314286435623,33.8343425193096,1.28591279190543,3.18775955744123,0.961650728174746,1.72330293364482,3.35117515666394,28.4163496576302,1.41963080954834,0.284718410634102,0.197910494242515,0.122587250041042,0.211254967623178,0.117886118266908,0.677394940787949,0.78966146705943,0.122199938985051,0.0338414588700181,0.203707195626545,0.850110148873446,3.6006588814398,0.792025818891356,0.441972325700835,0.275307795964734
2008,47,Manufacturing,0.581054053303977,1.84938342414683,0.415419484352017,31.4669892561306,1.72922614159031,3.34301503662768,0.982770390122015,1.78055450171534,3.05944831738197,26.4956580287623,1.53537742455711,0.227600950799761,0.127241142940546,0.0800041441108015,0.142451738952371,0.0786257039191503,0.640083913182131,0.685812014038121,0.224625936908492,0.0370917525073418,0.28491454035876,0.772466831597557,3.69145557655955,0.8117706023828,0.448053744395222,0.353746746759623
2009,47,Manufacturing,0.178684902367595,1.21233156818539,0.0705215300611935,35.9598861527817,1.1760364977044,8.06682869700797,0.964623122021714,2.61415381309093,3.93992850066761,36.5530673571817,1.41284977844997,0.290298854354472,0.0836545563230896,0.0517877781193467,0.135381217642197,0.049955688212052,0.682749954549308,0.852610534067797,0.0581701672313536,0.0263896628043773,0.158819502751499,0.892505708891967,3.59742750761593,1.71002607485919,0.63099986037885,0.190588751209964
2010,47,Manufacturing,0.291926354271073,1.17111862692155,0.0928490507172094,24.2250757466455,2.07513074314925,11.1873621980471,0.912948894566776,2.08775624395951,3.0846354775568,20.032799687622,1.63464743382663,0.0469754361799816,-0.0270046086941456,-0.0214424476324133,-0.0447666039303457,-0.0195758588628177,0.55849896171776,0.750728621712352,0.0792823618229659,0.0455727062019631,0.238771501706784,0.847490069378196,-6.65368196371398,1.28682706817912,0.562712889874857,0.29168006268458
2011,47,Manufacturing,0.323461082302777,1.38728911655271,0.101375612078208,22.5209993585492,1.57875639296017,5.44041297005416,0.973315177580088,Inf,3.18989285197311,20.6491322507651,1.51879857465466,0.202887916198197,0.0996432948950474,0.0676199722031669,Inf,0.065815545252886,0.64084546418632,0.766839458016834,0.0730746106695604,0.0471358876373135,0.29508771118233,0.842224386767035,3.11158513605186,Inf,0.548477129812226,0.305564907645612
2012,47,Manufacturing,0.428759297162726,1.70620024862542,0.177883407297366,20.6202603451364,1.41118962077924,3.24780784941955,0.888130907220472,1.90541286175408,3.2368889722079,Inf,1.34427521775096,0.214026781340418,0.115627918425263,0.0802117796391348,0.152836556588591,0.0712385606206734,0.660676396836623,0.748705172497689,0.104257051562779,0,0.243294474685678,0.725281404049649,3.26479245591562,1.14541893122189,0.533890567736128,0.280920725147326
2013,47,Manufacturing,0.450310496400661,1.33827740494318,0.176367139314921,13.1176758416997,2.10568187223517,6.31434490195522,0.807837920653615,1.68512792317112,1.94882340782573,22.9755387363573,1.59608179848204,0.124636872211376,0.0423695526337551,0.0211832033623476,0.0356964074881044,0.0171125949570216,0.506138169999753,0.663514832771326,0.131786682389971,0.0351607825141119,0.223049688171871,0.726461561421041,1.99989393521563,1.08597279242314,0.520607361883006,0.296738479305254
2014,47,Manufacturing,0.552308506894771,1.52197896763146,0.275877454059523,15.6421618354881,2.00887800069188,4.56604768185217,0.675220627147574,1.39293471088041,1.34445201616693,Inf,1.56597489572297,0.182694762231326,0.0173180243690526,0.0133164623800279,0.018548962675274,0.00899155007962951,0.431182280757983,0.637111603615465,0.181262330115409,0,0.107389746900219,0.549834274523844,4.32781609195402,1.06293205846588,0.515252901321527,0.231760704346835
2015,47,Manufacturing,0.649664834750153,1.69103321463612,0.287658920472868,11.9433355599645,2.60873747516116,4.75758309884886,0.771023553021653,1.41923642181797,1.53608344585367,Inf,1.94416520872622,0.173677727844358,0.034089680644546,0.0283906760712346,0.0402930815203323,0.0218898799371302,0.396583350818634,0.615817815328986,0.170108379884641,0,0.173601824072286,0.51347479851921,5.98169034715102,0.840717930065854,0.456733857420354,0.302204979841352
