year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
2005,49,Manufacturing,6.63282571912014,7.63282571912014,0,5.19263115738887,15.3350253807107,3.30765306122449,1.56613117526271,1.78718125430737,4.33935742971888,Inf,2.87430724894702,0.30101804720037,0.00516736078975783,0.00154249575813667,0.00275671950379049,0.00241575069452832,0.544872569150864,0.13101307913988,0,0,0.12109375,0.5771484375,1.71794871794872,0.141144038594073,0.12368643555985,0.12109375
2006,49,Manufacturing,2.61016949152542,2.98783137766189,0.435028248587571,5.85988921472792,11.5212888377445,3.93178836904241,1.40510977420111,1.86905009353565,4.09658314350797,Inf,2.61585454545455,0.443282918149466,0.114157028469751,0.0720084519572954,0.13458740386614,0.101179779670287,0.537151339948433,0.1264,0.1456,0,0.598992760465848,0.724268177525968,3.18294573643411,0.330180835585117,0.248222517384171,0.752911551778407
2007,49,Manufacturing,2.45362473347548,2.96428571428571,0.28997867803838,7.57566179375741,11.4926931106472,5.20325644504749,1.76005140444281,2.14955156950673,4.93031627667781,Inf,3.44794101780255,0.425784917075206,-0.00458954834671952,-0.00844894127464275,-0.0181614349775785,-0.0148705709564898,0.510464475858271,0.172271174249236,0.0978241323502967,0,0.790273556231003,0.950354609929078,-1.41935483870968,0.221300448430493,0.181200660914265,0.790273556231003
2008,49,Manufacturing,7.6991452991453,9.62735042735043,0.916239316239316,7.18737017033652,8.53812056737589,3.42777887854171,1.57630979498861,1.67619416723186,4.30669653970625,Inf,3.07173295454545,0.443236994219653,0.00329479768786127,0.000173410404624277,0.00029066950876853,0.000273348519362187,0.513166287015945,0.200284090909091,0.0951704545454545,0,0.685015290519878,0.894495412844037,1.26666666666667,0.0633659529115396,0.0595899772209567,0.685015290519878
2009,49,Manufacturing,16.5846153846154,19.2857142857143,1.21098901098901,7.24940334128878,8.37347436940602,2.19050480769231,1.27447552447552,1.31826401446655,4.4256920835357,Inf,2.07692307692308,0.435390946502058,-0.0394513031550069,-0.0394513031550069,-0.0520072332730561,-0.0502797202797203,0.613636363636364,0.14005698005698,0.0627920227920228,0,0.867368421052632,0.957894736842105,-Inf,0.0343580470162749,0.0332167832167832,0.867368421052632
2010,49,Manufacturing,15.4838056680162,17.5688259109312,1.72064777327935,6.90803418803419,10.9126213592233,2.46866218692731,1.46568983026259,Inf,5.3667994687915,Inf,2.32814840419403,0.443729585271701,0.00960110858160942,0.00356329803028803,Inf,0.00522268968518787,0.629551719135355,0.11867726696624,0.0979375504090333,0,0.961538461538462,1,1.88349514563107,Inf,0.0358334542289279,0.961538461538462
2011,49,Manufacturing,11.3759842519685,13.9783464566929,0.996062992125984,7.54736024844721,8.14750378214826,2.94888518125284,1.47053929354814,1.52930071580272,4.05126067930819,Inf,2.7379242360231,0.445993210575044,0.0079724308198745,0.00252031683983129,0.00385432234720365,0.003706224945163,0.537100068073519,0.186170961836361,0.0712575693564287,0,0.998031496062992,1,1.4622641509434,0.0399590969873358,0.038423719839649,0.998031496062992
2012,49,Manufacturing,Inf,Inf,Inf,6.8647575843493,10.2856043110085,3.11328275684711,1.5629720482861,1.63340754233286,3.81351393920302,Inf,3.11328275684711,0.448207500413018,0.00053692383941847,-0.00702131174624153,-0.0114686635633812,-0.0109741140016784,0.502033438770899,0.167030988813167,0.0682782563970683,0,0,0,0.0710382513661202,0.0450651015314039,0.0431218126654186,0.998502994011976
2013,49,Manufacturing,4.89434111594776,5.40245350217649,2.66600712307083,7.52801867911941,10.0864485981308,2.02867415730337,1.09277102600107,1.24511751075803,3.95184731220452,Inf,1.65316437152066,0.426204085249679,0.210465683016527,0.0668173157871417,0.0831954099084189,0.073016026727352,0.661017769815523,0.0940521535306182,0.493480808672722,0,0.394143252869015,1,1.46514497223936,0.139412997903564,0.122355105795768,0.394143252869015
2014,49,Manufacturing,1.30346927477394,1.42498615980808,0.885864550655102,9.22995126273815,9.48595292331055,4.52279635258359,1.23551390783465,3.45931584191299,147.744680851064,Inf,1.34887334887335,0.400297619047619,0.202236943164363,0.114871351766513,0.397376286947858,0.141925152719293,0.915959907478797,0.0852758352758353,0.621665371665372,0,1.00009226794612,1,2.31483516483517,1.79973430753902,0.6427851254374,1.00009226794612
