year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1996,54,Banking,NaN,NaN,NaN,Inf,NaN,Inf,0.422715511113217,3.82538212135248,Inf,Inf,Inf,1,0.155170790114488,0.107505616768239,0.411250064330194,0.045444291739728,0,NaN,NaN,0,NaN,NaN,3.25512699905927,0,0,NaN
1997,54,Banking,NaN,NaN,NaN,Inf,NaN,Inf,0.511109860885352,4.64353207713986,Inf,Inf,Inf,1,0.11932967608349,0.077221719780089,0.358581532850749,0.039468782454129,0,NaN,NaN,0,NaN,NaN,3.33120172743128,0,0,NaN
1998,54,Banking,NaN,NaN,NaN,Inf,NaN,Inf,0.57498982820038,4.51441423821631,Inf,Inf,Inf,1,0.039799788004032,0.0239607431989441,0.108168720255558,0.0137771836155143,0,NaN,NaN,0,NaN,NaN,2.95391211146838,0,0,NaN
1999,54,Banking,NaN,NaN,NaN,Inf,NaN,Inf,0.60118544842898,4.07264413273188,Inf,Inf,Inf,1,0.0766011810474058,0.0493296675952394,0.200902181301366,0.0296562783340965,0,NaN,NaN,0,NaN,NaN,3.30189666448659,0,0,NaN
2000,54,Banking,NaN,NaN,NaN,Inf,NaN,Inf,0.507296419616064,3.61323378714683,Inf,Inf,Inf,1,0.0813236678239514,0.0524331029152356,0.189453059018276,0.0265991253782597,0,NaN,NaN,0,NaN,NaN,3.3089018513822,0,0,NaN
2001,54,Banking,0.300267427497203,0.300267427497203,0.0408918686236426,Inf,NaN,-0.832189154972272,0.372007875375635,3.32778741710836,7.99851466765689,Inf,1.93930411657156,1,-0.0284051139204343,0.0241732733376187,0.0804435148432486,0.00899264805520203,0.191825445115487,0,0.136184830184498,0,0.0113539142660564,0.719252744622932,-3.41519965650494,7.94547572077104,0.888211646734668,0.0113539142660564
2002,54,Banking,0.303045340537526,0.303045340537526,0.0448862776022872,12.5064058855195,NaN,-0.749633240263121,0.335848649294603,3.04146447896666,10.2446129876238,Inf,1.72403369991639,1,0.0962865612024414,0.101796029165746,0.309609006807471,0.0341880588988698,0.194803993280926,0,0.148117365944879,0,0.0146068036526218,0.72261481610681,2.46383728614436,8.05605690347356,0.88957666557766,0.0146068036526218
2003,54,Banking,0.22391421811121,0.22391421811121,0.0393294465676635,Inf,NaN,-0.717643767504999,0.382040765208679,3.28849361565748,13.1101431599733,Inf,2.48735041981621,1,0.101009138953738,0.100074422890355,0.329094100765538,0.0382325090988481,0.153593463214929,0,0.17564515062697,0,0,0.776112686628612,2.8377722464219,7.60770345766959,0.883824994097701,0
2004,54,Banking,0.165717472495902,0.165717472495902,0.0339850945532591,Inf,NaN,-0.621091012214637,0.340601991530884,2.99724336583077,11.7362713075431,Inf,3.1267999184173,1,0.103522126626094,0.0998888939622239,0.299391324748449,0.0340223562153508,0.108929896513266,0,0.205078523353049,0,0,0.741597451350148,2.26950760284094,7.79983447161253,0.886360842408973,0
2005,54,Banking,0.116046023986171,0.116046023986171,0.0317805881106682,Inf,NaN,-0.573705348842939,0.337706277644056,3.18554495590851,11.1284379752335,83.1022063595068,4.37006893256893,1,0.091185416268092,0.0842921900195611,0.268516560739294,0.0284660017259714,0.077277105431272,0,0.27386193011193,0.00406374622814599,0,0.744885046282367,2.53014462921835,8.43288018805736,0.893987251018079,0
