year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1995,62,Manufacturing,1.49388105798481,1.72501141738074,0.571635355951358,Inf,12.7950568495789,5.57928648833324,0.533904145102865,0.641156417723297,0.691302815014912,Inf,2.34493891699667,0.268902770987159,0.20226933715798,0.20226933715798,0.129686283627476,0.107992437535855,0.227683604563429,0.133987727308421,0.33138062171167,0,0.11159530935076,0.78903682892567,Inf,0.200883011686992,0.167279418338005,0.11159530935076
1996,62,Manufacturing,1.03507236729084,1.46168237845731,0.0699997852602646,Inf,5.63628870390295,6.66086617789845,0.49146915365047,0.640793820989239,0.644728489522485,Inf,2.10388014860222,0.218101704797892,0.151958409600148,0.151958409600148,0.0973740099191267,0.0746828709562561,0.233601307554042,0.291862320743525,0.0478898742243467,0,0.241381341688589,0.685818217966867,Inf,0.303833244120482,0.233030754117208,0.408905563399858
1997,62,Manufacturing,1.05985727327381,1.27862049386565,0.0118039010487408,4.42429368326722,12.2365424496495,12.7242695170071,0.501272500953343,0.714301015572865,0.618127211344211,Inf,2.77270877005092,0.244930179319073,0.17934733541483,0.17934733541483,0.1281079838271,0.0899018873627098,0.180788010038334,0.171093159887068,0.00923174710977311,0,0.327313513584841,0.474101051687054,Inf,0.424976026648273,0.298233925304371,0.642107068867688
1998,62,Manufacturing,0.940547762191049,1.07242070347592,0.215306475019004,Inf,15.2805938864629,37.648441475827,0.420590050602263,0.634682842763492,0.508653626745175,Inf,2.54240393496144,0.260928960594491,0.198190031486896,0.198190031486896,0.125787812591489,0.0833567553719378,0.165430065938221,0.122967545159697,0.200766801984664,0,0.25043214824818,0.457302910377562,Inf,0.509029616498675,0.337322482563166,0.573647436552421
1999,62,Manufacturing,0.701542416988047,0.83138213313165,0.0318505045201589,5.29777064022964,15.1068230687763,-15.5301989373533,0.433669427464533,0.693250884035404,0.513617918572007,Inf,3.14977783680967,0.250969281359325,0.182475520324873,0.120538580699983,0.0835634776306362,0.0522738972795491,0.137682544589807,0.156173329891663,0.0383103067180244,0,0.306434193818294,0.442278027500871,3.46302867410573,0.59856932707407,0.374440514030107,0.664021997747885
2000,62,Manufacturing,0.369957140786649,0.441753569875701,0.0208719537865873,6.15439440732469,19.3545968393125,-3.34569393961872,0.461241190017467,0.732681314527959,0.538749070795526,Inf,4.227971940569,0.255996789591892,0.139581804435596,0.0830914811111382,0.0608795756065838,0.0383252136280152,0.109092774621251,0.162525973721624,0.0472479572546753,0,0.188478939150389,0.666587230534391,2.90441040782432,0.588499315293617,0.370475019804991,0.443503887923285
2001,62,Manufacturing,0.415275901486023,0.522103294191001,0.0176036579029409,6.53873858945429,16.2873540856031,-4.8622756661158,0.440398093369236,0.756233280311323,0.516190517230102,Inf,4.45058583124345,0.251210087967097,0.153670364136973,0.093508830250783,0.0707144894386243,0.0411811105556323,0.0989528367878241,0.204609689104733,0.0337168106365192,0,0.159526406961793,0.453802357276023,3.04786825143398,0.71715895217084,0.417642866826351,0.159526406961793
2002,62,Manufacturing,0.561026857885513,0.686929705790453,0.0222728898831222,6.61753053256888,18.6720857461425,-9.94180227091922,0.465580985140323,0.773224383359611,0.526467510861373,Inf,4.53100649992749,0.244696661630244,0.15728187404385,0.0998513806757051,0.0772075222505778,0.0464889041826161,0.102754428877507,0.183283452213008,0.0324238269147099,0,0.177206774293777,0.375963940803671,3.21910547317015,0.660773115823377,0.397870792540966,0.177206774293777
2003,62,Manufacturing,0.482706684902542,0.571627551833796,0.0328161840592722,7.32278302035003,25.1477942911064,-6.84751140971148,0.483267438967071,0.858524965081119,0.542063972622812,Inf,5.13146229046179,0.23765897375753,0.145315458857048,0.0889845417150572,0.0763954505686789,0.0430033315822942,0.0941773341812049,0.155557349616886,0.0574083316208202,0,0.174666830072465,0.376926574131544,3.03226239684837,0.776500744424491,0.437095648207028,0.509286061617164
2004,62,Manufacturing,0.802797519738311,0.919237135613037,0.0348458375481142,6.56707751626343,31.2669374400632,-58.4566304745639,0.506594149755902,0.958334805550648,0.570308024343604,Inf,5.13591622512889,0.228847581263952,0.14555616077,0.0586571056697463,0.0562131459561801,0.0297153465739072,0.0986375414920614,0.126669834543915,0.0379073431632803,0,0.154526138880042,0.227636951941782,1.97133973996608,0.891721027596575,0.471380829724932,0.521390026510445
