year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1994,63,Manufacturing,0.927836571540906,1.40927558074768,0.114560466564005,Inf,1.87304341908262,4.44490253372293,0.608840348482107,1.10281645381055,1.29128923101969,Inf,1.29086893344958,0.504308986285086,0.132394391563932,0.132394391563932,0.146006713408942,0.0806070474968611,0.471651561754692,0.341621621621622,0.0812903225806452,0,0.198379377455721,0.747175538881477,Inf,0.811339305221761,0.447922320728545,0.198379377455721
1995,63,Manufacturing,0.849372776633589,1.11211383636023,0.0597079198651938,Inf,4.5809876719162,19.1733466933868,0.632806040897316,1.04036971591681,1.31688517256805,Inf,1.93289336341291,0.440074906367041,0.0914467380890166,0.0914467380890166,0.0951384169271895,0.0578680482830844,0.327387973323045,0.236253745917371,0.0536886763864103,0,0.161451444972845,0.751470298562062,Inf,0.644048751755698,0.391743372099432,0.161451444972845
1996,63,Manufacturing,1.07590290691984,1.47491925222668,0.0771018890085152,Inf,4.50254491935978,6.30207635632954,0.636537260616153,1.02275159704338,1.41106778644271,Inf,2.02924830366475,0.399731844306188,0.0815422222585577,0.0815422222585577,0.0833974380414061,0.0519046627810158,0.313681307243963,0.270534366342054,0.0522753288982531,0,0.186927221862382,0.563207144136819,Inf,0.606734338941102,0.377617610324729,0.186927221862382
1997,63,Manufacturing,0.761925949467662,1.36402351819482,0.176481805180359,Inf,4.57550804961731,11.0535184215121,0.72596589410429,0.963428275741365,1.5029677817612,Inf,2.94990563619842,0.315338014485771,0.125143159540942,0.0982015212429013,0.0946101222862274,0.0712909551715043,0.246098005711075,0.441412894056246,0.129383256832638,0,0.136908223799,0.731999534721414,5.99243570347958,0.327098536674454,0.246476450418009,0.136908223799
1998,63,Manufacturing,0.574612336517098,1.03252479442956,0.0242790718981195,Inf,5.60979391756703,88.5612676056338,0.703315324989094,1.15604603702818,1.5267515691583,Inf,2.78970252223874,0.108192784497086,-0.157955421964582,-0.157955421964582,-0.18260373958927,-0.11109246893281,0.252111226692617,0.443488098671222,0.0235142749395506,0,0.0613075516965612,0.623486233291443,-Inf,0.64370943722307,0.391619968010022,0.0613075516965612
1999,63,Manufacturing,0.463403612513395,0.742876324997095,0.012614101455076,Inf,4.94442391203918,-7.07537032387648,0.700669312090382,1.31722319859402,1.65499177824759,Inf,2.44892071326775,0.240436887002683,-0.0129306062197493,-0.0129306062197493,-0.017032494484538,-0.00906007896490338,0.286113514534913,0.376203552434913,0.0169800827279363,0,0.0465845107829597,0.822830128545628,-Inf,0.879949893430056,0.468070929180217,0.0465845107829597
2000,63,Manufacturing,0.412293295049716,0.657361620673154,0.0374993353538576,Inf,6.22705576046865,-5.63663873370577,0.671200158918614,1.61756847027388,1.54139127298189,Inf,2.9380004853191,0.209835501410971,-0.038371532796476,-0.02258930415032,-0.0365397461589846,-0.0151619445355557,0.228454747462615,0.372805953247594,0.0570452155625657,0,0.0674968217745947,0.594016250404681,3.48873591989987,1.40996437319083,0.585056106586345,0.158721761171166
2001,63,Manufacturing,0.279006321974765,0.432137142257548,0.0392303454788699,13.4216679657054,10.7402997858672,-3.1818916734034,0.666070349329143,1.85537852361648,1.55471289274106,Inf,4.18126081282059,0.0897720673635308,-0.16400987224158,-0.206583914053426,-0.38329135745936,-0.137599419799347,0.15929892421129,0.35435699760221,0.0907821652957781,0,0.194167873521603,0.575081462708183,-5.09332732191163,1.78555940147342,0.641005681131391,0.194167873521603
2002,63,Manufacturing,0.583323006382056,0.719871119648058,0.00745089534667575,5.10642962353989,12.4892796369824,-8.24330900243309,0.651965886726438,1.58632798782629,1.87015593832721,Inf,3.20778102943708,0.261477675217345,0.0724146721047547,0.0421742513684662,0.0669021953114192,0.0274961731904658,0.203245134485021,0.189684110862455,0.0103503184713376,0,0.17400149988491,0.479339456625853,3.16568914956012,1.43314569078352,0.589009403017713,0.17400149988491
2003,63,Manufacturing,0.278643144100149,0.444079495259732,0,10.8317212613714,8.59700380565008,-3.61018431964718,0.964869686652211,3.35366186285479,2.57646007329767,Inf,4.51940589603181,0.291343143861559,0.0701066587881464,0.116806809166083,0.39173054122205,0.112703349358923,0.213494806363686,0.372537694096467,0,0,0.199791352364936,0.674943622419728,-1.93619069447628,2.47576663382485,0.712293687882156,0.238193309335858
2004,63,Manufacturing,0.735691285224861,0.918022660588763,0,6.28630921395107,14.3254179867624,-48.8668108560664,1.11636951345079,2.36323331432601,3.00971140789632,Inf,4.36369526752561,0.347980034494181,0.187269420109422,0.0661928475974004,0.156429142612281,0.0738956770662323,0.255831226749209,0.198613153238468,0,0,0.337836572302059,0.52818703345105,1.99502631338789,1.11689166163366,0.527609268757631,0.50637874938448
