year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1995,64,Manufacturing,0.598649579104014,1.02633098638474,0.117573240343824,Inf,4.8037184181143,144.061577393505,1.70456870524241,3.39559805948783,3.40297288142348,Inf,3.69596502807925,0.458395058114003,0.122525397429517,0.0687648212665047,0.233497693653571,0.117214362352471,0.461197195398857,0.416709047036801,0.114556845602,0,0.306687692956933,1,3.59513787475303,0.895160648958168,0.449364972428076,0.306687692956933
1996,64,Manufacturing,0.479115024305444,0.663949071242314,0.213606219618195,Inf,9.01140816859706,-9.7116512992456,1.24384610429645,2.83359420856975,1.89324331895344,Inf,4.91545147096258,0.489642672190575,0.16250400729945,0.0941530418485364,0.266791514101238,0.117111894310963,0.253048191329794,0.278385880698692,0.321720789846903,0,0.257509741608741,0.697645169621902,3.80138448226132,1.24452860776477,0.54630336827059,0.257509741608741
1997,64,Manufacturing,0.287852112676056,0.628729853346885,0.0857231014955714,Inf,5.10116607209414,-9.88663195717533,1.28730335040309,2.45569128396921,1.87426495461138,Inf,5.83813744027944,0.526268814652189,0.189370339603236,0.113140093751854,0.277837142093887,0.145645621751681,0.220498979952324,0.54216884860207,0.136343297585197,0,0.339991786337043,0.741868810298048,3.40422222222222,0.901795905481215,0.472732422875802,0.339991786337043
1998,64,Manufacturing,0.309901537327793,0.628554174940124,0.0669689463879962,Inf,6.2637394404651,-10.4363891874018,1.2708607360481,2.42396528662217,1.6419003277324,Inf,6.16741300418492,0.485120674223162,0.159219742994664,0.0803359498557084,0.194731553718056,0.102095804364749,0.20606058572464,0.506961293579326,0.10654443015095,0,0.164007220216606,0.705429602888087,3.09473468130966,0.886394327076307,0.464727672939092,0.261870036101083
1999,64,Manufacturing,0.334358532596626,0.517770494451137,0.121186628889083,Inf,6.87223424944043,-4.83109107656237,1.04983714145341,2.339582727881,1.44373404734498,Inf,4.49947358159485,0.458960559498739,0.0754000236879887,0.0368637102901201,0.0862456998803739,0.0387008922343465,0.233324437273681,0.354234093715474,0.234054721518165,0,0.227092126041778,0.835046447979948,3.05060776063581,1.20262096092889,0.539650142235863,0.227092126041778
2000,64,Manufacturing,0.37817211869744,0.72951505945986,0.12372096469455,23.4425947187141,4.18564288576309,-10.0677422889388,1.07230008869387,2.30629200368974,1.7246002102181,Inf,3.73285326887334,0.459969580962798,0.15660362470853,0.0811763841614222,0.187216445679934,0.0870454439361404,0.287260176454113,0.481611635299973,0.169593434830742,0,0.461843820034789,0.735941240300778,3.26416378381444,1.15078971642999,0.535054500046681,0.521835858902563
2001,64,Manufacturing,0.330797414680334,0.580256061915936,0.0426577744843769,19.2989180361335,6.97613703874843,-7.41747744213417,1.24883750115589,2.40467908402383,1.94723345091274,Inf,5.36563320326357,0.441050078938391,0.0932425034973542,0.0462258986679642,0.111158451667059,0.057728635781186,0.232747460336332,0.429911316069528,0.0735154310039021,0,0.432593803893008,0.834495647334465,2.71766610143364,0.925534012069722,0.48066354905613,0.432593803893008
2002,64,Manufacturing,0.353677883167217,0.598923644347459,0.0430207573313341,18.935312485436,6.03212511599978,-6.78085049567743,1.27817573795659,2.71337269096689,2.17682136236512,Inf,4.54087734003912,0.456047945458349,0.107453943563175,0.055708290773945,0.151157354846465,0.0712049856702876,0.281482110667535,0.409477507683711,0.071830120145292,0,0.348983548836047,0.88853533491144,3.34851971161221,1.12285458601023,0.528937839563848,0.348983548836047
2003,64,Manufacturing,0.488972699774094,0.772434302051027,0,13.2833961266442,5.03075260586686,-11.2711441390914,1.02153480948314,2.62956493294079,1.96525000244477,8.46112877081447,3.32057467655855,0.444031159732191,0.0725849590350535,0.040828106456613,0.107360157016683,0.0417073319507137,0.30763795697613,0.366971794914162,0,0.120732686755317,0.309729143374881,0.651277809872531,3.22614176711268,1.57413804383382,0.611521999918669,0.332874770891952
2004,64,Manufacturing,0.435019032082654,0.746570162444607,0,10.1055384615385,3.91417566103599,-9.71997928330086,1.10732247315393,2.82644023551517,2.22206184985764,8.60910024246926,3.2995328432932,0.5049528565194,0.0446772016360665,0.0133894589410224,0.0378445054826842,0.014826448788766,0.335599772981417,0.417309914103444,0,0.12862232311937,0.34410266122811,0.73906937855404,2.14026984319922,1.55249965934925,0.608227175922544,0.368506875955635
2005,64,Manufacturing,0.715559907542482,1.02246824270765,0,7.72098904186569,4.43725311455485,122.201304476727,1.17667293753586,2.45919097905853,2.79110632592532,9.98848931323608,2.68531427529056,0.504004269927338,0.150658078290088,0.084605213678324,0.208060378259054,0.0995526653097229,0.438188166041959,0.300164173659248,0,0.117802892973677,0.527837229797413,0.821749768730123,3.12573614536669,1.08995286677406,0.521520309908449,0.554095255820064
2006,64,Manufacturing,0.697534556087188,1.10342238171186,0.095879851143009,6.26290585192989,3.93164478208193,29.411874317291,1.32617809389984,2.60504120378802,3.56234969998366,10.4947037784299,2.75673771252025,0.475382151759635,0.170340173505747,0.107736538667401,0.28065812238208,0.1428778374933,0.481067926004259,0.36784447402179,0.0868931541829526,0.126366415088873,0.53701244666348,0.888086259095979,3.72852907421576,0.964322300127481,0.490918572815112,0.53701244666348
2007,64,Manufacturing,0.570162564337767,0.970753707384192,0.105218366202925,6.90058260229023,3.41565743944637,-89.7773131207528,0.99559622887243,2.64697994852273,4.05012026978163,7.45157931273863,2.70475770508843,0.478879417427489,0.22852617849823,0.141382910999317,0.374237730478965,0.140760293017926,0.368090726573928,0.412659915691555,0.108388322807902,0.133608754210055,0.338088719019271,0.607782891761805,3.59370040288121,1.65868820286773,0.623874661601396,0.338088719019271
2008,64,Manufacturing,0.41353955650904,0.925964043820009,0.0160356880125531,6.17977390705068,1.98266644036152,-27.2124816446402,0.912382249647159,2.82739663327061,3.4385035006556,3.10592356296474,2.17578869507704,0.495723543981394,0.215198821478871,0.129421477792108,0.365925850582312,0.118081859060623,0.419334033544491,0.553395664476336,0.0173178301248058,0.293755538779663,0.383070436868503,0.668622034842868,3.43793103448276,2.09891674719015,0.677306594019759,0.451786969058176
2009,64,Manufacturing,0.942000862440707,1.30701041089139,0.22254666420255,6.47080446172047,5.14796125025316,12.292152416879,1.02760043613185,2.31589930478109,3.48823596401321,3.16208822405979,2.88736702691748,0.502081279260338,0.23834973326978,0.158142943891976,0.366243133815463,0.162507758114568,0.355895328356957,0.279270574594541,0.17027153138801,0.32497525790489,0.372732782718037,0.489492776566585,4.07234695300516,1.25369630388514,0.556284492158014,0.372732782718037
2010,64,Manufacturing,0.782332938524434,1.16142165165968,0.0986597723693204,6.84707593227381,3.32618117070002,17.3355775299811,1.01105899459781,Inf,3.81774480334069,3.47899150793525,2.4094070860184,0.54940470411185,0.258695810476237,0.157990072333608,Inf,0.159737283690054,0.419629792103172,0.326400590684295,0.084947419594197,0.290618414069618,0.422487137236439,0.660111981706292,3.51233779608651,Inf,0.547342006693683,0.422487137236439
