year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,68,Insurance,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,Inf,0.152494142223979,0.0649005190311419,0,NaN,NaN,0,0,0,NaN,1.34965982553708,0.574406478277586,0
1993,68,Insurance,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,Inf,0.170007177083993,0.0725631703899918,0,NaN,NaN,0,0,0,NaN,1.34288518776518,0.573175840957929,0
1994,68,Insurance,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,Inf,0.183413093600449,0.0739347930505278,0,NaN,NaN,0,0,0,NaN,1.48074128611009,0.596894684020822,0
1995,68,Insurance,1.20336684991597,1.20336684991597,0.426712621414533,NaN,NaN,0,0,0,0,NaN,0,NaN,NaN,Inf,0.201266621228606,0.0835806254263152,0.371347753626755,0,0.354598949974673,0,0,0.527751804671551,0,1.40805354353375,0.584726841857293,0
1996,68,Insurance,1.36726878833186,1.36726878833186,0,NaN,NaN,0,0,0,0,NaN,0,NaN,NaN,Inf,0.210242346984321,0.0824597742681361,0.37653301738155,0,0,0,NaN,Inf,NaN,0,0,NaN
1997,68,Insurance,1.72523317995274,1.72523317995274,0,NaN,NaN,0,0,0,0,NaN,0,NaN,NaN,Inf,0.193695406811267,0.0927866101901601,0.407635788239546,0,0,0,NaN,Inf,NaN,0,0,NaN
1998,68,Insurance,1.60270749825777,1.60270749825777,0,NaN,NaN,0,0,0,0,NaN,0,NaN,NaN,Inf,0.152271655920144,0.0723237830378162,0.424579637732964,0,0,0,NaN,Inf,NaN,0,0,NaN
1999,68,Insurance,4.40272294077604,4.40272294077604,0,NaN,NaN,0,0,0,0,NaN,0,NaN,NaN,Inf,0.236820179848881,0.0541117157805597,0.28304657121788,0,0,0,NaN,Inf,NaN,0,0,NaN
2000,68,Insurance,1.36491614091021,1.36491614091021,0,NaN,NaN,0,0,0,0,NaN,0,NaN,NaN,Inf,0.0887201553183186,0.0458424855362223,0.387947043365169,0,0,0,NaN,Inf,NaN,0,0,NaN
2001,68,Insurance,3.37212658392842,3.37212658392842,1.31180463098308,220.797560045749,NaN,1.13655934658121,0.561296594046778,0.885786475953921,17.5948474905821,3.90017105068218,0.799514067202297,0.219508868138243,-0.0875504185429732,0.492898237422991,0.43660259273081,0.276662101877185,0.70204717724467,0,0.389014053397388,0.143915891573166,0,0.568316564501578,-20.9265373503921,0.578107698049028,0.366329686347597,0
2002,68,Insurance,2.22682933323866,2.22682933323866,0.384488390257758,329.987563334869,NaN,2.59154099096003,0.814492308741772,1.56651425797522,22.4128081591791,2.50916063954608,1.42776029511706,0.231637779294615,0.0832952960833497,0.0700052903184381,0.109664285417528,0.0570187705356026,0.570468524392601,0,0.17266181315232,0.324607478654342,0,0.533640262689847,10.0730925050641,0.923301474012897,0.480060711484021,0
2003,68,Insurance,1.85130943378756,1.85130943378756,0.270552014691585,546.224440894569,NaN,3.09927217025596,0.687903426173953,1.35754540383558,21.077916474033,1.6331373522978,1.42517484557739,0.242011309117336,0.0674189505946279,0.0752171821376191,0.102110739900388,0.0517421572996185,0.482680022250365,0,0.146140893442145,0.421215903981427,0,0.528556134465777,6.05940333815219,0.973455455705826,0.493275098803892,0
2004,68,Insurance,1.94911870503597,1.94911870503597,0.395427158273381,939.787148594378,NaN,3.32578973299729,0.715483538255822,1.34427551079026,19.5827219727189,1.55627356786103,1.61948537892979,0.260446624816067,0.0411711330572732,0.157936870834348,0.21231066771346,0.113001231165612,0.441796849520579,0,0.2028748465918,0.45974149598852,0,0.484580154002362,5.28971449487555,0.878834996074527,0.467755283412693,0
2005,68,Insurance,1.27707733195656,1.27707733195656,0.380185629550535,1777.32545931759,NaN,7.16921464416541,0.621026991284762,1.40723107391714,9.04956700700273,1.37913259539109,1.55544759594623,0.232842706535078,0.0876113656870375,0.0707468386395554,0.099557149714984,0.0439356963432316,0.399259346893632,0,0.297699771217509,0.450302598430468,0,0.559588435078227,49.4391666666667,1.265972015852,0.55868777106152,0
2006,68,Insurance,1.79474052203765,1.79474052203765,0.651327627170877,6538.33628318584,NaN,3.08057172401141,0.590514767824573,1.19412016647137,9.22525222255519,1.38113121486802,1.36412765525327,0.248317614829894,0.0741386404487082,0.252361835978951,0.301350357590206,0.149023390980893,0.432888201885281,0,0.362909077481237,0.427558773176381,0,0.477165458912373,26.1710463449594,1.02216816841084,0.505481287055435,0
2007,68,Insurance,1.21485116202502,1.21485116202502,0.166949218625902,13550.2181818182,NaN,10.0180395741478,0.645791956520986,1.72335234906313,9.72254184441574,1.31267261300868,1.77172933689298,0.171624207325746,0.0284691826498601,0.0263665663887331,0.0454388841227521,0.0170273164949204,0.364498088434596,0,0.137423598745724,0.491967265958885,0,0.479849053256816,15.9286786786787,1.66858750974103,0.625269924126624,0
2008,68,Insurance,1.13409432114265,1.13409432114265,0.183196753858197,176433,NaN,12.4390501840127,0.659090535526703,2.1439924755565,14.3895377287704,1.57179459311141,1.47078241993488,0.122885174542177,-0.0455356991039091,-0.0225592717915583,-0.0483669089751348,-0.0148686025261906,0.448122391587932,0,0.16153572982679,0.419323579820958,0,0.570522729797983,-2.3295059151009,2.25295594457771,0.69258729074801,0
2009,68,Insurance,1.27337015491354,1.27337015491354,0.0862351308176129,Inf,NaN,8.39028664107517,0.69742232387167,1.64827217402025,16.1307270448135,1.37013647289308,1.80124683305105,0.32172015895666,0.140695683089145,0.118351995166412,0.195076300372576,0.0825413235038077,0.387188646816571,0,0.0677219663778503,0.509016683862917,0,0.527090807668595,7.40117526826776,1.36337582116365,0.57687604540894,0
2010,68,Insurance,1.25506560058566,1.25506560058566,0.206224906489139,Inf,NaN,7.86330083503,0.527878983840949,1.0926744820813,12.3751199819321,Inf,1.59804997375175,0.380813114589547,0,0.158694563609341,0.173401500100954,0.0837715249791818,0.330326956297646,0,0.164314045730285,0,0,0.509186831722497,0,1.06993366951415,0.516892732009757,0
