year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1996,65,Manufacturing,2.10526097419301,2.31711061322712,0.885818604265206,Inf,19.7420681551116,3.50061426996377,0.526102250185819,0.593865063460254,0.718426956122601,Inf,1.98984726126739,0.0929027149117676,0.0532633833361829,0.0532633833361829,0.0316312625250501,0.0280219858256757,0.26439328305567,0.091428366787831,0.38229448314144,0,0.59882997261638,1,Inf,0.128801603206413,0.114104730929285,0.59882997261638
1997,65,Manufacturing,1.20553414096916,1.32485545154185,0.386976872246696,Inf,31.2855494663975,12.6913867994491,0.545482694400554,0.628658392590066,0.666559091920766,Inf,3.11193661514482,0.0945539843397833,-0.018974239110473,-0.018974239110473,-0.0119283146598095,-0.0103501190741812,0.175287212389179,0.0900636446291726,0.292089881802832,0,0.425282213656388,1,-Inf,0.152480911023064,0.132306669520197,0.425282213656388
1998,65,Manufacturing,0.876531720179929,1.07392142524762,0.134237408318376,Inf,10.4180511899416,32.4310551558753,0.409063754811291,0.547481453743156,0.523332027300915,Inf,2.23233261116269,0.1422035308254,0.047924946852759,0.047924946852759,0.026238019573512,0.0196043587087212,0.18324498453581,0.183802744248427,0.124997420819148,0,0.145929293533529,0.674896811628881,Inf,0.338376835649296,0.252826279293109,0.145929293533529
1999,65,Manufacturing,1.42911563186159,1.53646728922515,0.179386788709293,3.80462954945594,25.4728930507639,6.50027121652941,0.488844964287569,0.603257487003002,0.623098594212352,Inf,2.2696108815427,0.215826246595711,0.00945235512331303,0.00945235512331303,0.00570220399794977,0.00462073620268937,0.215387125724076,0.0698691460055096,0.116752754820937,0,0.080735989988659,0.739138086113175,Inf,0.234046642747309,0.189657857847464,0.080735989988659
2000,65,Manufacturing,2.14552401068522,2.30067714480959,0.102068708454992,4.82680790667082,21.7805805805806,3.32979892057124,0.482010011338809,0.609888067046046,0.647909183422164,Inf,1.88248636388184,0.219734350794653,0.0225557978082506,0.0225557978082506,0.0137565119259554,0.0108721203573108,0.256049669515197,0.0674380299184533,0.0443646379003078,0,0.0842002868778131,0.530789903219956,Inf,0.265301659092201,0.209674631488703,0.0842002868778131
2001,65,Manufacturing,1.19136729954924,1.3213814141966,0.0545462823840095,4.73255735719572,18.7685168972159,9.96529007579514,0.39424052371104,0.51137768084333,0.560547318593133,Inf,2.42372034526127,0.238079328973557,0.0688299687233438,0.0247014500995166,0.0126317702653581,0.00973831262365555,0.162659245932328,0.0983925710249298,0.0412797408817601,0,0.284579999510632,0.537399985318946,1.76246814706953,0.297121046892039,0.22906192726111,0.284579999510632
2002,65,Manufacturing,1.16538406072604,1.22279324042634,0.0438008836215373,4.95851989826987,24.6270838090888,8.14563963751912,0.326507265964247,0.450226207551527,0.506949047641718,Inf,1.48413762048225,0.220954004637824,0.0753465725617112,0.0335194723572713,0.0150913449185425,0.0109443512759368,0.2199979715211,0.0469492125097833,0.0358203514490034,0,0.592358929460438,0.654726957477125,2.18795888399413,0.378916350366388,0.27479284748905,0.592358929460438
2003,65,Manufacturing,0.377612086726185,0.420986079771521,0,5.8110286591607,27.4636843427997,-2.56522393960502,0.314199472402597,0.439916186146823,0.520883985503922,Inf,3.52814603832211,0.198000836654264,0.0483057751161408,0.0171807686944524,0.00755809823913422,0.005398188459268,0.0890551210153483,0.103029518384257,0,0,0.295319938675059,0.740232389251997,1.85827216261999,0.400117520194748,0.285774239964581,0.448898571774389
2004,65,Manufacturing,0.611451154960122,0.658933641512934,0,5.70004883209897,33.9477163461538,-5.85956912779753,0.448352682472465,0.649580775009739,0.566445867908963,Inf,3.03293348345747,0.193434851827262,-0.0052329856574786,-0.0158988527410707,-0.0103275890853104,-0.00712829327469376,0.147828063133568,0.0720595877360125,0,0,0.369814323059278,0.7242020644548,-0.574901960784314,0.448816524142536,0.309781477960546,0.369814323059278
2005,65,Manufacturing,2.69863516739091,2.96792949384907,0,6.38785772690106,29.3727272727273,4.85933320893201,0.507529445393656,0.772624104356942,0.668676658135972,Inf,3.22205266739529,0.172848118683879,-0.00924817756500925,-0.0201923876938437,-0.0156011254567841,-0.0102482313274302,0.157517426865633,0.0907347452209597,0,0,0.154682899582501,0.154682899582501,-1.39478764478764,0.522323702337449,0.343109485542036,0.154682899582501
2006,65,Manufacturing,1.47863401482813,1.71682767917322,0.284610199955066,6.70417078799868,23.9939634031315,10.1968281827869,0.542202608518851,0.810921290734251,0.683257728494624,Inf,4.25748534338358,0.218097989795291,0.0462531505501936,0.00745681440954079,0.00604688956575058,0.00404310422409397,0.127352783342277,0.138740577889447,0.165776800670017,0,0.178860970850349,0.223852823432376,1.40137828273421,0.49560566104517,0.331374555441858,0.483443641996419
2007,65,Manufacturing,1.0324828540867,1.17636695400491,0.52350091235135,6.74667195627259,13.0981742647863,13.6509989297182,0.481494298073142,0.861495423894811,0.684170060212151,Inf,2.04662762088147,0.217216033452027,-0.0891901603998563,-0.0825650909803665,-0.0711294480530445,-0.0397546205269367,0.23526228863547,0.122312259306804,0.445014976465554,0,0.436578633935512,0.45339590480198,-15.8180764774044,0.789212099379721,0.441094769956744,0.983182729133533
2008,65,Manufacturing,0.828351398517427,0.98768792327767,0.169471173089547,5.33655181759664,11.6718247588424,-204.836150845254,0.473695764618142,0.740913730415191,0.671327747423691,Inf,2.55339601231966,0.2625778477517,-0.201918498720789,-0.201918498720789,-0.149604188127055,-0.0956479376420916,0.185515980416922,0.161322742745988,0.171583725076998,0,0.520791121561565,0.520791121561565,-Inf,0.564113056852978,0.360660026704197,0.884783750656628
2009,65,Manufacturing,1.2257353771986,1.39853489510753,0.455726714624685,5.88788850518007,15.4179380993897,9.02310636488211,0.493999498125732,0.75480856648194,0.68451107120197,Inf,2.57127852958998,0.259122520371185,0.216217348499131,0.182324724020193,0.137620263571897,0.0900683221618881,0.192122126187748,0.123557530465226,0.325860095603582,0,0.360173996376323,0.39757123818936,7.49872865964402,0.527958068825943,0.345532672273516,0.636247248551278
2010,65,Manufacturing,1.1913682712829,1.27896244140019,0.114572882654457,6.26129203422432,27.3881715951687,12.3457137252338,0.480310874238396,Inf,0.668601377551924,Inf,2.69280029665973,0.303411492402133,0.0579175119039422,0.0417684041037484,Inf,0.020061818690614,0.178368546243179,0.068488461648173,0.0895826796360213,0,0.312763271947566,0.416832676895938,4.21712302352487,Inf,0.334579035068751,0.541842181298377
2011,65,Manufacturing,1.18316161217877,1.26731926419914,0.065128319418491,6.13361326767967,30.3104501935221,13.0212916052075,0.547534166783522,0.807487035092743,0.753843640589439,Inf,2.74661814836859,0.267172640008668,0.0793386557394812,0.0614703434281746,0.0496365053609494,0.0336571132708425,0.199348485011919,0.066406038634273,0.0513906173908338,0,0.372714251011467,0.4886120907012,4.44141163496002,0.474774108364354,0.321930922152588,0.628994563624027
2012,65,Manufacturing,1.24958238745877,1.31724275781328,0.0868919632786511,6.26359719248801,35.7619751002321,10.4020252025203,0.604078187031031,0.974126740618362,0.808567280614298,Inf,2.5052080510725,0.26675983091986,0.0869196523213907,0.0492962926107479,0.0480208368454769,0.0297788150676518,0.241128950057629,0.0513651488711373,0.0659650339796881,0,0.307721415352015,0.481881540292675,2.31052328924669,0.612583869988873,0.37987721531228,0.488596412772018
2013,65,Manufacturing,1.00667373926774,1.06593555709069,0.092198756538044,5.91358382900527,37.0308076602831,45.7575304022451,0.62247933968435,1.05227515230785,0.843041753272046,Inf,2.83042275688875,0.272633231659948,0.107807861833228,0.0675705512442042,0.0711028121020204,0.0420612721205997,0.21992451062985,0.0555960605955398,0.0864956196692474,0,0.307572953470548,0.505137743879261,2.6793008840565,0.690457956149107,0.408444323408068,0.508627297029518
