year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1996,67,Manufacturing,2.13312167749557,3.42771707028943,0.458800945067927,Inf,6.61343675145432,3.69696785377574,0.204462310881613,0.226979488567934,0.224101822901304,Inf,2.61841680129241,0.046067785455742,0.00384995064165844,0.00384995064165844,0.000873859827655423,0.000787169804973635,0.0780862354613269,0.377684437264405,0.133850296176629,0,0.167703758965055,0.229641058681904,Inf,0.110126877724977,0.0992018972810684,0.167703758965055
1997,67,Manufacturing,1.08030812095386,1.60755551913464,0.15524870933377,Inf,10.1136151694125,9.16920690585379,0.296679941083411,0.36005667222796,0.330069722953223,Inf,3.46538716419432,0.0427916829090695,0.00603114128316208,0.00365546002162385,0.00131617277084823,0.00108450166384813,0.0856123506628116,0.327980832951012,0.0965743997553143,0,0.131680406619971,0.302559970247319,2.99270072992701,0.213619872355075,0.176018766024767,0.697514411454782
1998,67,Manufacturing,1.33084851234848,1.71627665780774,0.363518506514552,Inf,11.9685502859065,6.42108597285068,0.162598253775466,0.305062009454588,0.173953869237332,Inf,2.67979756014654,-0.00298789339421871,-0.217961185573549,-0.217961185573549,-0.066491677254171,-0.0354401081650893,0.0606755734812201,0.224572270272312,0.211806473543075,0,0.0559340872343088,0.0757025190826584,-Inf,0.876170268567903,0.466999335426358,0.0904509420490763
1999,67,Manufacturing,1.71087738721284,2.323332410739,0.588652089676169,13.5517889087657,11.1179501084599,6.33769764912574,0.351009410663565,0.377817566101678,0.396487564376335,Inf,3.60984965809726,0.188101036902098,0.00509540687351906,0.00275891201182768,0.00104236542139742,0.000968404079344265,0.0972365732396128,0.263610588263325,0.253365418979772,0,0.244384249471459,0.596756078224101,2.18079096045198,0.0754892010443604,0.0701328427988268,0.477636099365751
2000,67,Manufacturing,1.17007289324886,1.48412698412698,0.533585394100416,Inf,9.36182212581345,7.67747836487723,0.242562196574965,0.26322772382317,0.270851897725609,Inf,2.50441807624337,0.208980938416422,0.0462609970674487,0.00581011730205279,0.00152938395256497,0.00140931481514413,0.0968537157896609,0.211608638773496,0.359528126506162,0,0.484682031825132,0.831247522509768,Inf,0.0851968177234854,0.078508171358455,0.502633218189025
2001,67,Manufacturing,1.54114285714286,2.12514285714286,0.369777777777778,Inf,8.8672537508154,5.80097059985328,0.242667957131391,0.255872938435576,0.273432138696344,Inf,3.07128559051119,0.206597340441055,0.0646796175060069,0.00523351394468818,0.00133911459137092,0.00127000613757613,0.0790118502431424,0.274805055122345,0.174001374324042,0,0.332357515323392,0.720428140151862,Inf,0.0544158423727717,0.0516075728247014,0.332357515323392
2002,67,Manufacturing,1.48069131971382,1.91414533229894,0.54891819670718,8.96353994033808,8.2614099632097,5.1000471475719,0.243037815418697,0.275562348745383,0.28646487116337,Inf,2.43564802305683,0.231917686647192,0.0688070850127575,0.0120826091779758,0.00332951216405553,0.00293653093917314,0.0997836358611765,0.226447806899036,0.286769341619382,0,0.44165461052311,0.441673646539252,Inf,0.133822443000892,0.118027424098427,0.44165461052311
2003,67,Manufacturing,1.95551501543643,2.39933576574048,0,9.78407534246575,9.37331365935919,3.82009025572455,0.270509285012605,0.289828681570905,0.308092558792843,Inf,2.22794533367126,0.221774969810462,0.0613766429233973,0.0184549957122106,0.0053487870756667,0.00499224769502077,0.121416482228876,0.184976507515645,0,0,0.759161931818182,0.759161931818182,Inf,0.0714186078951039,0.0666579872412446,0.759161931818182
2004,67,Manufacturing,2.29977800933267,2.78013863090654,0,8.67016629086809,9.02122040931812,3.13152469905581,0.279928383905944,0.2987317248445,0.325517719389213,Inf,2.00513313561255,0.222638503986282,0.0550358805984705,0.0165302689216316,0.00493811574710244,0.00462729146476297,0.139605883985568,0.172782974285435,0,0,0.797751996819545,0.797751996819545,Inf,0.0671743975450233,0.0629461787308391,0.797751996819545
2005,67,Manufacturing,2.19540634797619,2.56110191284743,0,8.77398500129299,10.5360755225893,3.062529617511,0.28381958981716,0.304866734806195,0.335016859951321,Inf,1.86674369343347,0.194089127295234,0.0538403725426626,0.0184945032273277,0.00563835881077803,0.00524910231985227,0.152039935003147,0.142788368958213,0,0,0.859899430510118,0.859899430510118,Inf,0.0741567733312367,0.0690371975230929,0.859899430510118
