year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1996,70,Manufacturing,0.648129772639027,1.97864446266017,0.0285171922861211,Inf,1.60437743190661,2.91681361311938,0.251587512833188,0.312977460324969,0.323055514867438,Inf,1.4426662015132,0.25218771253684,-0.0724098843799592,-0.0957757122345651,-0.0299756391759892,-0.0240959732309213,0.174390661241872,0.672437476833177,0.0144124893705165,0,0.256198507318019,0.449336047300572,-3.09896507115136,0.244010311960455,0.196148142514925,0.256198507318019
1997,70,Manufacturing,1.20049160180254,2.62884063908234,0.0358459647685375,Inf,1.73380944186313,2.06634808853119,0.303683770856589,0.371733789415102,0.410141975678428,Inf,1.28031790556335,0.264210423817522,0.0818301321843278,0.0818301321843278,0.0304190251252189,0.0248504831114298,0.237194035588346,0.543338008415147,0.0136356552906343,0,0.301140837960626,0.492882382635033,Inf,0.22408184133965,0.183061159615285,0.301140837960626
1998,70,Manufacturing,0.692709912094574,1.85503182782661,0.0837753864807517,Inf,1.862465771287,3.35885845962953,0.280795604835274,0.337025393846961,0.406517495119387,Inf,1.54818415784959,0.246226713810755,0.0875507942371629,0.0516254155892132,0.0173990760214676,0.0144961897952455,0.181370932787025,0.626577883083459,0.0451611585440582,0,0.372324362732037,0.586020072830624,Inf,0.200251670764839,0.166841401384788,0.372324362732037
1999,70,Manufacturing,0.574087466220074,1.91466524568949,0.00114185665892742,Inf,1.42750063882343,2.5821647039241,0.229794987260769,0.273225631745109,0.335559509195819,Inf,1.23354007633588,0.18976020112164,0.0512473409398569,0.050328756526784,0.0137511062969763,0.0115652959649227,0.186289032410974,0.700163008905852,0.000596374045801527,0,0.440473416895764,0.612110339685942,75.7142857142857,0.188992950521556,0.158951531670321,0.440473416895764
2000,70,Manufacturing,0.403596118475297,1.55834971776495,0.0116382317498573,Inf,1.37518536826495,4.28295564264213,0.271346838904681,0.327327340362269,0.387289946176918,Inf,1.53456380619035,0.335950139238828,0.0782522211908235,0.0658400742607081,0.0215512563970119,0.0178654960238926,0.176823432046346,0.741010561445636,0.0074683054882888,0,0.633949799070041,0.663468619158829,8.40598290598291,0.206306075587831,0.171022993055306,0.635128027099245
2001,70,Manufacturing,0.199541364702587,0.871827189020761,0.00225816615901691,106.0369088812,1.70201796641062,-12.555859054903,0.288153708724475,0.395340236686391,0.457528765378031,Inf,1.84591599068348,0.288979050188178,0.0757608719298627,0.0551373811647486,0.0217980253199395,0.0158880408719773,0.156103370997822,0.771122801381415,0.00259015340133323,0,0.603068172622282,0.660408550190171,4.96082621082621,0.371976916196505,0.271124762964472,0.603068172622282
2002,70,Manufacturing,0.32097727504331,1.26620299602568,0.00720982370325079,75.8713298791019,1.77003935097838,8.40836443678821,0.274131900567552,0.378764625240341,0.440133454230309,Inf,1.76775115188829,0.252529621325078,0.0423747140304351,0.0297977441127261,0.0112863313818643,0.0081685122262472,0.155073806782548,0.74650409448502,0.00569405042152069,0,0.374894112066142,0.443340072512057,4.55134474327628,0.381687517783085,0.276247351785809,0.662073483402419
2003,70,Manufacturing,0.527703354410031,1.10431179223377,0,83.9088639200999,1.58026144600706,11.5087328767123,0.203460071441545,0.290379721678569,0.33919081912279,1.12694500335345,1.08709927862065,0.24098733838211,0.0241478329440121,0.0132418800493967,0.00384517344324481,0.00269419386087062,0.187158684991221,0.522142787823893,0,0.180541260519465,0.511766669026405,0.566195730221175,2.98895027624309,0.427207410383696,0.299330992310952,0.745815677430447
2004,70,Manufacturing,0.787996865180801,1.00621836798969,0,316.826271186441,2.01876216687924,88.0694935217903,0.160156191430891,0.263043837707957,0.376856663323371,0.845969338688692,0.544264085019654,0.195583849353359,0.585280389455805,0.531355739524682,0.139769852912722,0.0850999115372176,0.294261914094713,0.216872907264522,0,0.189316780297432,0.729450742018509,0.747664421444609,14.6263368983957,0.642420660467963,0.391142583584478,0.8828486939379
2005,70,Manufacturing,0.253904176560972,0.795530101969549,0,24.2801125703565,2.34620245003224,-8.84089356469463,0.245913102963392,0.316295655404349,0.431126613230993,1.04544903745951,2.27231703890996,0.297025801117353,0.342152643088407,0.294715368626027,0.0932171906773033,0.0724743707898262,0.108221299560099,0.680836493889591,0,0.235222468195077,0.469125470739435,0.611342151780911,11.99972899729,0.286209037228218,0.222521401221841,0.588276986926039
2006,70,Manufacturing,0.259839551225985,0.946632686913774,0.0362216123292216,29.0190098182578,2.05440892323907,-39.2523311669963,0.271109896758329,0.342842616792906,0.476790960762239,1.13725971771949,2.21288729589805,0.326446578458615,0.079156888434571,0.0250874641864751,0.00860105187038943,0.00680145982552353,0.122514100587443,0.725511748307447,0.0382636399840701,0.238388727336599,0.488876659173375,0.618560355200687,2.4279090306911,0.26458908690641,0.209229297995667,0.603150913653026
2007,70,Manufacturing,0.271518444380898,1.10294538175579,0.0247354875607664,98.0914742451154,1.83759673258813,19.1755208333333,0.273790696406173,0.376647070056744,0.408675157067482,3.06850951521045,1.78978156598393,0.226036885134585,0.00746937556020317,-0.0155272473766648,-0.00584829223046705,-0.00425121587252797,0.152974363804925,0.753824215711693,0.0224267565465388,0.0892259564616002,0.407321678194724,0.507888096145816,0.534672715489307,0.375675196420777,0.273084226129981,0.668763502350998
2008,70,Manufacturing,0.726900620926138,0.853016588922183,0.0247289240369466,82.0485629335976,8.54268218003674,-8.69976881042455,0.223306863178792,0.321125045092571,0.344479350879018,2.96823348033416,1.4990584145149,0.157464336188049,-0.00646236727988694,-0.0491381497094955,-0.0157794905412272,-0.0109728860740373,0.148964750817302,0.147847028573498,0.0289899684931011,0.0752322432377027,0.494531962560547,0.57329826705275,-0.263546798029557,0.438043777613139,0.304610877938781,0.726465301206953
