year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
2001,74,Manufacturing,0.137146680046831,1.47449406255227,0.022077270446563,3917,0.907828914457229,4.14205146281283,0.200978296191144,0.266946842344389,0.236662437314966,Inf,1.33291742286751,0.382265339120075,0.0864607267466599,0.0619521742830397,0.0165379373012267,0.0124510424327421,0.150780755614086,0.906987295825771,0.01497277676951,0,0.232957298082912,0.413800262993979,Inf,0.328237164925034,0.247122406745455,0.52038203335871
2002,74,Manufacturing,0.117991551459293,1.01104070660522,0.0396505376344086,Inf,0.953988389593636,98.9217391304348,0.188148123645866,0.278919236993086,0.227834411487853,Inf,1.08023929351439,0.21993670886076,-0.0768284106891702,-0.0700597749648383,-0.0195410189771,-0.0131816152026859,0.174172634503746,0.883296932864875,0.039217548191055,0,0.415662956751537,0.529348986125934,-Inf,0.482444956602756,0.325438698046739,0.415662956751537
2003,74,Manufacturing,0.156809309862267,0.570450025778891,0,2293,3.16114672364672,-3.14540466392318,0.314967119383252,0.476541798721879,0.380454620872739,Inf,2.36849580374435,0.0322176188399477,-0.110226777147841,-0.107991713911906,-0.0514625655946381,-0.0340138390480933,0.132981919953298,0.725112976113622,0,0,0.605560338279232,0.687547475565909,63.1875,0.512989037252559,0.339056678285057,0.623740314984555
2004,74,Manufacturing,0.116641203431661,0.355799741450229,0,677.206896551724,3.69434889434889,-1.79138921827967,0.332514984253835,0.53604279826405,0.41171044632188,Inf,3.24343517753922,0.234380569275421,-0.257752431386527,-0.250725597026325,-0.134399650626416,-0.0833700179472419,0.102519386407504,0.672171758876961,0,0,0.704583965040578,0.758851333273879,49.6274509803922,0.612113437235582,0.379702685313738,0.748639971461696
2005,74,Manufacturing,0.0565927275092695,0.433617381122748,0,Inf,1.05572808833678,-1.32640404272424,0.205067651550126,0.32076991445395,0.252233166619346,Inf,1.73252325232523,0.470170577539181,0.105203913758767,0.0755043726729587,0.0242195311632041,0.0154835043858092,0.118363578252069,0.86948694869487,0,0,0.721374421581176,0.756768730924486,4.78346456692913,0.564215087212532,0.360701729464825,0.757605592202422
2006,74,Manufacturing,0.976877576626636,1.06416920595089,0.0621975264384298,194.285714285714,16.0841889117043,41.7877094972067,0.313653136531365,0.36430937073836,0.4026375992464,Inf,2.51979114030655,0.476403743315508,0.478542780748663,0.371724598930481,0.135422754724333,0.116592586380409,0.124475847031198,0.0820279602492841,0.0584470271180731,0,0.551115802171291,0.841224366706876,6.05156382079459,0.161503993765829,0.139047299563905,0.709891435464415
2007,74,Manufacturing,1.17788697788698,1.29140049140049,0.13038493038493,Inf,10.2207792207792,6.36930860033727,0.215545283341894,0.253603401969561,0.319994351878001,1618.71428571429,1.43721461187215,0.37481246138911,0.616450445679993,0.502868237578325,0.127529095792301,0.108390876752459,0.149974319465845,0.0878995433789954,0.100963977676306,0.000133158325248721,0.709759188846641,0.773764258555133,7.33718487394958,0.176589077887198,0.150088455173201,0.935868187579214
2008,74,Manufacturing,2.54795799299883,2.56966161026838,0.0212368728121354,4.32483426823049,60.0322580645161,1.26092774308653,0.168544684910272,0.192278044799129,0.26204232967712,Inf,0.77022977022977,0.341704987619385,0.451833510199269,0.363518453012616,0.0698966173936701,0.0612691031220811,0.218823903495697,0.00844609935519026,0.00826446280991736,0,0.622444050877475,0.68990500724521,6.9045045045045,0.140813457876122,0.123432500645879,0.932539043632265
2009,74,Manufacturing,2.5474774927807,2.56140648887379,0.00696449804654323,5412.5,87.0609756097561,1.1776544821584,0.199326066141268,0.247089705546679,0.319916068209357,Inf,0.717885801445719,0.340508083140878,0.0522863741339492,0.0369515011547344,0.00913033553983109,0.00736539736318774,0.27765706709877,0.00543802639432323,0.00271901319716162,0,0.503048199657078,0.560773480662983,4.56451612903226,0.239625656242867,0.193304853796862,0.942274718994094
2010,74,Manufacturing,3.47953757225434,3.51491329479769,0.0120231213872832,1.77698099677304,46.8496732026144,1.3669210260182,0.283345720656338,Inf,0.463336345788276,Inf,0.978029206683331,0.51789077212806,0.393664245359161,0.317662093085822,Inf,0.0900081946906028,0.289710898938502,0.0100644652019471,0.00342060255229575,0,0.419396501115416,0.507807913584596,7.0011961722488,Inf,0.162312046195186,0.911705999765176
