year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
2000,76,Manufacturing,3.84179763218322,4.57450869292935,2.87391524766648,Inf,9.18461538461538,1.98747747447107,0.587943344677889,0.839442267576253,1.00569066907577,Inf,1.55300951126815,0.0527312185436579,0.00739630688377052,0.00355543242369673,0.00298458025596211,0.00209039283096447,0.378583222067835,0.160172623975697,0.628245663213753,0,0.0713126570287079,0.276230487252358,4.52956298200514,0.427760472458702,0.299602405802753,0.0713126570287079
2001,76,Manufacturing,1.75693190897523,1.79827183144438,1.24907525227118,15.1236950332173,114.616320687187,7.08867141162515,0.580959556678981,0.891857227474337,0.746930819919301,Inf,3.14673600026329,0.162662636489144,0.0963634271848722,0.0680510814542108,0.0606918488323827,0.0395349261131635,0.184622909780284,0.0229886948937781,0.694597574421169,0,0.191910476638691,0.29451547398053,3.30707106963388,0.535145118487391,0.348595785533735,0.191910476638691
2002,76,Manufacturing,0.74169165874235,0.808865481676542,0.216077828981055,13.4105040748566,56.6671506352087,-22.6707488200026,0.631870124513785,1.02025397846005,0.745265453325505,Inf,5.35708687526376,0.121530982016251,0.00514866416079588,0.00342118886312994,0.00349048154867155,0.00216174703293109,0.117950322484302,0.0830469644902635,0.267136914451076,0,0.243102385444492,0.38306278370351,3.51923076923077,0.614657726134981,0.380673697085197,0.243102385444492
2003,76,Manufacturing,1.39656629842306,1.48010610079576,0,19.2117524995284,55.9706908583391,12.3661587031753,0.730617471716251,1.10466144209128,0.925554151936237,Inf,4.01124502737406,0.212442864647516,0.148844037057585,0.0989822420133246,0.109341866203867,0.0723181554045814,0.182142319088033,0.0564417661191855,0,0,0.214816148818289,0.363433159952117,3.51175721070312,0.511955961710551,0.338605074933102,0.403434431178957
2004,76,Manufacturing,2.20286155947802,2.39245784951648,0,19.2467289719626,32.2210845657945,6.38013115092683,0.803111990718624,1.18627893357399,1.04922877049076,Inf,3.71336268425719,0.312364442717944,0.273044737949565,0.181577967692856,0.215402117875212,0.145827443104451,0.216276205425185,0.0792474944027888,0,0,0.14293044641869,0.279874435311044,3.51186634745498,0.477102754389839,0.322999028315346,0.540219939431136
2005,76,Manufacturing,2.22663476874003,2.36552365762892,0,12.3651386976195,33.1117703349282,4.89396741352125,0.852415439281742,1.13331079405865,1.24296958430566,Inf,2.82509467249497,0.311839718704258,0.228616432253548,0.239105358620251,0.270980683841594,0.2038170993029,0.301729866818564,0.0587138025193559,0,0,0.228341609553905,0.514630442812,25.6246098974588,0.329528703766313,0.247853771665717,0.713711166741905
2006,76,Manufacturing,0.853103711942166,0.903951758654247,0.526423258723759,12.3924211263291,30.531954887218,-25.6200470417948,0.954213879707405,1.98419393260001,1.47067010095135,Inf,2.72222542630294,0.369101425121114,0.325196678013022,0.247775455148939,0.491634554753731,0.236430778353937,0.35052713507394,0.0562508410711883,0.582357690754945,0,0.391320433848491,0.747019076611516,4.93685339051193,1.07940166748406,0.51909243142527,0.644301357236974
2007,76,Manufacturing,1.68041387527813,1.77139591717631,1.28021690760757,11.3078867357779,22.7120138981692,4.86553707936008,0.985395937676566,1.76004333200296,1.84374178751463,Inf,2.11881228893831,0.449441842083098,0.411562906956403,0.27232793640304,0.479308968584298,0.268350842247398,0.465069955852638,0.051361776899212,0.722716415451775,0,0.156499539451258,0.59651578558011,3.47246289665728,0.78612805747192,0.440129728763459,0.364464494230448
2008,76,Manufacturing,2.51343570057582,2.62333120068245,1.86995094902964,13.7375322555164,35.4288763826897,3.42707375390841,0.945265194751546,1.45386145897775,1.70607317105074,Inf,2.1206913371488,0.300147204268924,0.289873573000284,0.191679892050203,0.278676007512805,0.18118833048879,0.445734453757152,0.0418915842872008,0.712815426638918,0,0.189372280919826,0.485705407085146,3.46962466733963,0.538046113461185,0.349824435530335,0.426009944064636
2009,76,Manufacturing,3.63461461860187,3.77259510057757,1.65958972316272,5.95736373921338,58.9113741339492,3.85817314599316,1.04851927769644,1.9691305973706,1.663973431149,Inf,2.83548901394769,0.240117370192737,0.214394232774286,0.14095594149364,0.277560657276307,0.147795021961933,0.369784285017081,0.0365744211337648,0.439906663428746,0,0.171983564938536,0.209655598610369,3.43122765196663,0.878010866616318,0.467521717911176,0.358239243719936
2010,76,Manufacturing,2.51301877125157,2.58491313056034,1.77770273417486,10.3341479671184,58.1762228701004,4.1009801184371,1.14425584255843,Inf,2.10011287531041,Inf,2.51447414655242,0.356498401914836,0.343792549913288,0.227530062633472,Inf,0.260352603526035,0.455067650676507,0.0278130659242641,0.687722427944608,0,0.196657368629614,0.333626001351971,3.47545912268628,Inf,0.527679376793768,0.325584105795604
2011,76,Manufacturing,2.24939630411022,2.27932691085636,1.63276225820391,8.5728352082305,84.0955414012739,3.2781343135307,0.740963544298113,1.71790546696446,1.24118228972718,Inf,1.83993152747265,0.39982180576222,0.366722529145971,0.255496595217242,0.438918997714506,0.189313662748268,0.402712564698485,0.0131313356603584,0.716335270042712,0,0.11021741018898,0.310684135295,3.29709552612937,1.31847501835163,0.568682003435616,0.157430879670213
2012,76,Manufacturing,2.03018397551201,2.17143172709773,1.39666761336741,8.88603988603989,19.6343833780161,3.52889834731894,0.495624439576405,1.03457181104166,0.670656536697248,Inf,1.90375015440957,0.329123345394586,0.308836776133987,0.214514725415655,0.221930887968378,0.10631874056502,0.26034111589087,0.06504821211879,0.643201255622325,0,0.225182204759294,0.230149939900573,3.27414720997046,1.08741080630704,0.520937614685841,0.27048010545543
2013,76,Manufacturing,2.32407284987109,2.94607324651286,0.581642096912805,8.12501325791055,4.41664895312998,1.95167851349859,0.389356961939534,0.855874510271269,0.558540604387325,Inf,1.28921076399212,0.276703971873151,0.11883854910015,0.083427611654541,0.0714035662679319,0.0324831214156833,0.302011876424197,0.211128626003444,0.19742961163687,0,0.113660876078936,0.188071327110705,3.35598427131973,1.19817441046344,0.545077044278223,0.18611937375866
2014,76,Manufacturing,2.65667650918635,3.28950131233596,1.86213910761155,12.8828379478827,4.01757523913213,1.81361056975811,0.426514026896188,0.851517190338424,0.645217369138808,Inf,1.26227758716987,0.387702372768862,0.239481356816081,0.177412473036717,0.151069770571217,0.0756689082965017,0.337892418618053,0.192377124391606,0.566085534189739,0,0.0969828532073854,0.205802023584858,3.85831582967348,0.996457646504743,0.499112840309571,0.177129507405294
