year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,80,Manufacturing,0.52947459437465,1.97512842683485,0.13030873302477,Inf,2.19357562537382,4.35348424786146,1.51470881803169,2.853309175441,5.31116767419663,Inf,2.14933175392063,0.253004253279818,0.0865991733061762,0.0551967890732642,0.157493504717626,0.0836070631363084,0.704734769431791,0.731929029433729,0.0659748152344655,0,0.16100580270793,0.760580270793037,3.8022093634929,0.883700259811295,0.469121463441192,0.16100580270793
1993,80,Manufacturing,0.777231926249394,2.57647986414362,0.107957302280446,Inf,2.27553428166925,4.40849459469857,1.89164204235931,2.77894992118346,6.88931641916672,Inf,2.69744120901109,0.410891002705297,0.242953137272013,0.155231695610437,0.431381108281799,0.293642801723426,0.701272760288558,0.698335726560109,0.0419010851910266,0,0.43444318064316,0.852445455485472,3.79498364231189,0.46906753971141,0.31929610248114,0.43444318064316
1994,80,Manufacturing,0.449509080734598,1.27140458869614,0.147682759322379,Inf,2.47657217132954,12.4004686035614,1.38662348958825,2.86366981213748,5.99433697277216,Inf,2.64710707426376,0.395199262355173,0.17894689108402,0.114478547081541,0.327828759414769,0.158738642437199,0.523825992182014,0.646446862996159,0.116157170294494,0,0.163293916859685,0.798772806696737,3.80353413654618,1.06523244740715,0.515798409155217,0.163293916859685
1995,80,Manufacturing,0.394725656193546,1.32294286422727,0.0252382133116078,Inf,1.5758171306455,7.36344192168476,1.04628056668173,2.5067211829282,3.59757241231478,Inf,1.79748580914641,0.3848880944401,0.0844151491453469,0.0549063419357241,0.137634890407378,0.0574474385549304,0.582080014961894,0.701630609403449,0.0190773267644854,0,0.080346155903911,0.755203038895725,3.91908713692946,1.39584033456555,0.582609915371788,0.080346155903911
1996,80,Manufacturing,0.466324993642534,1.39285225249897,0.0647483421685804,Inf,1.78530560540483,6.97495394114425,1.04646715175783,2.08108750557124,3.05387080599097,Inf,1.96727711926296,0.396322049144048,0.145647425006068,0.0983380687902454,0.204650126281385,0.102907558756294,0.53193682857954,0.665201393180158,0.0464861524633448,0,0.134895113301677,0.768182364609004,4.21964839710445,0.988679245283019,0.497153700189753,0.134895113301677
1997,80,Manufacturing,0.415445095026508,1.26139556773667,0.0117658458258932,Inf,1.58543050692149,8.55475534844313,0.950903236819335,2.03033921097943,2.5970259625432,Inf,1.77277864957696,0.400227796072994,0.182800158466833,0.115903632356947,0.235323689469252,0.110213139167339,0.536391408507908,0.670646460434339,0.00932764164298177,0,0.146024890353318,0.804183271367188,3.74473750951053,1.1290359068458,0.528780556716444,0.146024890353318
1998,80,Manufacturing,0.428857365622054,1.19352286083344,0.046175508826644,Inf,1.5631562928017,10.014912808178,0.928692510148548,1.93500714526379,2.76841755319149,Inf,1.62386045649991,0.383276893147921,0.0926879938516224,0.06118356269664,0.118390630990694,0.0568207164205737,0.571904135254494,0.640679387303414,0.0386884159004709,0,0.094190188208202,0.924716719215745,4.03160094019326,1.0796784050377,0.518183744479636,0.094190188208202
1999,80,Manufacturing,0.917442252122888,2.03545533514156,0.125795529082239,Inf,1.64813052992104,2.99751750586382,0.889811600758273,1.7703469266004,2.78770798503304,Inf,1.52486543921685,0.406323893946836,0.109548668623845,0.0577386595995019,0.102217458568005,0.0513765291238698,0.583534505979275,0.549269278336149,0.0618021564563048,0,0.111612936187605,0.576396055791141,2.89771868862366,0.989564900856447,0.497375014611487,0.111612936187605
2000,80,Manufacturing,1.17251373849329,2.67702367426438,0.333132376469497,Inf,1.93046158588272,2.82407189768406,0.942730281225336,1.79817410289819,3.44925358011348,Inf,1.76914215431521,0.386744740539826,0.160268493177512,0.0864181815511307,0.155394936084798,0.0814690365966796,0.532874240165421,0.562008453729689,0.124441326265461,0,0.251050246917174,0.41842031221197,4.49039780521262,0.907410994119097,0.475729141184996,0.25779317169718
2001,80,Manufacturing,1.07893341543093,2.29534609266766,0.13050096635709,4.10265573277159,1.84818616422947,2.880174291939,0.961831859109469,1.74384023791631,3.41019948721156,Inf,1.62538561273304,0.397409801494522,0.131252005684683,0.0780085270251685,0.136034408327071,0.075031086575009,0.591756104874199,0.529947392736323,0.0568545923309638,0,0.285762045231072,0.574896755162242,3.37817109144543,0.813040628047903,0.448440379917632,0.285762045231072
