year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1996,99,Manufacturing,1.66328573739989,1.82495348272793,0.0346452552382493,Inf,19.3788077813223,3.42599720512883,0.351053527354029,0.501852187700324,0.471926959945831,Inf,1.54869061208205,-0.10849917348275,-0.0329354600946022,-0.0329354600946022,-0.0165287327013929,-0.011562109441238,0.226677636330522,0.0885873239280529,0.018984185386721,0,0.090298939411995,0.420864472855416,-Inf,0.421907349315597,0.295130850923524,0.090298939411995
1997,99,Manufacturing,1.65678390668756,1.96480230198083,0.120931069033733,Inf,10.9482442238719,3.64154661411871,0.35039920875697,0.473975717370433,0.442898853005618,Inf,1.78815576128459,0.040164240115246,0.0355061388947796,0.0355061388947796,0.0168290476537074,0.0124413229747458,0.195955641193834,0.156768136408808,0.0615487211674251,0,0.0751981732507424,0.389816674094512,Inf,0.34607599499513,0.255845922843555,0.0751981732507424
1998,99,Manufacturing,1.44355301661976,1.67726579017376,0.141036949916691,Inf,13.7497603642463,4.9460007029005,0.263904914235288,0.307631674709686,0.306226728327665,Inf,1.99715339922532,0.0406783061573379,-0.210108550720397,-0.210108550720397,-0.0646360453289408,-0.055448679057967,0.132140532789146,0.139341525310538,0.084087418191532,0,0.0960374371391321,0.554269882659713,-Inf,0.165690060216564,0.14213887816447,0.292900602222636
1999,99,Manufacturing,0.479848570353649,0.709579571106095,0.0851203912716328,11.0486769433682,11.971340839304,-10.8518743421585,0.305268516219842,0.35733347907691,0.353393826817079,Inf,4.44151174735726,0.127369312437748,0.00123105389404729,0.00123105389404729,0.000439896770891098,0.000375801995622476,0.0687307686175725,0.323756503297213,0.119958909102959,0,0.419934972566551,0.664780454254138,Inf,0.170554643177068,0.145704127672465,0.419934972566551
2000,99,Manufacturing,0.858351507858916,1.10324383946254,0.0614549647790228,Inf,13.1076364008599,39.6090809760835,0.365407984409737,0.420033266902522,0.433216351905629,Inf,3.70669968983969,0.2150524121866,0.0847974008459511,0.0847974008459511,0.0356177293021675,0.0309856473263035,0.0985804124923701,0.221974800895261,0.0557038821163612,0,0.164317025069542,0.687082856084811,Inf,0.149491212079078,0.130049895560919,0.164317025069542
2001,99,Manufacturing,0.980836595920049,1.30627103509856,0.0783535957139914,7.63484195236668,14.1320177289996,18.5661583314645,0.376428033911329,0.419807176678647,0.436191344299609,Inf,4.35306025870228,0.191202671933226,0.0470124959987438,0.0395233522373817,0.0165921869156509,0.0148776977763025,0.0864743448379345,0.249132400883374,0.0599826480176675,0,0.530005170460171,0.640653018118613,6.27741935483871,0.115238873992939,0.103331112894535,0.530005170460171
2002,99,Manufacturing,0.975728085455566,1.12147474194895,0.0437067215639981,6.40316260291324,26.3895693401817,38.3430907798056,0.372729189299411,0.425290075964609,0.424526123251255,Inf,4.15320727590146,0.174232472746717,0.0407122479824689,0.0177505648468964,0.00754913907215126,0.00661615364499031,0.0897449042483702,0.129959820798193,0.0389725420726306,0,0.532098546779892,0.647498578472954,2.11870677175487,0.141017602389224,0.123589473599324,0.532098546779892
2003,99,Manufacturing,0.986218705552564,1.13473355703771,0,7.34687869393581,24.3228265922827,33.7616070513478,0.373390280644602,0.425790540400802,0.420674357039143,299.465454545455,4.00871321829289,0.205881995798574,0.0681578084587082,0.0344158682743798,0.014653951150911,0.0128505507135983,0.0931446726946484,0.130880813882737,0,0.00124685593939827,0.629121688833217,0.666995173709612,2.41341502741051,0.14033772464997,0.123066948229408,0.632851932358251
2004,99,Manufacturing,0.932898477561974,1.11931078460026,0,7.54126549013389,19.0467502850627,37.0648034740007,0.363723875843124,0.415060579724963,0.411070839790809,176.875132837407,3.95085158150852,0.197113665926658,0.109841714256532,0.0711249432977148,0.0295211601980546,0.0258698400453673,0.0920621461827344,0.166542044982494,0,0.002056387859663,0.652920597900986,0.66498816212587,3.33491426486684,0.141141968650912,0.123684845994906,0.652920597900986
2005,99,Manufacturing,0.895655760241958,1.01331225368894,0,6.96368464133842,26.8647517039922,300.175559380379,0.378007744301501,0.43766264727656,0.426601633493715,180.260465116279,3.94351611079706,0.209008497608972,0.100884737560349,0.0659625463010745,0.0288693426352309,0.0249343533356525,0.0958555090637371,0.116110797060486,0,0.00209700859285847,0.628255891613396,0.694017746398244,3.3956383286693,0.157812715660564,0.136302307359687,0.628255891613396
2006,99,Manufacturing,0.707964129390413,0.845485925767766,0.067622148677983,7.41173265528514,18.5067279078794,-21.1469944725933,0.388893771342351,0.460234000934801,0.446292108617541,72.9166170339488,3.86465129003746,0.221095019889403,0.116975830494907,0.0760071988477487,0.0349810972255464,0.029558726209069,0.100628424702862,0.162654152110779,0.079980218022644,0.00533340392302194,0.517596349577168,0.767818353211197,3.37044010355378,0.183444001548812,0.1550086031183,0.743234012322909
2007,99,Manufacturing,0.6968202634617,0.801004610197482,0.118626574003991,7.25551320446502,20.7497615028987,-14.3342938374059,0.399967195856815,0.486085524515795,0.46550041922025,41.6305512162464,3.5611010890626,0.242127298019529,0.157057355672714,0.104333235949214,0.0507148757208037,0.0417298718172745,0.112315597298054,0.130067100000954,0.148097242504939,0.00960754023599687,0.641202204970259,0.791447571446724,3.5014639976098,0.215313479582983,0.177167029906444,0.843449531958152
2008,99,Manufacturing,0.772186993351817,0.853231516035265,0.0847091779468337,6.33163080965676,34.1581439393939,-25.1998823452513,0.395159075068673,0.464110645100711,0.441487576996057,98.6270145817345,4.33475376658421,0.251508949947216,0.139853138382447,0.0905240277745355,0.0420131649275544,0.0357713910868763,0.0911606740191054,0.0949853834045424,0.0992804137620868,0.00400660079537534,0.620174131412645,0.719147556365041,3.33238566131026,0.174490665613729,0.148567094420073,0.620174131412645
2009,99,Manufacturing,0.560577645636619,0.639389682098866,0.0820923318195184,7.74907736350153,27.9594560981676,-8.14224622186786,0.367693196491785,0.469535540824089,0.406305016759908,65.8467174677608,4.59215730360045,0.249520405574423,0.147445798040673,0.0945657834414183,0.04440199627162,0.034771195192325,0.0800698173391182,0.123261351674519,0.12839170558718,0.00558407784976998,0.435197935569548,0.577357664839414,3.27757989512219,0.276975372629009,0.216899363853734,0.584933279509245
