year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,103,Manufacturing,1.42509741665464,2.50476259200462,0.389810939529514,Inf,4.80163079802166,4.4250227784971,1.45567124152074,2.4453425202067,4.13603765127745,Inf,2.65837918815361,0.221425088052018,0.0352533188837713,0.0202871850447033,0.0496091162051146,0.0295314718409844,0.547578482410475,0.431044913716113,0.155627898936936,0,0.106373026700448,0.540167608653284,3.42781875658588,0.679872797137936,0.404716832307935,0.106373026700448
1993,103,Manufacturing,0.852570420708616,2.12771696840795,0.0962286662862479,Inf,2.56572149220943,4.34757808546851,1.07811644460668,1.48582747724379,2.71118760757315,Inf,2.30427150380339,0.332698493313018,0.236044100220078,0.166074149314373,0.246757534311182,0.17904727139989,0.467877349881365,0.599302711137117,0.0452262531694948,0,0.559652477552378,0.801338543398736,4.62362694300518,0.378185476897923,0.274411388939587,0.559652477552378
1994,103,Manufacturing,0.816154485049834,1.87362956810631,0.049875415282392,Inf,3.00699026076029,5.21186480962114,0.855602203736363,1.34233594515181,1.61730562152435,Inf,2.43017044572999,0.301627113697306,0.158743912004524,0.100782546834242,0.135284035259549,0.086229769169541,0.352074976979383,0.564399228672119,0.0266196777267992,0,0.119392361111111,0.418055555555556,3.75269512721,0.705190989226249,0.449487303544395,0.119392361111111
1995,103,Manufacturing,0.480693274658683,1.73448518404963,0.0968853139033672,Inf,2.41079417137761,5.1558993247391,0.820191714256697,1.1977160719175,1.4926495677889,Inf,2.18331738967683,0.201829750350043,0.0478916437273186,0.0258603446140951,0.0309733503696267,0.0212104403803036,0.375663070396788,0.722861123819823,0.055858253961652,0,0.143096140977024,0.687126676084963,2.48726193420727,0.460287943780232,0.315203549916799,0.143096140977024
1996,103,Manufacturing,1.00067863981192,2.25465958942291,0.0528854310574663,Inf,3.72843944489543,4.3572422053085,0.89248915830458,1.28399594689983,1.58705487500264,Inf,2.42469228701962,0.14477493493884,0.0216308959597796,0.0216308959597796,0.027773982740169,0.0193053401285176,0.368083473141084,0.556173071754905,0.0234560601988713,0,0.0910600968089386,0.535420911249822,Inf,0.438662704647403,0.30490883479472,0.0910600968089386
1997,103,Manufacturing,0.614697643763388,1.41772944471906,0.0641456582633053,9.12015764683265,3.3340036112935,7.48477437677501,0.76466842902737,1.05250488107916,1.2827803466645,Inf,2.2053648218312,0.143707115528526,0.00836346005881299,0.00836346005881299,0.00880258253461129,0.00639527386440569,0.346731035816757,0.566421050184793,0.0452453452964831,0,0.0489795918367347,0.894275399690562,Inf,0.376425496982606,0.273481575808376,0.0489795918367347
1998,103,Manufacturing,0.734305516605905,1.55937262128921,0.0523216217298986,5.9998647140393,3.71426837262376,6.35265890778872,0.781471773749477,1.10072969149438,1.28461772415891,Inf,2.27880329364009,0.137605835466014,-0.0324749997181479,-0.0396509543512328,-0.0436449827504902,-0.0309861016277174,0.342930772449946,0.52910195640166,0.0335529949773273,0,0.175583121797021,0.797004965116465,-4.52553024351925,0.388653793651188,0.275927842999053,0.175583121797021
1999,103,Manufacturing,1.2501474708745,2.73857100722607,0.0638548886594898,Inf,4.86418805112454,4.75488262612125,1.03998998163299,1.35825397979211,1.7042982556151,Inf,3.01861848925028,0.124196123553914,0.0225531383514847,0.0241631211367103,0.0328196554481355,0.0251294039071631,0.344525147956439,0.543503722351611,0.0233168643394677,0,0.0604105223570396,0.536885651511253,-45.9727272727273,0.306032080637736,0.234323110888481,0.0604105223570396
2000,103,Manufacturing,2.65783535311325,6.22407020476389,0.258671124111993,9.13265556099951,4.35962034216077,3.57848846510735,1.05816984497188,1.33653409498315,1.74904797278805,Inf,3.00354500409555,0.168327543734939,0.0690281074942886,0.0378983981365988,0.0506525012548101,0.0401029420808871,0.352306971771351,0.572974714989728,0.0415598018020438,0,0.271777399204997,0.271777399204997,2.8656273199703,0.263061975668635,0.208273212824237,0.271777399204997
2001,103,Manufacturing,1.59867351868933,3.36298150832345,0.101726182632758,7.78449266780452,4.68367855008962,4.15415071192238,1.08614405132193,1.43871067421155,1.86832249327024,Inf,2.91889244432835,0.158185113094839,0.0661520907443453,0.0389377363133991,0.0560201368637221,0.0422919906687403,0.372108281493002,0.524626134656828,0.0302488082021812,0,0.299030204470182,0.451520139618825,4.38044444444444,0.324603925658407,0.24505734836703,0.299030204470182
