year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
2002,10,Insurance,NA,2.14319015591562,1.0298456129624,Inf,NA,0.132609059000501,0.008777519637128,0.0692720065657359,1.23007751937984,0.0104125927539694,0.0707344471586755,-5.44517267456516,-2.03882026720444,0.951096546508697,0.0658843662143992,0.00834826861378471,0.124091160526607,NA,0.48051994365494,0.842971567651289,0,0.0663013101653732,-Inf,6.89197967415789,0.873289080650514,0
2003,10,Insurance,NA,0.726238803696005,0.0246944483745633,Inf,NA,-2.19086427605947,0.0566997103745582,0.698298255173025,16.1894829612221,0.0651576059968313,0.825862818264922,-0.56700357473371,-0.0992396886171043,0.393129978769348,0.274521978230844,0.0222903559357783,0.0686551193740386,NA,0.0340032070014536,0.87019327225306,0,0.102889501537469,-Inf,11.3157287852102,0.918803018689329,0
2004,10,Insurance,NA,0.927457035933583,0.308156814300767,Inf,NA,-7.95201843133327,0.0654898809739872,0.836891320619459,26.0108125819135,0.077007097826224,0.62198351510593,-0.686892989859545,-0.0677835863198337,0.200831391320778,0.16807404830429,0.013152423913438,0.105291988265692,NA,0.332259934812586,0.850439541583208,0,0.123165913968678,1.37375542507021,11.7789303899554,0.921745428866531,0
2005,10,Insurance,NA,0.579919062315392,0.163846361944934,Inf,NA,-1.08291714856482,0.052038939680631,0.612603436354579,24.4284020160095,0.06076152298698,0.784441969173355,-0.51618384164472,0.242508829204947,0.467699066713594,0.286514055448577,0.0243385635213961,0.0663388009892811,NA,0.282533154352193,0.856445611012447,0,0.125012682305992,Inf,10.7720199549452,0.91505281134187,0
2006,10,Insurance,NA,1.42632643636293,0.0238391039358913,Inf,NA,1.62420090627527,0.059727761921567,0.574200229777181,27.7732846334464,0.0746948845002589,0.485470763674173,-0.509651965619276,0.326250528392278,0.4948475881828,0.284141598839248,0.0295561389344439,0.123030605323236,NA,0.0167136381463139,0.799623191349335,0,0.0962709932746377,Inf,8.61362373716943,0.895980950852729,0
2007,10,Insurance,NA,0.400068815327355,0.0884696562170872,Inf,NA,-0.852400769365274,0.0636257798428568,0.499870799443822,33.47212304312,0.0780018240875562,1.27823460312133,-0.482768806616778,0.519815872390705,0.744970132598136,0.3723888157436,0.0473993056461928,0.0497762927771542,NA,0.221136096660514,0.815696050536427,0,0.142565727251572,18.0076748152359,6.85641921683955,0.872715549870788,0
2008,10,Insurance,NA,0.430461052746176,0.137499319579772,Inf,NA,-0.628181847143904,0.04010115790619,0.369952391003541,11.5377413692218,0.0518525287574708,0.831141460124768,-0.728243229536464,-0.319188051526524,0.08781316563546,0.0324866905884284,0.00352140962139,0.0482482944602115,NA,0.319423368740516,0.773369377870742,0,0.125711737532012,-Inf,8.22547902155304,0.891604544580964,0
2009,10,Insurance,NA,0.743638005309711,0.223209994115295,Inf,NA,-1.82368711559691,0.0473321220913707,0.34099241518274,16.7918683446273,0.0582293197683494,0.628698457189112,-0.331632653061224,0.816557131327107,0.813395979860871,0.27736185967269,0.0384997578274048,0.0752858887279458,NA,0.300159476145027,0.812857204577858,0,0.117557812244208,Inf,6.20424946349295,0.861193035434512,0
2010,10,Insurance,NA,0.921167103355295,0.146413641643984,Inf,NA,-9.75562009250296,0.036736481021159,0.235242548975363,6.99236758923753,Inf,0.834879782024375,-0.500926150521511,0,0.99144413327747,0.233229845078861,0.0364221685856872,0.0440021207988558,NA,0.158943628263191,0,0,0.0566079034008518,NaN,5.40351600696147,0.843836134669917,0
2011,10,Insurance,NA,1.0420841525136,0.0537303298039494,Inf,NA,15.6553470919325,0.030963967460801,0.205131041671276,7.33178103857306,Inf,0.632234942908449,-0.675838596407128,0,2.24989513799839,0.46152333330875,0.0696656798431967,0.0489754130297806,NA,0.0515604518832256,0,0,0.0553529339008585,NaN,5.62483068201653,0.849052745949484,0
2012,10,Insurance,NA,1.17003985887803,0.35065713285395,Inf,NA,3.39053652742031,0.0268599532676713,0.155327759567401,7.21746459878624,Inf,0.492740779956151,-0.81712757509226,0,2.27005185219788,0.352602068303726,0.0609734866652258,0.0545113259553261,NA,0.299696741263329,0,0,0.0563301437039903,NaN,4.78287527232424,0.827075640938373,0
2013,10,Insurance,NA,1.32296068309203,0.416283654068855,Inf,NA,2.18632966262411,0.0373890612672055,0.307584345237028,11.3992521811383,Inf,0.533726005866746,-0.314782418543626,0,1.12349296595962,0.345568848313095,0.0420063473375385,0.0700529126484804,NA,0.314660639117343,0,0,0.0602789748171865,NaN,7.22658421968325,0.878442626636742,0
2014,10,Insurance,NA,1.85096557772149,0.14701066458976,Inf,NA,1.07231859095855,0.0331739617530502,0.281506174194195,13.7126532116856,Inf,0.492989291772689,-0.247345358746203,0,1.387355842899,0.390549235580461,0.0460240896702023,0.0672914448785762,NA,0.07942377014419,0,0,0.0412113060351996,NaN,7.48575688034342,0.882155473683624,0
