year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,12,1,1.16507936507937,1.16507936507937,0,Inf,NA,0.133484162895928,0.00215014577259475,0.00238268314352637,Inf,Inf,0.018913287385799,1,48.6016949152542,48.6016949152542,0.115802439221388,0.104500728862974,0.113684402332362,0,0,0,0.0507936507936508,1,Inf,0.108129391810032,0.0975765306122449,0.0507936507936508
1993,12,1,0.421376821425664,1.39907198871191,0.0238786530268906,Inf,0.634675695928506,2.3455497382199,0.244524150445865,0.346460172547129,0.887311263729197,Inf,0.669045771916214,0.337082560296846,0.600127551020408,0.383580705009276,0.132895437243263,0.0937947460198194,0.365481945645548,0.698816912335144,0.0170674941815361,0,0.369865323921266,0.887874334449611,2.99205087440382,0.416875069048982,0.294221472418731,0.369865323921266
1994,12,1,0.37597367541582,0.998791742718322,0.00100259646777552,Inf,0.301440541544558,-338.553191489362,0.0869755340315281,0.156632673150372,0.287318755529875,Inf,0.409554205703696,0.541038210155857,0.713172448466566,0.595525389643037,0.0932787337087057,0.051796138793537,0.212366355467127,0.623571502110573,0.00100380932770514,0,0.32251720747296,0.478109636184857,7.60080375083724,0.800881993936292,0.444716531473424,0.32251720747296
1995,12,1,0.254806844240607,0.74992650085259,0.00391015464220615,Inf,0.683629238168755,-2.45156360216318,0.125979447461743,0.197048012321997,0.29635051018958,Inf,0.817508232711306,0.447897185057306,0.73989354049777,0.542224140411452,0.10684418910108,0.0683090976094534,0.154101747751122,0.660224243374628,0.00521405049396268,0,0.376291854407799,0.569739200348403,4.53394064061123,0.564137696429078,0.360672277030333,0.376291854407799
1996,12,1,0.363203303591181,0.968881350932822,0.00275790870879729,1.67189574031616,0.213889159442875,-6.56635071090047,0.0657726085924519,0.124856939450467,0.20320016426141,Inf,0.210898850749677,0.36600505232768,1.05774088776615,0.893035005413208,0.111501617598025,0.0587372418704011,0.311868027533824,0.62513128853033,0.0028464875561306,0,0.304630430845391,0.682238947135411,6.42199824715162,0.895635639424333,0.471806313790648,0.304630430845391
1997,12,1,0.896195908876213,3.34763652218145,0.034770918867856,Inf,0.04576781135599,0.0584703005540595,0.0160797432688952,0.0345035435084387,0.0389067391662547,Inf,0.0410041568533814,0.182636315510852,4.91635786130228,4.12228692429857,0.142233506246804,0.0662853154234446,0.392149101526256,0.732289959516807,0.0103867067519021,0,0.075144370162701,0.21983402423342,7.54733848029256,1.14341163147512,0.532866007814296,0.075144370162701
1998,12,1,1.38781878833531,3.43618852900032,0.0224900462713871,Inf,0.407028972183552,1.53472912387641,0.243362692395244,0.604411470519165,0.446626090198019,Inf,1.08809206920849,0.777007094443885,0.211466233037372,0.173504482594868,0.104868099466831,0.042224518026931,0.223660018560997,0.59611680889376,0.00654505597745244,0,0.0505531356076284,0.108962145239868,6.54857397504456,1.48359179981387,0.597359435465513,0.740005745340705
1999,12,1,0.946906392349694,2.34661679085342,0.0186430963226643,Inf,0.275760253453738,1.22932861399225,0.172256193262434,0.489274059808484,0.322672828943887,Inf,0.705455854373425,0.76683796195058,0.140371018295794,0.104727020919892,0.0512402146971237,0.0180398779553759,0.244177140489434,0.596480176891037,0.00794467012906875,0,0.0384082475025919,0.160594727101844,4.62920673076923,1.84038588419908,0.64793516065442,0.0384082475025919
2000,12,1,0.80006299433051,2.55903968642822,0.00171484566389025,4.27233449477352,0.183402638228448,1.37622339947921,0.193544720991022,0.465148744717495,Inf,Inf,0.838434397308608,0.849644418346708,0.386491159391923,0.348698375415933,0.162196611609751,0.0674887297798992,0.230840625828693,0.687358113837149,0.000670112961899292,0,0.0715127595155709,0.154487456747405,12.0279187817259,1.40330644977732,0.583904736649367,0.106363538062284
2001,12,1,0.533969070864553,1.75587174247584,0.00991447816544312,4.54180647812093,0.253102095592031,2.21360389827114,0.172268787515941,0.347216987058676,0.403698315793318,Inf,0.952917343141622,0.815164947831856,0.325960436644352,0.2375309088716,0.0824747665117058,0.0409191616688701,0.180780409503303,0.695895173919915,0.00564647059668683,0,0.139323769118549,0.204338435049771,4.42921532472854,1.01555367089668,0.503858411492897,0.139323769118549
