year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1996,14,1,0.579120969736951,0.579120969736951,0.480745444050466,Inf,NA,-8.33522727272727,0.173050874345614,0.244616684970417,42543,Inf,6.05766766339171,1,0.877300613496933,0.869426227581506,0.212676161617323,0.150454968861988,0.0285672446825387,0,0.830129574256016,0,0.023288794961278,0.168610875519653,111.745508982036,0.413547841786599,0.292559011718957,0.023288794961278
1997,14,1,0.641606591143151,0.641606591143151,0.564366632337796,Inf,NA,-12.5494663382594,0.235461981637809,0.306703319304336,Inf,Inf,7.00997477642743,1,0.875664447751918,0.867421206718896,0.266040963335658,0.204244716248691,0.0335895618953725,0,0.879614767255217,0,0.0506010113570422,0.225383403796734,106.228174603175,0.302559832253987,0.232280947686241,0.0506010113570422
1998,14,1,0.0650366141243639,0.0650366141243639,0.00459228000496463,Inf,NA,-2.74459046860481,0.0990874845437902,0.114420591832556,Inf,Inf,39.456106870229,1,0.690205562273277,0.690205562273277,0.0789737289214303,0.0683907329837913,0.00251133455385471,0,0.0706106870229008,0,0.0377311254962269,0.288151353671185,Inf,0.154743127846679,0.134006537138037,0.0377311254962269
1999,14,1,1.40664383561644,1.40664383561644,0.00100456621004566,Inf,NA,2.22059401493459,0.100322138798701,0.123414838113782,Inf,Inf,0.641947054909026,1,0.660868246062047,0.648504462592602,0.0800350732669313,0.0650593547077922,0.156277901785714,0,0.000714158186038207,0,0.349885450133529,0.593761438041401,53.5614754098361,0.230182356024863,0.187111911525974,0.349885450133529
2000,14,1,0.0479163207703802,0.0479163207703802,0.00179312634899552,Inf,NA,-0.982212611607143,0.076032343849134,0.087219097643765,Inf,Inf,19.5162855162855,1,0.621688800511327,0.619700305376039,0.0540497014444637,0.0471172667017643,0.00389584092657838,0,0.0374220374220374,0,0.0319104150879852,0.633893239033426,Inf,0.147134610143455,0.128263070505811,0.0319104150879852
2001,14,1,0.0339418526031102,0.0339418526031102,0.00415338549212789,Inf,NA,-0.723424252119661,0.102177308429903,0.122011433196742,Inf,Inf,20.5902105862265,1,0.612682090831191,0.612488597727838,0.0747306116254363,0.0625824363598363,0.00496242172958897,0,0.122367672168469,0,0.323725132481974,0.899400573364608,Inf,0.194111397784186,0.162556734573986,0.323725132481974
2002,14,1,0.0275027217585152,0.0275027217585152,0.00106278189641765,Inf,NA,-1.28419116667111,0.130411245158199,0.14690690214541,Inf,Inf,45.4090480678605,1,0.664438863405218,0.664438863405218,0.0976106550878776,0.0866502995081732,0.0028719220223095,0,0.0386427898209237,0,0.431839548730805,0.929971313550129,Inf,0.12648952908317,0.112286466778007,0.501868235180676
2003,14,1,0.0751754710011082,0.0751754710011082,0,Inf,Inf,-2.45306570800879,0.129387195065747,0.137213173358357,Inf,0.142359581816917,30.1781326781327,0.916486871565235,0.811764705882353,0.811764705882353,0.111384811314431,0.105031958347489,0.00428744867834391,0,0,0.908875914177287,0.185491318803103,1,Inf,0.0604821592153183,0.0570325482667172,0.185491318803103
2004,14,1,1.1060351207697,1.1060351207697,0,Inf,Inf,35.9257614213198,0.133224624637344,0.138052696000741,Inf,0.149403510068159,3.44418760265223,0.960666913933485,0.937494480651371,0.937494480651371,0.129423640539737,0.12489735028436,0.038681001155324,0,0,0.891710138380052,0.0687613536971002,1,Inf,0.0362400823161663,0.0349726698808675,0.0687613536971002
2005,14,1,0.230402648394796,0.230402648394796,0,Inf,Inf,-0.507537788981923,0.0875564107652881,0.112853536196101,Inf,0.0999064638408901,1.69529187690046,0.929594954173647,0.862205578003351,0.862205578003351,0.097302948405681,0.075491625751784,0.051646806050513,0,0,0.876383843439094,0.0759796751097082,1,Inf,0.288923737390589,0.224158907939357,0.0759796751097082
