year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,83,Manufacturing,0.559723298944481,1.19345220347069,0.0305921641123502,Inf,5.28653429942599,18.575215782984,0.998277061727577,1.44119968429361,1.49345692475463,Inf,3.01094288712337,0.0676756613229779,-0.17758637857214,-0.177453616117362,-0.255746095525101,-0.177147874490574,0.331549650442331,0.531004846849548,0.0256333383300854,0,0.295563581478087,0.903940488383376,-Inf,0.44368706799646,0.307329114343461,0.295563581478087
1993,83,Manufacturing,0.517897399241216,1.64568098092044,0.0330455820091274,Inf,2.82516698356979,5.64676828749042,1.07190197536452,1.57843370626041,2.07660027558562,Inf,2.21550283995991,0.126134821293922,0.0107676066958227,0.0082340521791585,0.0129969054986908,0.00882609679609453,0.483818822540493,0.685299031072502,0.0200801871032409,0,0.155752569010679,0.916129357243603,1.95081967213115,0.472554153772911,0.320907827099027,0.155752569010679
1994,83,Manufacturing,1.30067036332037,2.24985516841844,0.231565008689895,Inf,5.13915772953178,4.4478214805986,0.989030567171212,1.56455407262479,1.64913702094228,Inf,2.47088467905095,0.122538000029775,0.0392877878846526,0.0226437004064254,0.0354272936901684,0.0223953118558219,0.400273867718947,0.421887070075409,0.102924406842008,0,0.0780530760917424,0.483648881239243,2.36257833482543,0.581906691822141,0.367851463572649,0.0780530760917424
1995,83,Manufacturing,1.14376273488793,2.78839332880537,0.0587125499962267,47.5927654609102,2.86183636947644,3.4422314119335,1.14624961357952,1.68211155789257,2.38576275152082,Inf,2.20774581179464,0.235442665555201,0.102557187339103,0.0869762424301861,0.146303742653882,0.0996964842761993,0.519194559199618,0.589812985466454,0.0210560502314,0,0.39607755738801,0.590639625585023,6.58221872541306,0.462625012887927,0.315248854790209,0.39607755738801
1996,83,Manufacturing,0.914876033057851,2.10796930342385,0.0567296340023613,Inf,2.96863094354559,3.73099259417124,1.05559324077843,1.57857126755483,2.544215956983,Inf,1.96104623484276,0.143201907835549,-0.0378425464463707,-0.0586773673011838,-0.0926264060774103,-0.0619394323098027,0.53828064939176,0.565991766781484,0.0269119829734801,0,0.0974200300313965,0.770805842471675,-1.93008011653314,0.495412637226393,0.331283257209183,0.0974200300313965
1997,83,Manufacturing,1.65810930814564,2.9949140227658,0.218293372083636,Inf,3.40721058034906,3.14746469183764,1.25673797828335,1.58608805595775,3.47048324483513,Inf,2.09652811472317,0.274592745927459,0.122619797626548,0.0896023245946745,0.142117176825662,0.1126066442606,0.599437693898656,0.446358294247668,0.0728880263086959,0,0.271206225680934,0.963968871595331,6.03225806451613,0.262047025715276,0.207633143743537,0.271206225680934
1998,83,Manufacturing,0.971236532568943,2.59464268063655,0.0621725808045863,Inf,3.03677545056016,4.33614330874605,1.09778105580315,1.41157835263731,2.47479392931687,Inf,2.66495238095238,0.287027374740905,0.0706740047173183,0.0438710599671217,0.0619274385568425,0.0481608185299102,0.41193270981106,0.62567619047619,0.0239619047619048,0,0.209656925031766,0.71417478469575,3.6140350877193,0.285846886476452,0.222302429226037,0.209656925031766
1999,83,Manufacturing,1.28942177930032,2.10412124987024,0.151873767258383,Inf,3.09288990825688,3.14916321925536,0.87815269256987,1.21818115691659,2.69443327165956,Inf,1.65249888993044,0.275313857498992,0.161966890086432,0.101016584812432,0.123056500154571,0.0887079859472498,0.531408945519375,0.387192264048547,0.0721791898959001,0,0.231907199549148,0.90480439581083,3.6421617992615,0.387208815988071,0.279127995385664,0.231907199549148
2000,83,Manufacturing,1.40112866817156,2.46044018058691,0.539051918735892,Inf,3.20068190293538,3.0591212952587,0.997429791737536,1.28411542391851,3.16086401022119,Inf,1.81579852748916,0.241097932219233,0.16340141725719,0.101772203064408,0.130687255681173,0.101510627307203,0.549306421740938,0.430537397646735,0.21908759375215,0,0.252200902934537,1,3.63370786516854,0.287424372678464,0.223255345151252,0.252200902934537
2001,83,Manufacturing,0.732807305643449,1.5317018464373,0.0444186325950254,5.37263950021298,2.85701393763161,5.70086629001883,0.851224889208827,1.19158885862292,2.37894505218157,Inf,1.97894984571937,0.247017006038663,0.172082083537045,0.104797896378123,0.124876005731291,0.0892065777337862,0.430139698108114,0.521573139480153,0.0289995293133204,0,0.804804095294349,0.983146288639496,3.5045748116254,0.399851994142747,0.285638764537826,0.804804095294349
2002,83,Manufacturing,0.947436161449753,1.99371911037891,0.0575061779242175,5.52222138383762,2.758155784087,3.79162781058958,0.904804292460994,1.19577151820142,2.37802183519626,Inf,1.8898414501885,0.234088486869073,0.106345475910693,0.0672532998114393,0.0804195804195804,0.0608510743515565,0.478772593526692,0.524789547074317,0.0288436709187626,0,0.805243635994106,0.986941720441034,3.83966452886038,0.321563950068623,0.243317755853918,0.805243635994106
2003,83,Manufacturing,0.76851943919658,1.68370289350701,0,8.06441424196018,3.66998044328553,6.12689063408959,1.07016117765105,1.43940481071477,2.57163350018313,10.1624653238451,2.48795251875037,0.198203116654996,0.0892507447452437,0.0528146029410019,0.0760215935492688,0.0565201376805152,0.430137299480523,0.543554006968641,0,0.105305272249247,0.757835322077536,0.995890478783978,3.45747126436782,0.34503553368867,0.256525218142329,0.757835322077536
2004,83,Manufacturing,0.439502664298401,1.49797513321492,0,12.6767704601819,2.57145254396563,6.56356113568269,1.05808618052601,1.56457564575646,2.76283706684283,11.0959961408587,2.18193891102258,0.167257195026519,0.0873619685244761,0.0503869228762716,0.0788341523968235,0.0533137067746127,0.484929332888669,0.706602162777462,0,0.0953574755338846,0.540497335701599,1,3.23851732473811,0.478684510347408,0.323723219522293,0.540497335701599
2005,83,Manufacturing,0.697193712768248,1.49454532405081,0,10.3169097784981,3.54228363112651,6.92859734416951,1.15581460096113,1.74417287739296,3.15552397633762,11.9279200499688,2.29267414219512,0.17570667029733,0.103557701370925,0.0608694741472304,0.106166885868771,0.070353826972195,0.504133832056264,0.533507815689005,0,0.0968999285809396,0.793834780736381,1,3.3236974789916,0.509023819962005,0.33731585382092,0.793834780736381
2006,83,Manufacturing,0.501405212059274,1.41930676205076,0.0243570090274229,11.1792723791288,3.67350157728707,9.48654412511425,1.2175012381722,1.75451711055182,2.87321604330709,9.17352450162035,2.80261618313282,0.152311216734108,0.181150577001306,0.147097865416319,0.25808572179858,0.179091833276855,0.434415973724683,0.646725270768954,0.0171612012840899,0.132719026144983,0.273079543518992,1,7.28768303186908,0.441080350099545,0.306076167140213,0.273079543518992
2007,83,Manufacturing,1.04301362543414,2.27551429334758,0.311180870959124,11.4738420926326,4.25025741071912,5.00722626590564,1.32454670120372,1.6711172471645,3.45109715605601,9.59107321965898,2.80674513487335,0.17979983895088,0.162868765882685,0.117628603996946,0.19657118889918,0.155804579391354,0.471915559680301,0.541636091461446,0.136751885878658,0.138102032052969,0.861808709591237,1,4.93472750316857,0.261652190629314,0.207388527973626,0.861808709591237
2008,83,Manufacturing,0.60001239695035,1.76204053802765,0.0451248992747784,14.5302976612332,3.70501946978183,6.6706523507402,1.30820890760592,1.7615508538288,3.34321239298818,10.9243372852005,2.88489816019981,0.153056371861625,0.134619371044641,0.0995988245192601,0.175448394372248,0.130296069423175,0.4534679683512,0.659478664649805,0.0256094557990643,0.119751786625829,0.926486084423232,1,5.26968973747017,0.346536354849103,0.257353879530373,0.926486084423232
2009,83,Manufacturing,1.17386450139558,1.8385181426034,0.247145394569906,4.3822668079008,4.71474383446591,4.25655147370332,1.0173730652394,1.42301311103917,3.06707077755004,8.93659466327827,1.94134371204593,0.12200878702137,0.118511040650638,0.0954913196172385,0.135885399805762,0.0971502965427456,0.524056126139158,0.361515954510324,0.134426410511207,0.113843483292348,0.675310834813499,1,7.05160744500846,0.398692942699903,0.28504267322436,0.675310834813499
2010,83,Manufacturing,0.821922364232432,1.61547964080392,0.128189290635245,5.84493964716806,3.79673093042749,5.83140342751274,0.99384275339438,Inf,3.26913922188082,4.52904850410696,2.22169936178348,0.160537463595446,0.257731003441885,0.22678051363516,Inf,0.225384170087359,0.447334491106199,0.491220846445693,0.0793506073350784,0.219437427639196,0.659666460778258,1,11.9003667481663,Inf,0.276905062624987,0.659666460778258
2011,83,Manufacturing,0.543712730945942,1.25484701358793,0.0649744208022418,7.0171836446951,3.19176136363636,10.1816903209308,0.949570713093251,1.4976396908089,2.91560486233158,5.15077619663648,2.06780057128019,0.125252728208863,0.0800065301201793,0.0613203400685663,0.0918357751405841,0.0582279990460291,0.459217743858812,0.566709945468709,0.0517787587639574,0.184354877176246,0.152008863110561,1,4.28158602150538,0.577175528013391,0.365955163367517,0.152008863110561
