year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1996,27,Manufacturing,1.39547223204811,6.77113547930669,0.163848602759109,Inf,0.141462130683688,0.266270303401777,0.193868261335237,0.234502191609267,3.19614479105356,Inf,0.22694598265594,0.505133281156484,0.0675383269646885,0.0675383269646885,0.0158378856908427,0.013093538022135,0.854248482684755,0.79390868247832,0.0241980984223174,0,0.551434605676609,0.728120331736465,Inf,0.209584781810723,0.173268475544448,0.551434605676609
1997,27,Manufacturing,0.567029167587995,2.70376103081593,0.0174281866243191,Inf,0.402978475201325,0.820769965902521,0.3461821728572,0.660044024441155,2.66281339712919,Inf,0.517203949324927,0.384253802144726,0.0744329126297329,0.0717016933559497,0.0473262742419067,0.0248218480035033,0.669333970301366,0.790281329923274,0.00644590495449949,0,0.199872326175227,0.520605718112939,31.962962962963,0.906637823067289,0.475516541263585,0.567845033278915
1998,27,Manufacturing,0.349668696384337,2.07116621313256,0.0151923757458907,Inf,0.303987240829346,0.813057495357765,0.22809742503124,0.559145429048205,1.3418628262014,Inf,0.420497260354681,0.399139706603522,0.0540135349091368,0.0348460859452719,0.0194840296765197,0.00794830247653381,0.542446875489378,0.831173039533377,0.00733517940258057,0,0.0742819506886973,0.469339365997537,3.31185567010309,1.36791676786036,0.558027082394526,0.0742819506886973
1999,27,Manufacturing,0.422090492209479,1.89473548364894,0.0153057273877021,Inf,0.360010983425543,0.872687411054271,0.231910870342924,0.713417653856131,1.47185417038322,Inf,0.412102058330722,0.321025607122394,-0.0645356780818899,-0.0132002291859491,-0.00941727653620306,-0.00306127663923954,0.562751060458936,0.77722985828259,0.00807802857960196,0,0.100977938643153,0.440057245188867,-Inf,2.07625792961411,0.674929728624725,0.100977938643153
2000,27,Manufacturing,0.47349881126355,2.66262787096211,0.0329901629332345,Inf,0.296363274049719,0.509967006224869,0.198402490685449,1.00895452657807,1.3017547384636,Inf,0.318439300912975,0.234828801481748,-0.481336660406966,-0.48649448203123,-0.490850809800664,-0.0965217169397234,0.623046496197622,0.822168611533216,0.0123900764703232,0,0.121602647996849,0.291273300212196,-145.046511627907,4.08539244186047,0.803358342265095,0.121602647996849
2001,27,Manufacturing,0.667007295493351,3.40765509391007,0.0804573912143633,2.40111603879331,0.306087580354362,0.529395963058276,0.243806304913141,1.18110226782375,1.8991423340079,Inf,0.374041049351083,0.34185128428915,-0.117285892608868,-0.0108487167256969,-0.0128134439276981,-0.00264498553794156,0.651816973928707,0.804262087238412,0.0236107789659086,0,0.177197232589101,0.241035378336498,1.10192601067887,3.8444287289639,0.793577312011797,0.275578128848606
2002,27,Manufacturing,0.939774283842535,2.69501518670716,0.100678935143827,2.32807656018331,0.457226713264172,0.758581919117389,0.262335318973138,1.72220560374913,1.59943697447865,Inf,0.477105984265889,0.375833719314497,-0.168596572487263,-0.168596572487263,-0.29035796191046,-0.0442288356212238,0.549847052069126,0.651291655617431,0.0373574648634315,0,0.207840143916345,0.240687186213273,-Inf,5.5648818426563,0.84767175885564,0.286531852600421
2003,27,Manufacturing,0.467332016144013,2.07252984784775,0,3.31151595871189,0.322455420546,1.09613931225595,0.241497731340798,1.28077857090294,1.34257723608593,2.12561064973131,0.567249794262155,0.559725932948375,0.0154414088310494,0.0154414088310494,0.0197770255353595,0.00372906520140421,0.425734365677337,0.774511321692509,0,0.113613342768736,0.232600889192886,0.253150649794802,Inf,4.30348075649422,0.811444587825556,0.318891073871409
2004,27,Manufacturing,0.503563577051273,2.11593149422027,0,2.64066174000672,0.370172853624208,0.999157968320544,0.211780790549505,0.9052567941041,1.2100513728282,1.96537391793494,0.526950824067635,0.464700270313245,0.257131499443473,0.257131499443473,0.232770036849378,0.0544555122273183,0.401898584985082,0.762013288980871,0,0.107755978959988,0.161812155473304,0.247944928479115,Inf,3.27449907876555,0.766054458879707,0.25391013073332
2005,27,Manufacturing,0.340606516191569,1.72704793179166,0,4.52609112292012,0.366706617584111,1.41362609854978,0.204498132338297,0.811949115459149,1.06471709326393,1.38761284119438,0.59510446256758,0.50532191319411,-0.0122221152920797,-0.0122221152920797,-0.00992373570044383,-0.00249939975045363,0.343634009155282,0.802781086777238,0,0.147374055836984,0.155919041631373,0.265955711752853,-Inf,2.97044758392199,0.748139226406257,0.239092348729172
2006,27,Manufacturing,0.225264336172079,1.20994115778487,0.0381188642998684,6.61643138751113,0.319251566916554,3.74846890986382,0.220677748980916,0.759555581510789,1.05469621100006,1.44582163799572,0.650410061509226,0.600538202787122,0.20738106679481,0.174473810667948,0.132522556720297,0.0385024877943254,0.339290183286603,0.813822073310997,0.0315047257088563,0.152631378021726,0.375589661419253,0.395254010295533,8.40264797507788,2.44192192016819,0.709464647021646,0.464381161924464
2007,27,Manufacturing,0.581499440507273,2.40477433793361,0.0962700484893696,7.59145935878675,0.553414344748578,1.51518772237268,0.255820000268977,0.720672366543324,1.25348709500275,0.948616929317109,0.885112917235389,0.525926574958381,0.225409620608079,0.202786296328748,0.146142480077794,0.0518767903813652,0.289025270434443,0.758189601687554,0.0400328824916243,0.269676823555255,0.166919184898946,0.186330655250063,11.7149362477231,1.81710720735511,0.645025933912233,0.281664396319257
2008,27,Manufacturing,0.497011221029818,2.06421505225994,0.139476351941832,9.27125811810905,0.63571476367854,2.01632505584023,0.263122926436171,0.778197538063666,1.42398162754013,0.784934274461664,1.03952515622089,0.535700904129673,0.0839130080638592,0.0982650484646086,0.0764696187928652,0.0258557871184,0.253118382813103,0.759225076628677,0.0675687117915023,0.335216507925622,0.135674226430246,0.185261699068737,-5.84676503972758,1.95755631901218,0.661885860759385,0.477774036033002
2009,27,Manufacturing,0.468150257599767,0.750231571856173,0.100222768298004,2.20152732060566,1.14912613981763,-2.5623869801085,0.229971722195326,0.78776371705598,1.6913070745079,1.43578690664285,0.853074427052509,0.493510998409148,0.163343420690645,0.182840328696339,0.144034976961565,0.0420481052770565,0.269579904053519,0.37599232668721,0.133589110426318,0.160171207253202,0.433151133021767,0.507476428563104,-8.37791411042945,2.42548079188143,0.708070177368954,0.638629573946521
2010,27,Manufacturing,0.633591983050696,1.22179362255616,0.132224238577546,3.44406405721024,1.25874646645795,5.47395256040789,0.482042081052878,Inf,4.7293066824529,13.7384553133377,0.993692998276915,0.390162099674917,0.226593476988326,0.141873110892671,Inf,0.0683888096201489,0.485101617792164,0.481424709252342,0.108221418197383,0.0350870654712467,0.489379179664468,0.563737520851077,5.69783373449361,Inf,0.704300388298514,0.77239947387253
2011,27,Manufacturing,0.753691349207732,1.67680444994107,0.136517503062818,4.28314401568248,1.2308205176589,2.73669400501012,0.522760569104359,1.75938846083844,3.86095713006221,Inf,1.10460506040701,0.386573667711599,0.163043887147335,0.109075235109718,0.191905710015277,0.0570202319811478,0.473255634834536,0.550519233632627,0.0814152795620362,0,0.20651515010212,0.401547651244556,3.02126052860877,2.36556672715139,0.70287206950913,0.453318660412023
