year,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
2001,NA,1.19715390217939,0.0906633424841728,128.063993174061,NA,10.662901392441,0.71060767464432,1.2906390809342,22.6245100994875,2.12103783050464,1.75602536503182,0.284227568608378,-2.66504986974569e-05,0.0029981811034639,0.00386956970384893,0.00213053050209502,0.404668229055702,NA,0.0757324035941595,0.335028288710556,0,0.75214647661789,-Inf,0.816247033329894,0.449414104111924,0
2002,NA,1.69608077428606,0.420032261918987,50.7386239534037,NA,2.99070895202129,0.64874513600566,1.1891492974089,21.9252792197577,2.04812496326339,1.22740321955687,0.347670739494472,-0.00398912318211495,0.00627067205246127,0.00745676526546596,0.00406806799352088,0.52855094859526,NA,0.247648737186939,0.316750758690026,0,0.685744720077022,-Inf,0.832990640650462,0.454441362104597,0
2003,NA,2.08074534161491,0.452213985173312,230.536784741144,NA,3.13707823507601,0.867265980565009,1.68074455193786,27.2574097938144,2.85863432104605,1.62940779971112,0.308526481260416,-0.0330469110120912,-0.0272790667438864,-0.0458491428117364,-0.023658206568535,0.532258395178154,NA,0.217332691381801,0.303384722620854,0,0.52851727132177,-Inf,0.93798049226246,0.483998933945631,0
2004,NA,1.33621407746772,0.316264056643065,149.203051643192,NA,7.87370703004026,0.902623637590088,1.9541744169959,23.5147983721791,3.67476078975515,1.9811579521546,0.239150101084793,-0.150816938192745,-0.0972695306046995,-0.190081628260903,-0.0877977775410942,0.455604075691412,NA,0.236686667186161,0.245627862392161,0,0.633642985326718,3.09375504276263,1.16499362039016,0.538104874498527,0
2005,NA,0.837105268125106,0.208604667258096,Inf,NA,-5.35990730011588,0.581407430994319,2.09277915183688,11.1765463917526,2.29630487663616,1.04299984216104,0.177951689150236,-0.282615588608325,-0.150330047273147,-0.314607588827894,-0.0874030065863346,0.557437697967119,NA,0.249197651957579,0.253192612579396,0,0.922079504316346,5.02215392495838,2.59950533872233,0.722184048668488,0
2006,NA,1.52995566281289,0.481900325513526,2193.42857142857,NA,4.87802811680919,1.0355607263898,2.77031334576292,16.2907161803714,6.7718318141723,1.68968205203452,0.301365550779384,-0.0186433502670314,0.0635610698623594,0.176084080110663,0.0658213476767779,0.612873129085381,NA,0.31497666058344,0.152921802372963,0,0.639709908179476,0.350081532816959,1.67518193300054,0.626193647742537,0
2007,NA,1.24923604485557,0.427759571908574,Inf,NA,8.0224133148405,0.870468691684425,2.28908834750123,15.1815223097113,14.5931981027349,1.60055785535608,0.282405742579735,-0.0374885895272607,-0.0453929351885148,-0.103908438998908,-0.0395131289052624,0.543853312625661,NA,0.342416930467315,0.0596489327121032,0,0.702472997124874,-Inf,1.62973516328695,0.619737301501306,0
2008,NA,1.26681318976758,0.0501203102525843,Inf,NA,7.69786129934252,0.854282567247963,3.51506297808708,26.6813935213481,3.40731903126533,1.62130529130566,0.274544966653795,0.0258392182785635,0.0303126493052601,0.106550871340657,0.0258955678685848,0.52691036773216,NA,0.0395640893680463,0.250719864916999,0,0.549475386950597,-12.4150943396226,3.11463737274976,0.756965217245447,0
2009,NA,1.30110483812178,0.0330965437358757,2549.93413173653,NA,5.72772270569088,0.786012909513429,3.40080819697006,15.6794800986782,2.96334776133944,1.32552348402078,0.291502187446429,0.0592735752244393,0.0392754069026087,0.133568125733726,0.0308709768518433,0.592983013118089,NA,0.0254372612922203,0.265244909749691,0,0.592753880649328,4.00523643287845,3.32665692358066,0.768874672140074,0
2010,NA,1.16827467734889,0.156268279860499,467.692236598891,NA,11.1335694798909,0.847367857011289,3.68197296235393,8.39668475284982,Inf,1.6036449717643,0.343358173119676,0,0.0516774266218483,0.190274887585675,0.0437897902524138,0.528401156073236,NA,0.133759879324878,0,0,0.587497308360721,0,3.34519565185756,0.76986205487664,0
2011,NA,1.29145686530578,0.125880816531765,297.295528898582,NA,6.53232376479609,0.84835848763031,3.39730329237594,9.65590521897746,Inf,1.47421927808571,0.318360721883941,0,0.0386545374513975,0.131321187348902,0.0327929049323168,0.575462890928894,NA,0.0974719480870623,0,0,0.5938984709886,0,3.0045547441617,0.75028318033297,0
2012,NA,1.24794079886906,0.253226201982026,313.203148806501,NA,7.17590179194787,0.817902700007162,3.22503163861899,8.36460184193036,Inf,1.42570771346996,0.285610275386454,0,0.035300966276794,0.113846733116482,0.0288727556306515,0.573681893055419,NA,0.202915236212736,0,0,0.615902241744495,0,2.94305048582276,0.746389247716837,0
2013,NA,1.19682734215463,0.117139467493735,419.868390804598,NA,5.81706491707208,0.601752614342477,3.75725019671575,8.60811829857429,Inf,0.956660485970343,0.307842769559701,0,0.0479542713849852,0.180176195594596,0.0288566081748035,0.629013765246213,NA,0.0978749927979174,0,0,0.625793303250496,0,5.24384523999321,0.839842282830013,0
2014,NA,1.19928044737402,0.153290200730271,550.953472690492,NA,5.93843984620864,0.622453340606147,3.4697514035043,9.12166476879452,Inf,0.986770818991858,0.328565448973397,0,0.0579293666102043,0.201000501099872,0.0360583277657199,0.630798285302034,NA,0.127818477376096,0,0,0.640966273630229,0,4.57431565894633,0.820605781734825,0
