year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1997,42,1,0.327356696549851,1.2708503124151,0.0124966041836457,Inf,1.80679527785776,5.28986960882648,0.342578759337447,0.797520036292152,0.492115330782868,Inf,1.12740487387773,-0.189609404626469,-0.547212741751991,-0.547212741751991,-0.436413125661576,-0.18746346216304,0.303864891198441,0.742411286874733,0.00983326207781103,0,0.226372124800729,0.419152812571168,-Inf,1.32799032209285,0.57044494965898,0.226372124800729
1998,42,1,0.280660377358491,0.641231964483907,0.021503884572697,Inf,2.36052327818392,-2.37741686001547,0.415826851538722,2.63636363636364,0.604879968516332,Inf,1.33016010385115,0.00211450878334418,-0.43672739102147,-0.497560182173064,-1.31174957118353,-0.206898884004058,0.312614135948597,0.562310688013847,0.0335352661185634,0,0.436441018228539,0.578816349474022,-Inf,5.34005145797599,0.842272573554278,0.436441018228539
1999,42,1,0.125530110262935,0.569126378286684,0.00409951936669494,Inf,0.924155513065647,-1.40912073490814,0.303040993438228,1.91484618814088,0.423277816103282,Inf,1.06681569796324,0.324796274738068,-0.112922002328289,-0.112922002328289,-0.21622826571556,-0.0342199957665985,0.284061243208918,0.779433681073025,0.00720317933432688,0,0.130511316010059,0.592958927074602,-Inf,5.31876950512706,0.84174133916602,0.130511316010059
2000,42,1,0.12475684087667,0.537543768642199,0.079885877318117,Inf,1.30851398052152,-1.41559169938306,0.355768553104518,2.32626728110599,0.502588610115492,Inf,1.21785283474065,0.174920760697306,-0.212361331220285,-0.212361331220285,-0.494009216589862,-0.0755514835435901,0.29212770455987,0.767913148371532,0.148612786489747,0,0.126882436142774,0.641567518096347,-Inf,5.53870967741936,0.847064627528367,0.126882436142774
2001,42,1,0.72029520295203,1.64624846248462,0.147355473554736,354.8,0.668969181721573,1.35059002664636,0.218647932458249,1.19300605245461,0.372141808265156,Inf,0.530185295875672,0.290022547914318,0.53184892897407,0.53184892897407,0.634498991257566,0.116287668700314,0.412399087939853,0.56246264196055,0.0895098625224148,0,0.257375688523353,0.306723006111824,Inf,4.45628782784129,0.816725211067973,0.257375688523353
2002,42,1,0.353549088931194,0.955670383464781,0,402,1.67976513098464,-19.7300613496933,0.252017866938328,4.31099195710456,0.347750865051903,Inf,0.915196357427433,-0.156405472636816,-0.690298507462687,-0.690298507462687,-2.97587131367292,-0.173967557401458,0.275370268787713,0.630051223676722,0,0,0.286974615064503,0.306034124011652,-Inf,16.1058981233244,0.941540631611943,0.286974615064503
2003,42,1,0.546565300027152,1.24029323920717,0,5.75814536340852,0.99334637964775,5.19209039548023,0.330670696603339,1.66004335260116,0.492655730674386,Inf,1.00591068301226,0.44766050054407,0.172578890097933,0.172578890097933,0.286488439306358,0.0570667818077144,0.328727691421992,0.559325744308231,0,0,0.318504538509931,0.3309966747551,Inf,4.01986994219653,0.80073402417962,0.318504538509931
2004,42,1,1.77767527675277,2.03690036900369,0,418.428571428571,6.02135231316726,1.3029359430605,0.225759210729151,0.74227065382666,0.342292859647073,Inf,0.663269927536232,-0.155343120518948,-0.129737111642199,-0.129737111642199,-0.0963000506842372,-0.0292893479266225,0.340373053799908,0.127264492753623,0,0,0.127617148554337,0.240168383737676,-Inf,2.28763304612266,0.695776167720055,0.127617148554337
2005,42,1,3.28836633663366,3.38985148514851,0.00742574257425743,8.14285714285714,0.695121951219512,0.0295183842568617,0.0156765676567657,0.0660486674391657,0.0635451505016722,Inf,0.0208105147864184,0,-5.78947368421053,-5.78947368421053,-0.382387022016222,-0.0907590759075908,0.753300330033003,0.0299379335523914,0.00219058050383352,0,0.251352326000721,0.29138117562207,-Inf,3.21320973348783,0.762651265126513,0.251352326000721
2006,42,1,3.09302325581395,3.18727050183599,0.00244798041615667,0,0,0,0,0,0,NA,0,NA,-Inf,-Inf,-0.556935817805383,-0.157817541801115,0.763860369609856,0.0295698924731183,0.000768049155145929,0,0.293491608677855,0.334424887433483,-Inf,2.52898550724638,0.716632443531828,0.293491608677855
2007,42,1,2.15964125560538,2.22331838565022,0.0125560538116592,0,0,0,0,0,0,NA,0,NA,-Inf,-Inf,-0.583333333333333,-0.097856477166822,0.770114942528736,0.0286405808793869,0.00564743848325938,0,0.380739081746921,0.416200074654722,-Inf,4.96111111111111,0.832246039142591,0.380739081746921
2008,42,1,17.448,18.048,0.032,0,0,0,0,0,0,NA,0,NA,Inf,Inf,0.41002044989775,0.154171472510573,0.867358708189158,0.0332446808510638,0.00177304964539007,0,0.0770178681454097,0.0770178681454097,Inf,1.65950920245399,0.6239907727797,0.0770178681454097
2009,42,1,25.4823529411765,26.3176470588235,0.0117647058823529,0,0,0,0,NA,0,NA,0,NA,Inf,Inf,Inf,0.0381184103811841,0.907137064071371,0.0317389360751006,0.000447027268663388,0,0.0587422252937111,0.0587422252937111,Inf,Inf,0.586780210867802,0.0587422252937111
2010,42,1,56,56,2,NA,NA,0,0,0,NA,NA,0,NA,Inf,Inf,1,0.982142857142857,1,0,0.0357142857142857,0,1,1,Inf,0.0181818181818182,0.0178571428571429,1
