year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,47,Manufacturing,2.23148309262804,2.55281016182356,0.754248593469056,Inf,4.82743682310469,3.74447183624683,1.20373439000961,1.52145274628542,4.76935153908369,Inf,2.27766796173858,0.733208973834628,0.467315730146538,0.303819565672788,0.462247112568107,0.365718059558117,0.528494236311239,0.125871901483653,0.295458160089065,0,0.598964922369178,0.991431857389304,3.84843506120102,0.263928728619345,0.208813640730067,0.598964922369178
1993,47,Manufacturing,8.88563360395341,13.1337804447582,0.388986939639958,43.7927031509121,2.94025758205235,1.53640727272727,0.632556022660582,0.655528938647337,2.0908982936775,Inf,1.41942592990755,0.329988260688454,-0.0106221835119476,-0.0108872647404097,-0.00713691710005337,-0.00688680488184638,0.445642149641287,0.323451945818104,0.0296172866050312,0,0.65732832251452,0.967885206696276,-40.0714285714286,0.0363300110467065,0.0350568311115902,0.65732832251452
1994,47,Manufacturing,5.87427169579883,7.36783195338853,1.00797301441276,Inf,6.57499230058516,2.16308299824228,0.901288199530469,0.964391532119547,3.58780302727745,Inf,1.86949826233534,0.287059609283687,0.213702899760672,0.141225580230422,0.136196753692889,0.127284948933523,0.48210165138351,0.202713670322352,0.136807275300189,0,0.77016252683226,1,3.80309033280507,0.0700145997938853,0.065433312599073,0.77016252683226
1995,47,Manufacturing,1.32751127680171,1.49232765545509,0.226153941216453,349.526315789474,6.76080979755061,4.16746851859599,0.656489102999229,0.9653738806838,3.43796376186368,Inf,1.37487233279046,0.456919138683933,0.387803041710586,0.24825578477137,0.23965965034694,0.162977217458926,0.477490954863285,0.110442487647335,0.15154442818892,0,0.532697575745093,1,3.58491091314031,0.470510136837617,0.319963885355775,0.532697575745093
1996,47,Manufacturing,2.68561914158855,3.94486926492353,0.48729649728663,Inf,3.12624877571009,3.36809481928215,0.602387979206304,0.641338501044707,2.90818356055401,Inf,2.51430357980303,0.603096244715245,0.431111663765233,0.276784381994529,0.177512480660957,0.16673158454555,0.239584425701488,0.319212130686259,0.123526653118649,0,0.846941292550567,1,3.60320099771357,0.064660191077723,0.060733172536741,0.846941292550567
1997,47,Manufacturing,0.938669053645287,1.25794802148281,0.214365084264461,81.7267857142857,3.51024748646558,10.9529735551035,0.56868604658387,0.712005476127507,3.25072803466155,Inf,2.24595755122071,0.603316800314637,0.472523870911355,0.308431839535036,0.219605158761026,0.17540088346577,0.253204271948409,0.253809348546191,0.170408538829591,0,0.272115562689055,1,3.71421210820094,0.252010765568848,0.2012835726312,0.272115562689055
1998,47,Manufacturing,1.54922931739541,2.22000629128657,0.281786725385341,142.61095890411,3.33267679609829,2.68425123762376,0.347179702663225,0.388350890805455,1.84893261819344,Inf,1.47513248505115,0.317368835609859,0.129713945401802,0.0849326647839702,0.0329836760273359,0.0294868973060941,0.235354929934437,0.302150933771644,0.12693059767053,0,0.189871028625354,1,3.73864894795127,0.118587543644991,0.106015433766199,0.189871028625354
1999,47,Manufacturing,4.93168796826796,6.7777288085794,2.17526076098134,37.6620553359684,2.88158522998568,1.45366014899947,0.38400209561935,0.40240014077072,2.26968121005201,Inf,1.23918415120513,0.366636931311329,0.284217522869987,0.18589844501583,0.0748055604434278,0.071385392458457,0.309882994586317,0.272368649211028,0.320942431073348,0,0.648303217276333,1,3.72854520422212,0.0479113144465951,0.0457207721551296,0.648303217276333
2000,47,Manufacturing,5.52743776646954,6.36776234355659,3.27919130793563,30.0715372907154,9.28674304418985,1.5186399856517,0.399416418453576,0.41999829934383,2.78673186327519,Inf,1.28015118790497,0.0426684213190262,-0.0155556680332709,-0.0155556680332709,-0.00653335411913096,-0.00621318921250185,0.312007224011753,0.131965442764579,0.514967602591793,0,0.224040709668546,1,-Inf,0.0515227958787432,0.0489979379220184,0.224040709668546
2001,47,Manufacturing,5.35780958307405,5.8301182327318,0.381041277743207,10.7936024371668,14.0843214756258,0.608606029373873,0.104887652091536,0.108768563644039,0.834285041502325,Inf,0.504216031593553,-1.26284222410387,-1.25458650860852,-0.761219305673158,-0.0827967304961817,-0.079842505698807,0.208021255809823,0.0810118475824528,0.0653573842814957,0,1.00020742584526,1,3.36105860113422,0.0370006523657853,0.035680452352053,1.00020742584526
2002,47,Manufacturing,0.337634754625905,0.416765888978278,0.0598230088495575,NaN,0,0,0,0,0,NaN,0,NaN,-Inf,-Inf,-0.0232769922828724,-0.0185708290794756,0.0811166298172981,0.189869508146089,0.143541039301984,0,0.936059479553903,0.962670384138786,8.0751708428246,0.253416968260074,0.202180898038946,0.936059479553903
2003,47,Manufacturing,0.384797819494755,0.556913782728227,0,1.81653992395437,0.186604510865839,-0.152668299957392,0.0261396485532687,0.0427523154707751,0.0769333995356889,0.133795421130015,0.121464437805886,0.52537938252224,1.0751787894645,0.799406942264085,0.0341764977852019,0.0208962165218264,0.215204129088737,0.309053157905888,0,0.195370277491542,0.316941237210176,0.994449920210269,5.58839528558477,0.635535205595907,0.388579349084907,0.316941237210176
2004,47,Manufacturing,0.832383544555017,1.58030676759944,0,17.8339802926247,1.60761940864291,2.91801837013875,0.259568790553549,0.461275872721656,0.85343583441693,1.42028916579473,1.0715298085721,0.28994072933061,-0.0415564410809363,-0.0318956568328701,-0.0147126969416126,-0.00827911706801914,0.242241315619065,0.473277238558281,0,0.182757706532462,0.339233536742929,0.350543640302928,5.55257270693512,0.777092987333951,0.437285144960604,0.982975213182532
2005,47,Manufacturing,4.84822403494123,5.47196351724581,0,4.12663439778728,10.2277829265781,1.88574342180857,0.601560567045736,0.898405638428904,2.05888441092067,10.6224110032362,1.54112427077342,0.24350879330962,0.212585591006375,0.160655937483339,0.144334200082113,0.0966442768517416,0.390338779587087,0.113988238470297,0,0.0566312644899979,0.204013146034696,0.215897272336472,5.28017404464624,0.493451484877515,0.330408606486021,0.986160609044139
2006,47,Manufacturing,2.96358210048337,3.15310531712319,2.3903251794346,8.32940053455517,9.10192251956333,1.85508614385088,0.752698226485405,0.92936079206571,3.6281641885374,20.3514320365706,1.26674989837989,0.568116911990538,0.64338267315159,0.490669135949612,0.456008656828329,0.369325788420399,0.594196397764129,0.0601068462923175,0.758086057720225,0.0369850251880478,0.978091192913672,0.991359907064547,5.43452334856346,0.234705701918817,0.190090400938514,0.978091192913672
