year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
2002,155,Manufacturing,0.0164652006136966,0.0958900925194105,0.00263610581616998,237.734982332155,2.09102350220973,-0.172984855886663,0.0673645529822875,0.136218779357932,0.0702668152513005,Inf,1.63100606060606,-0.0619063898095988,-0.825413576301669,-0.825413576301669,-0.112436829829279,-0.0556036165930732,0.0413024541167282,0.828290909090909,0.0274909090909091,0,0.659739513692864,0.852136879116526,-Inf,1.02211158443746,0.505466943017632,0.659739513692864
2003,155,Manufacturing,0.0161320414833115,0.114307496332896,0,248.736170212766,2.50137614678899,-0.212296204287836,0.0581257520161491,0.0944878198600133,0.0602549855993337,Inf,1.64494160686647,-0.306057858450379,0.205943236446376,0.205943236446376,0.0194591274267333,0.0119706054910852,0.0353360579934966,0.858871535106233,0,0,0.552191214470284,0.803286821705426,Inf,0.625575869259493,0.384833388025417,0.552191214470284
2004,155,Manufacturing,0.0236737490656217,0.0881401907264367,0,34.9961759082218,2.88936226282502,-0.113666638720435,0.0365768847996994,0.0639287747596078,0.0377618135903742,133.112727272727,1.1759452600469,-0.797109763426761,-1.25823635469595,-1.25823635469595,-0.0804375085137075,-0.0460223661965076,0.0311042410241448,0.731408011821774,0,0.000274781274105812,0.603951516849996,0.824811415493122,-Inf,0.747791675253141,0.427849431852246,0.603951516849996
2005,155,Manufacturing,0.021650828538798,0.0908833796625509,0,70.3672230652504,2.2767381239544,-0.137392412189088,0.0478595217969717,0.0887597522413885,0.0496003901971522,174.988679245283,1.37435167896624,-0.261946864487191,-0.661649271111878,-0.661649271111878,-0.0587278253745856,-0.0316662177127293,0.0348233443662473,0.76177350997303,0,0.000273500674462984,0.614842936334621,0.831526961196036,-Inf,0.854589199990812,0.460797032569286,0.614842936334621
2006,155,Manufacturing,0.0286973191766333,0.122658347571394,0.00152550646814742,349.754098360656,1.61335101201429,-0.185484642201994,0.0654312708418098,0.126327070763291,0.0693918173923508,244.293893129771,1.32672097506374,0.0684634012967737,-0.3967815014452,-0.3967815014452,-0.0501242448106328,-0.0259619178860808,0.0493180345163882,0.766038596273034,0.0124370374976681,0.000267838340138335,0.82032315323588,0.834099261782114,-Inf,0.930683435275263,0.482048697508286,0.977482339817746
2007,155,Manufacturing,0.0349361240748598,0.119761467024938,0.000914533540753312,8.36549884834525,1.95412359675447,-0.184782434060785,0.0741451076714136,0.156150223905758,0.0791778728325822,279.380566801619,1.35813816177918,-0.0191140029272393,-0.508600576753083,-0.508600576753083,-0.0794180939385917,-0.0377102445251004,0.0545931995418512,0.708285770517615,0.00763629206849045,0.000265391070396324,0.855739053222962,0.868008527458498,-Inf,1.10600619559339,0.525167024461106,0.971489891033484
2008,155,Manufacturing,0.0303235766590866,0.112269209104375,0.00181920597500678,16.6949190148658,1.69507879528501,-0.176830013442503,0.0871187166766046,0.200725604225578,0.0939260864463524,331.471365638767,1.39822351061062,0.11514539365265,-0.420724576045931,-0.420724576045931,-0.0844501947393694,-0.03665298513943,0.0623067170702621,0.729902999219534,0.0162039617943286,0.00026282426087913,0.969091757120004,0.98055781717311,-Inf,1.30404417649256,0.56597988873387,0.971262228077425
2009,155,Manufacturing,0.138418137419596,0.151590627973805,0.0241076472895789,4.84870457878442,12.9253348532345,-0.263324284921009,0.12782880266685,0.331409351498395,0.141205249789721,498.016736401674,1.47375068099648,0.23789760220456,-0.125493589635878,-0.125493589635878,-0.041589749158432,-0.0160416953055193,0.0867370609663894,0.0868951513050369,0.159031251547719,0.000256675716544092,0.921415771392606,0.931452747886745,-Inf,1.5926031112262,0.614287279194446,0.921415771392606
2010,155,Manufacturing,1.95484017458435,2.13454600499533,0.716956379140702,18.6794772400044,14.6215077916608,3.75043362241494,0.187902123378555,Inf,0.20919917192072,736.493449781659,1.9934166203742,0.382480418838234,0.112660607030838,0.061029189419947,Inf,0.0114675142800801,0.0942613407844881,0.084189251480374,0.335882373798858,0.000255130746151592,0.0614567484165576,0.073817004151124,3.42916441075618,Inf,0.598234807186888,0.901032287140827
2011,155,Manufacturing,1.6040205472686,2.05544305047911,0.100143238170503,14.8547586829048,5.66081295475682,3.85298453330837,0.183539259779416,0.403058214760402,0.203565565258671,986.017964071856,1.97845702819931,0.371602951446877,0.109179242704886,0.0795615340236237,0.0320679298671608,0.0146026650616107,0.0927688886659645,0.219622967955881,0.0487209986903603,0.000186141902548584,0.0275077462108034,0.0828691064331411,3.6870385561936,1.19603269210528,0.54463337290242,0.458205253097461
2012,155,Manufacturing,0.788924661944623,0.924935608499678,0.0222311654861558,29.7339618303058,13.8979760918452,-27.7317177782543,0.144314974549326,0.296829772728838,0.155074243474465,751.81976744186,2.25060480011139,0.0919397121712434,0.145708474785984,0.145708474785984,0.0432506134553893,0.0210279148303605,0.0641227524895457,0.147049097586021,0.0240353655777364,0.000191954216687294,0.0830755864465682,0.134926151172893,Inf,1.05681893826883,0.513812333504827,0.609969591659427
2013,155,Manufacturing,0.217301876610087,0.288496980928428,0.0097547067987659,11.5636007827789,13.4911327231121,-1.43758944415822,0.113890998968266,0.213661597362544,0.135125355458525,594.396449704142,3.54544171107895,0.0609638338327377,-0.164345514817875,-0.164345514817875,-0.0351143252153568,-0.0187174748585617,0.0321232185576127,0.246779373874987,0.0338121624960294,0.000191607804900171,0.179874229106978,0.238452386733356,-Inf,0.876018292034457,0.466956156959672,0.605849074928374
