year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,54,Manufacturing,1.50479233226837,2.01966085033178,0.931039567461293,Inf,5.41365155131265,4.35415762834418,1.08787079524515,1.4525995850956,2.15840282921934,Inf,2.19827208566561,0.372192146312841,0.14589214741993,0.0885228115624343,0.128588199347088,0.0963013814117619,0.494875407980152,0.254928206376247,0.460988074957411,0,0.367900997697621,0.975872985418266,3.69960696238069,0.335268481739382,0.251086943430767,0.367900997697621
1993,54,Manufacturing,1.44006919470114,1.99389994082032,0.164656075021623,Inf,3.80363307578497,3.27980579856181,0.785675100392794,1.04266286146947,1.68540965471791,Inf,1.63488584474886,0.353759356496481,0.149522399731874,0.0939280527315384,0.0979352922333207,0.073796932259551,0.480568782778521,0.277762557077626,0.0825799086757991,0,0.331953347578348,0.977875712250712,3.68571428571429,0.32709164506829,0.246472537359286,0.331953347578348
1994,54,Manufacturing,0.899201848351187,1.0648393194707,0.0867254778407898,Inf,8.59332995181334,32.7975380628442,0.644423369464901,1.51918373471378,2.24462377510752,Inf,1.99708069511016,0.330669853623847,0.120696126266717,0.0746992473776742,0.113481881611524,0.0481379406916129,0.322682689308833,0.155551610548948,0.0814446614198079,0,0.0598899033891186,0.526275064665178,3.59517505148573,1.35743116512867,0.575809459554073,0.0598899033891186
1995,54,Manufacturing,0.618390570504824,0.779804485629185,0.00945749853618798,Inf,5.85710906079962,-6.21417422972426,0.624536676620615,1.7280574845679,2.22657415078708,Inf,1.75471328534352,0.30907264253621,0.0600098605568424,0.0237211508944269,0.040991512345679,0.0148147287452215,0.355919500830787,0.206992801527839,0.0121280381306825,0,0.0455157481031314,0.714732800815153,2.26589392342817,1.76694315843621,0.638590334987161,0.0455157481031314
1996,54,Manufacturing,0.458723394067086,0.595266598031939,0.00639260660329926,Inf,7.95256882342627,-3.36082108314354,0.396210361877663,0.641299010616262,0.65640687914132,Inf,2.28508798391151,0.201696794747681,-0.0165807121609491,-0.0524703852991393,-0.0336492061789921,-0.0207893103472324,0.173389543276775,0.229381598793364,0.0107390648567119,0,0.0618242534283446,0.762164578790339,-0.461991172143207,0.618582127880529,0.382175310863304,0.0618242534283446
1997,54,Manufacturing,0.461250382901355,0.677592118654954,0.0034683451744548,9.99817659022372,4.47497031150087,-4.36937599607699,0.358735502897533,0.756644870923913,0.550144902928544,Inf,2.07901068933837,0.312764793355966,0.0735950169748324,0.0735950169748324,0.0556852921195652,0.026401145425219,0.172551062261108,0.319280183162469,0.00511863269800067,0,0.10008038585209,0.484233846271628,Inf,1.10920516304348,0.525889075934747,0.10008038585209
1998,54,Manufacturing,0.434139369869507,0.793868185376434,0.00417262156979625,Inf,2.68536005909481,-7.00547000209045,0.457540031993738,1.03738959055638,0.778708110808602,Inf,1.81900505703869,0.331052215386605,0.0175311208478597,0.0175311208478597,0.0181866022783556,0.00802118959361582,0.2515331280819,0.45313418793367,0.00525606347081121,0,0.152342879774252,0.574440786488114,Inf,1.25058816245666,0.551571129178698,0.152342879774252
1999,54,Manufacturing,0.537248836278825,0.838006108926254,0.00277634108496872,7.8097401328644,3.68258732296111,-9.63138554216867,0.647924995491543,1.62583958306851,1.28530486407833,Inf,1.86183084322197,0.290125155584466,0.0401892657664138,0.028980929566365,0.0471183424431168,0.0187774686586278,0.348004222752205,0.35889627706031,0.0033130320356806,0,0.245588562265448,0.690421166816017,4.91246177370031,1.50930214821406,0.601482826326145,0.245588562265448
2000,54,Manufacturing,0.740090742781697,1.2505049035788,0.0116701259321835,6.23282492504237,3.09538006247602,8.54224266922751,0.658285273703251,1.47283788987293,1.32970860825853,Inf,1.71120774502962,0.261673324688363,0.0779014682506484,0.0406226470342173,0.0598305737389295,0.0267412903214703,0.38469044779356,0.408166460872211,0.00933233120380809,0,0.284918530689471,0.556241208907477,2.86371936568957,1.23738159414709,0.553048021767527,0.285021223097701
2001,54,Manufacturing,0.811818643972058,1.20662386322984,0.0654243000508369,5.22845920666187,3.82341369196652,10.098277747403,0.736147231439134,1.8790519832304,1.59421832685371,Inf,1.729242412421,0.276555809724911,0.114845445480673,0.0600215667961577,0.112783644124916,0.0441847102236305,0.42570505219595,0.327198252321136,0.0542209565420925,0,0.309934989938594,0.580050293378039,2.87080584221508,1.55254914096048,0.608234770507212,0.309934989938594
2002,54,Manufacturing,0.84835683930718,1.26802736061494,0.0849051013324755,5.76915460977928,3.41650865372978,6.90162976532643,0.681586367804762,1.78253864665334,1.58786533346898,Inf,1.45882152656773,0.224895600938161,0.0700829471998169,0.040654424804073,0.0724680833707224,0.0277095017374,0.467217103252088,0.330963301221067,0.0669584142816132,0,0.292210727263086,0.596567336415677,3.87401973184923,1.6152832728311,0.617633205861619,0.292210727263086
2003,54,Manufacturing,0.778512593243052,1.15845030162498,0,6.50608804246019,3.99925366846027,12.0300187617261,0.635436105724078,1.5941951376245,1.22204955285149,21.438197623579,1.6454396866882,0.202864820768751,0.0927371754882672,0.0475862565382216,0.0758617787909852,0.0302380255406345,0.386180126117555,0.327970658602257,0,0.0296403698147267,0.361354763474116,0.55429954875019,2.89911491149115,1.50882051438976,0.601406320514228,0.475746590275313
2004,54,Manufacturing,0.765933781812683,1.18047797686705,0,8.02007619616778,4.08351671628794,11.6078224672938,0.645912014956465,1.54418686601727,1.1848435771299,20.8234980361732,1.7746678513131,0.191967269230142,0.0817314521368377,0.0410950929459789,0.0634585027849394,0.0265438142895604,0.363962199731373,0.351166394611236,0,0.0310184203362196,0.233030820146861,0.5300160306133,3.04361775927853,1.39070775935535,0.581713826758295,0.338483814251732
2005,54,Manufacturing,0.734548142011166,1.14361166291648,0,5.00003162421994,3.91827293754819,15.5474957388226,0.703220603082872,1.62126789785448,1.36456166696874,9.10356409419803,1.95241250998181,0.282147397448574,0.120839596646167,0.0746411200806202,0.121013251846611,0.0524891734778748,0.360180340725959,0.357694429123001,0,0.0772467349937213,0.236549483291747,0.556201677239964,3.58432868488525,1.30548633969436,0.566251199034546,0.324433087132171
2006,54,Manufacturing,0.968067446047676,1.16382047154056,0.195662749700335,4.671657076401,10.2058620071225,16.4790901298065,0.749269554299364,1.53902215868477,1.39076411891462,13.7388141606473,2.31961232994187,0.259957307908812,0.142152773778362,0.0915316205717173,0.1408691922802,0.0685818565500691,0.323014990318723,0.16819864427523,0.168121075788721,0.0545366976755192,0.33882820150442,0.54086700827621,4.06897101834618,1.05403002144389,0.513152198575439,0.428493925082803
2007,54,Manufacturing,0.840812000388362,1.24152076118968,0.24956309265672,7.29522583874024,5.29638977506764,13.6727747814144,0.624235852274205,1.13718519178956,1.05226439513863,5.5901221716978,2.65984998077512,0.357315764456837,0.243777961807784,0.16166763854111,0.183846044540538,0.100918736129868,0.234688368436589,0.322756391457637,0.201014030903178,0.111667658255243,0.197912004448604,0.419077457243222,4.06840857049395,0.821723612391999,0.45106930974729,0.295028549728066
2008,54,Manufacturing,1.18509716941276,1.60807016617378,0.665033974088157,5.69369508667891,2.81056672874637,4.53054504136119,0.762268153213708,1.39893359077328,1.74907446989827,10.1389491756017,1.71316484448762,0.568478543895438,0.475002356233796,0.30499409743466,0.426666487888925,0.2324872873926,0.444947347400004,0.263031430878067,0.413560296109796,0.0751821653320864,0.210306917209143,0.607980222020661,3.82878370374186,0.835225025308224,0.455107691858086,0.271701061407522
2009,54,Manufacturing,0.830139294652561,1.12548982461038,0.421692873737424,7.31603524519834,5.03224064008643,17.614755075285,0.485495288829516,0.934019658649005,1.25476073907839,1.50193254225001,1.96400933763892,0.327621165543855,0.154932214055181,0.0966865968546239,0.0903071821900898,0.0469408872658786,0.247196018636635,0.262419547027061,0.374674976633755,0.323247066810475,0.312932103832613,0.457373355953228,3.64521093128151,0.923846960830163,0.480207609046761,0.577037614695635
2010,54,Manufacturing,1.05079397764023,1.39346406812098,0.521233299821946,6.73784368534925,4.64696629610647,6.56703300086196,0.485843094295104,Inf,1.30551339640886,1.49212228039436,1.85429361195379,0.383729406277321,0.277751865125033,0.187761779644531,Inf,0.0912227640128542,0.262009797781265,0.245912397972932,0.374055787835853,0.325605414970882,0.283048256903131,0.438143810135383,4.22949532443429,Inf,0.429146007893796,0.324562567333054
2011,54,Manufacturing,1.2296780730438,1.70269423847465,0.506839220743334,7.02297584966601,5.48164664187097,6.27057990771812,0.524200308797891,0.975813245700461,0.758635892198438,Inf,2.5878400675131,0.411545456445847,0.240640090306666,0.159209398582687,0.15535863997699,0.083457615900571,0.202562869080872,0.277804525758305,0.297668958577897,0,0.210913378667626,0.257053491940219,2.95507637017071,0.861527414850671,0.462806729558577,0.423550470706344
2012,54,Manufacturing,1.75108033824924,2.3551941365807,0.813095402177702,7.90141716892002,4.01555454155035,2.90197486105378,0.383644028251224,0.787223131053465,0.561582491270643,Inf,1.66981534775484,0.383164834621125,0.28370249119711,0.201763464091633,0.158832865934408,0.0774053481180351,0.229752366791366,0.256502760833345,0.345234980653512,0,0.168276781333983,0.19028408161754,3.46236099230111,1.05196242631975,0.512661641766255,0.328793540205556
2013,54,Manufacturing,0.875306845408711,1.3784059227901,0.348262801761942,8.64632135804482,2.92035372374098,6.17960637058138,0.328724201489433,0.715221714520357,0.449964266925126,Inf,1.69645212087174,0.371695397180938,0.170078218798913,0.116619975652225,0.0834091389333066,0.0383358083739947,0.193771576247324,0.364986154704734,0.252656199457563,0,0.158620461103917,0.260139544606349,3.18151530592247,1.17575159941074,0.540389081902264,0.314956816119263
