year,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,Inf,0.0267569750823339,0.0158128603429914,0,NA,NA,0,0,0,NA,0.692102156216989,0.409019132606221,0
1993,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,Inf,0.186293110169712,0.120151530389889,0,NA,NA,0,0,0,NA,0.55048470514853,0.355040396929163,0
1994,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,Inf,0.0229002979042177,0.0130909996265405,0,NA,NA,0,0,0,NA,0.74931621400324,0.428348064235031,0
1995,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,Inf,0.263600890064175,0.124338775246331,0,NA,NA,0,0,0,NA,1.12001354445484,0.528302891325264,0
1996,NA,2.43327640101834,0.600109567851503,NA,NA,0,0,0,NA,NA,0,NA,NA,Inf,0.126157937837614,0.046868240291838,0.421495976621702,NA,0.246626140622724,0,NA,Inf,NA,0,0,NA
1997,NA,3.11437967765727,0,NA,NA,0,0,0,0,NA,0,NA,NA,Inf,0.165632031767042,0.0524585971774185,0.539910413535647,NA,0,0,NA,Inf,NA,0,0,NA
1998,NA,2.29355469188776,0,NA,NA,0,0,0,0,NA,0,NA,NA,Inf,0.18241803325394,0.0540661040621353,0.344834807397737,NA,0,0,NA,Inf,NA,0,0,NA
1999,NA,2.32063700370787,0,NA,NA,0,0,0,0,NA,0,NA,NA,Inf,0.174026026450301,0.0476787555884882,0.308018668384571,NA,0,0,NA,Inf,NA,0,0,NA
2000,NA,2.20816518434353,0,NA,NA,0,0,0,0,NA,0,NA,NA,Inf,0.104398751396088,0.0252774708892474,0.390786718378026,NA,0,0,NA,Inf,NA,0,0,NA
2001,NA,2.17725301394612,0.845618025096116,Inf,NA,2.21269851889641,0.501284572623825,2.35360207090722,25.5681291070738,0.989513170246425,1.19641859886725,0.265092845615109,0.0365580790614523,0.0320282410924525,0.0753817345627121,0.0160552631479229,0.418987612779035,NA,0.388387578145314,0.506597170908788,0,0.24451746862869,Inf,3.69514164098048,0.787013880205077,0
