year,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
2001,NA,18.7770912547529,11.2682034220532,Inf,NA,0.349250060155603,0.154279140959382,1.54971349934158,11.5560863411182,0.312725183438469,0.330650264510087,0.0420500650692796,0.0574829671591518,0.0503559672357039,0.0780373221975728,0.00776887536730317,0.466593127297121,NA,0.600103779077126,0.493337758293257,0,0.0275963741722071,Inf,9.04486730808015,0.900446668997251,0
2002,NA,2.4415312680146,1.49319982065461,302.878073770492,NA,1.45942997072342,0.271243968079337,1.82604317879977,19.0567947395565,0.41863076785818,0.861678064023413,0.141497721652588,-0.013034109245659,0.0373703101055787,0.0682397998579238,0.0101364712013925,0.314785741223148,NA,0.611583328960946,0.647931277166009,0,0.151422179403454,-0.647454209376575,5.73210612471816,0.851458075456013,0
2003,NA,2.92257624032772,0.835214686693977,Inf,NA,0.54861620777007,0.11097373993428,0.899730154724234,4.37212666268356,0.174906846675036,0.360899562366646,-0.0580992246723917,-0.106769372401789,0.0171104302420921,0.0153947700491157,0.00189880843584957,0.307492032427402,NA,0.28578029040581,0.634473389943738,0,0.120015514067362,-Inf,7.10759514149081,0.876658863380773,0
2004,NA,2.05648518902011,1.24956736443482,Inf,NA,0.692689914192505,0.0686907776604262,0.649460223621642,3.96753552641909,0.0907918199416993,0.355857965248314,-0.413559053715778,0.168192027228923,0.0127041921855366,0.00825086749775093,0.000872660840772019,0.193028636052854,NA,0.607622836821999,0.756574520750162,0,0.104965107141066,46.572602739726,8.45483870967742,0.894234049812351,0
2005,NA,2.19153534858054,0.917146974063401,Inf,NA,0.5227515405694,0.0464673482655365,0.523630646709751,3.41821240799159,0.0583726648025071,0.284219435254289,-0.689398041049368,-0.0424398287148693,0.0612295122311365,0.0320616490873126,0.00284517306897315,0.163491100543362,NA,0.418495177208726,0.796046375863601,0,0.0818660171196303,-Inf,10.2687869279193,0.911259303561555,0
2006,NA,1.6279897161555,0.847290103098138,Inf,NA,1.03309072864114,0.0619903553684925,0.665893679631525,5.47639089832961,0.0763617356857279,0.398510105441146,-0.471607784742737,0.12200686889065,0.275732321412846,0.183608410098942,0.0170927445909617,0.15555529087492,NA,0.520451753896218,0.811798668689488,0,0.10535874835766,Inf,9.74189163254862,0.906906526875589,0
2007,NA,1.46451008259696,0.714020886115059,Inf,NA,1.45825111411658,0.0624371679214887,0.632387865967982,6.24195691373256,0.0764067459914092,0.462524876758954,-0.567609070798142,0.250693689515976,0.235299483818979,0.148800538435652,0.0146914333830452,0.134992021097339,NA,0.487549313999198,0.817168263238286,0,0.102273229983632,Inf,9.12838805826643,0.901267606034917,0
2008,NA,0.965383542214058,0.611022624223964,Inf,NA,-20.2952141057935,0.0547598248526544,0.625814903609654,6.51314938564346,0.0618245659266626,0.727740210630265,-0.955551142663291,0.0011914809114829,0.0654073375366132,0.0409328866358397,0.00358169434758339,0.0752463915732088,NA,0.632932505584893,0.885729224813507,0,0.0854188442030155,Inf,10.4283583867109,0.912498368867849,0
2009,NA,1.09743236829616,0.325638348362601,Inf,NA,7.57830386282819,0.0627628313328836,0.56126977026091,8.33110206704509,0.0718153697585628,0.672817855891778,-0.521600514221437,0.255240237827414,0.232672344528363,0.130591953359501,0.0146031751154602,0.0932835399406804,NA,0.296727486604189,0.873947060968801,0,0.0957034727597121,Inf,7.94270953590395,0.888177068036805,0
2010,NA,1.61418305547892,0.925594573409179,Inf,NA,1.13199717653098,0.0584940237106269,0.629229781466245,9.19902659482009,Inf,0.430715390249858,-0.609557461925097,0,0.217993777005152,0.137168176665953,0.0127513331609085,0.135806671957309,NA,0.573413635007189,0,0,0.0927561062395508,NA,9.7571635792928,0.907038691693323,0
2011,NA,0.896289369473786,0.181769090956984,Inf,NA,-9.51047707742454,0.0788770588553337,0.758399524704882,13.6309913845407,Inf,1.10046778183243,-0.259224804821379,0,0.318276908833557,0.241381056383909,0.0251047464703582,0.0716759365040133,NA,0.202801792755504,0,0,0.0892523239976364,NA,8.61495356758271,0.895995023006657,0
2012,NA,0.343391353052189,0.0501414520507872,Inf,NA,-1.19046247799535,0.0699716992520197,0.704610209607605,13.2591225416036,Inf,2.27631811334476,-0.451035338898346,0.145540763188762,0.145540763188762,0.102549507656884,0.0101837345107535,0.030738981007011,NA,0.146018388655135,0,0,0.0993854071969831,Inf,9.06993137425152,0.90069445730713,0
2013,NA,0.523441680542643,0.142153770728018,Inf,NA,-1.40785627360207,0.0620335707446726,0.71205530649864,12.6998641919421,Inf,1.28175811121835,-0.542845939972909,0,0.0302853425536465,0.0215648388744531,0.00187870793982828,0.0483972523378125,NA,0.271575184040846,0,0,0.101283395549672,NA,10.4785477919597,0.912880965595625,0
2014,NA,3.33727985121174,0.331326052688282,0.221491092302204,NA,0.18226677470536,0.0189724569824223,0.200135856897401,3.9473545946514,Inf,0.127651404454292,-1.67605483828031,0,0.325529082922934,0.0651500419558066,0.00617608652228272,0.148627091597851,NA,0.09928027239549,0,0,0.0491993987539879,NA,9.54875797493307,0.905202109824086,0
