year,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
2002,65.2909090909091,65.2909090909091,0.139393939393939,NA,NA,0,0,0,NA,NA,0,NA,-Inf,-Inf,-0.0622772141486153,-0.0619248858291868,0.367152886647127,0,0.00213496704724775,0,1,1,-Inf,0.00565533315053469,0.0056233385590621,1
2003,44.6490683229814,44.6490683229814,0,NA,NA,0,0,0,NA,0,0,NA,-Inf,-Inf,-0.0515976581787402,-0.0510182731203794,0.501360022318315,0,0,0.498605105314549,1,1,-Inf,0.0113564223742682,0.0112289022178825,1
2004,495.5,495.5,0,NA,NA,0,0,0,NA,0,0,NA,-Inf,-Inf,-0.123504867872045,-0.123406789755807,0.393488187413143,0,0,0.606511812586857,1,1,-Inf,0.000794754619511226,0.000794123486202104,1
2005,14.4047619047619,14.4047619047619,0,NA,NA,0,0,0,NA,0,0,NA,Inf,Inf,0.0180615309684228,0.0180008899316371,0.0489462400388334,0,0,0.655111039197444,1,1,Inf,0.00340936764347756,0.0033979207960843,1
2006,55.935960591133,55.935960591133,1.99014778325123,NA,NA,0,0,0,NA,0,0,NA,-Inf,-Inf,-0.0224046316123404,-0.0222248446227677,0.446660372905358,0,0.0355790400704535,0.553339627094642,1,1,-Inf,0.00804980569434531,0.00798520966092361,1
2007,124.268817204301,124.268817204301,17.5322580645161,NA,NA,0,0,0,NA,0,0,NA,Inf,Inf,0.0183345195729537,0.0182379428506698,0.654583557531647,0,0.141083326122696,0.345416442468353,1,1,4.48108108108108,0.00529537366548043,0.00526748038854748,1
2008,231.25,231.25,11.25,NA,NA,0,0,0,NA,0,0,NA,-Inf,-Inf,-0.113243147027412,-0.113078098894458,0.328818740890832,0,0.0486486486486487,0.671181259109168,1,1,-28.7383177570093,0.00142399430402278,0.00142191887952792,1
2009,174.902777777778,174.902777777778,1.59722222222222,NA,NA,0,0,0,NA,0,0,NA,Inf,Inf,0.00111758842540852,0.00111516320564212,0.379547304017602,0,0.0091320574922576,0.620452695982398,1,1,1.31623931623932,0.00217476666565983,0.00217004731908737,1
2010,50.0628571428571,50.0628571428571,5.29142857142857,NA,NA,0,0,0,NA,0,0,NA,Inf,Inf,0.115925837256936,0.106934288658782,0.429945526819453,0,0.10569569683826,0.570029935711832,0.110724454286618,0.110724454286618,19.5446808510638,0.0840848030218392,0.0775629386072533,0.999683644416324
2011,1.08109315660139,1.08109315660139,0.0472112592151314,NA,NA,0,0,0,NA,NA,0,NA,Inf,Inf,0.106893492265556,0.0690110327995418,0.36156700620128,0,0.0436699269871883,0,0.943710470836261,0.943710470836261,20.9352517985612,0.548933379624272,0.354394441262172,1
2012,5.18630573248408,5.18630573248408,1.15923566878981,NA,NA,0,0,0,NA,NA,0,NA,Inf,Inf,0.163624070317782,0.160074083873528,0.10771927503638,0,0.223518575376113,0,0.958778625954198,0.958778625954198,5.32529043789097,0.0221433400946586,0.0216629183754465,1.00152671755725
2013,241.846153846154,241.846153846154,73.6923076923077,NA,NA,0,0,0,NA,NA,0,NA,Inf,Inf,0.0864444375019526,0.0864093435762913,0.098182499531572,0,0.30470737913486,0,1,1,25.7053571428571,0.000406135774313474,0.000405970895009681,1
