year,id,Field,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1997,181,Manufacturing,0.296437456990101,0.786864997441462,0.025047200606991,Inf,4.37279628696841,-11.461255070784,0.33561211292565,0.42285788464916,0.414774412549847,Inf,3.10446472619635,0.122095773996771,-0.121445675217873,-0.121445675217873,-0.0513542613224188,-0.0407586396655527,0.108106273552945,0.62326770417545,0.0318316365430327,0,0.408717056950499,0.665887273966326,-Inf,0.259960139587804,0.2063240982154,0.408717056950499
1998,181,Manufacturing,0.165875787822535,0.409205039807255,0.0251369696832911,Inf,3.92830144927536,-1.18077283059233,0.160051264458584,0.225475767108923,0.19002986460253,Inf,1.70475573266412,-0.370246048821522,-0.608578546354563,-0.723004998624974,-0.163020106688551,-0.115717864239804,0.0938851598454299,0.594638942128704,0.0614287881086,0,0.512121888105648,0.790706701168912,-Inf,0.408772169789814,0.290162013812924,0.512121888105648
1999,181,Manufacturing,0.0586259490618727,0.314948355333251,0.010250428970359,Inf,3.40244142547746,-1.24427018531858,0.14110419766655,0.178358761473757,0.161253194353539,Inf,2.7064416194851,-0.023149792776791,-0.298940859154003,-0.249694099072429,-0.044535130257864,-0.0352328855116872,0.0521364276438356,0.813855357333618,0.0325463803724673,0,0.622283550649281,0.792532152983317,-Inf,0.264021655083888,0.208874313206577,0.622283550649281
2000,181,Manufacturing,0.0708087722019701,0.28352109671915,0.00638912588226169,Inf,3.45102552415679,-1.02752349442832,0.149832772620093,0.195811688437274,0.165168894926137,Inf,2.59662831056474,0.00288406455563677,-0.247456689646998,-0.224924112228302,-0.0440427701856787,-0.0337010033642794,0.0577028186939492,0.75025219279498,0.0225349222904235,0,0.765435729801725,0.866745377159111,-Inf,0.306868217234172,0.234811906194812,0.765435729801725
2001,181,Manufacturing,0.0901503326226223,0.373019898268196,0.0302437919471349,Inf,2.35950283744734,-1.11656417626778,0.13700957528005,0.18178458863167,0.158721174285051,Inf,1.87674578240093,0.0466128816706642,-0.165504920131391,-0.199879018927911,-0.0363349252319121,-0.0273853394907061,0.073003800815672,0.758322992845262,0.0810782268923093,0,0.707331387478187,0.794577950278967,-Inf,0.326800795309973,0.246307118241602,0.707331387478187
2002,181,Manufacturing,0.0766453411034395,0.365446740502166,0.010851187198815,156.156438026474,2.49806819523882,-0.996437072871074,0.131139290651705,0.173911295402339,0.148636095504814,Inf,1.73019026412981,-0.140992247584113,-0.262796109920935,-0.104619083581215,-0.0181944403494147,-0.013719672409472,0.0757947223322635,0.790269463073826,0.029692937427501,0,0.843264876769968,0.84330185810672,-Inf,0.32615705436621,0.245941499381523,0.843264876769968
2003,181,Manufacturing,0.109510022861481,0.301811264795968,0,429.547368421053,3.49414761773616,-0.773851590106007,0.132031009022728,0.182135078197529,0.14372929989774,995.292682926829,1.79017328361483,-0.243626501989038,-0.525636941374437,-0.542063861592374,-0.0987288438191816,-0.0715692386007977,0.0737532004477931,0.637157271331432,0,0.000132655460336017,0.888309091621908,0.888313012114322,-Inf,0.379487133709443,0.275092912747219,0.888309091621908
2004,181,Manufacturing,0.0497837950457448,0.162235957643567,0,132.948453608247,4.24349098000975,-0.506391853332053,0.13072714043391,0.190535915094107,0.139674425153527,811.636363636364,2.614937478878,-0.124819065343259,-0.453603184449959,-0.543338158257513,-0.103525433189142,-0.0710290437176319,0.0499924535442436,0.693139574180466,0,0.000161066145247873,0.981674913613383,0.981678501842556,-Inf,0.457508474993639,0.313897643027863,0.981674913613383
2005,181,Manufacturing,0.062929631402585,0.172455720440402,0,260.404444444444,2.89624125874126,-0.451897528450394,0.13766617638075,0.218949925261584,0.14834967287164,507.281385281385,2.16847091915098,0.151755389052926,-0.33274735027564,-0.451588127869468,-0.0988751868460389,-0.0621684108627309,0.0634853689597323,0.635096874479543,0,0.000271380303663987,0.991595069698264,0.991598234205155,-Inf,0.590442825112108,0.371244730992805,0.991595069698264
2006,181,Manufacturing,0.26214405360134,0.288461084766556,0.0132328308207705,3.81256874679182,8.71080233079337,-0.344774535809019,0.13373735087277,0.316539929741676,0.160078327293552,281.037837837838,0.850445734849104,0.0655485459301431,-0.410063086628712,-0.410063086628712,-0.129801340631107,-0.0548407508964354,0.157255595968742,0.0912325181974319,0.0458738856628772,0.000475869555151995,0.921981551015318,0.943984927241872,-Inf,1.36687752281569,0.577502430793133,0.921981551015318
