"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","Cpp","V37","V47","V48","V49","V50","V51","V57","V71","V72","V73","V79","V85","V86","V91"
"1",1992,2122864,614501,1,1,NA,30714,182312,1,1913165,1533403,1,1,1,1,1,1,1,209699,506378,NA,NA,362418,6,17715,10772
"2",1993,2415271,600887,1,1,NA,18510,210004,1,2201520,1865327,1,1,1,1,1,1,1,213752,441552,NA,NA,301789,11,19415,4018
"3",1994,3234364,700129,1,1,NA,67011,197875,1,2919017,2444376,1,1,1,1,1,1,1,315347,469888,NA,NA,332718,19,23334,948
"4",1995,4067000,775034,1,1,NA,97764,200514,1,3665099,2752646,1,1,1,1,1,1,1,401901,724202,NA,NA,434018,4,33045,86639
"5",1996,5113439,1120895,1,1,NA,35277,205943,1,4646808,3448174,1,1,1,1,1,1,1,466630,671348,NA,NA,150641,8,42407,108234
"6",1997,6357230,1222948,1,1,NA,307437,231299,1,5813529,3834969,1,1,1,1,1,1,1,543701,516695,NA,NA,753686,5,28313,112662
"7",1998,7215589,1533661,1,1,NA,366951,241551,1,6633791,4213728,1,1,1,1,1,1,1,581798,883291,NA,NA,101294,2,30668,70625
"8",1999,7363847,1572975,1,1,NA,372073,260547,1,6796886,4240761,1,1,1,1,1,1,1,566961,886730,NA,NA,638543,7,0,14852
"9",2000,6235857,791907,1,1,NA,37530,227961,1,5679207,3904793,1,1,1,1,1,1,1,556650,782681,NA,NA,335667,15,0,4574
"10",2001,7216641,1092699,7,15,NA,1342930,437021,1,6716571,5387410,9,9,12,1,1,1,1,500071,763189,NA,NA,98806,20,0,15343
"11",2002,7049835,1514159,8,3,NA,775943,401672,1,6522525,5238054,11,10,9,1,1,1,1,527309,711626,NA,NA,79152,14,0,48164
"12",2003,7270086,1748464,9,2,NA,467856,447183,8,6704178,5554152,12,6,6,1,1,1,1,565908,609576,NA,NA,81235,21,38142,69912
"13",2004,7409684,1581564,11,13,NA,492865,505213,7,6786207,5633235,14,3,7,1,1,1,1,623477,661043,NA,NA,86685,3,20985,84143
"14",2005,7737976,1626991,10,11,NA,354503,480295,6,7044812,5682976,15,13,11,1,1,1,1,693164,746225,NA,NA,161800,9,55880,139703
"15",2006,8977132,1614941,12,9,NA,1454330,472724,2,8163554,7013384,13,8,8,5,5,2,2,813578,956321,NA,NA,293934,10,78893,195755
"16",2007,11492290,1923598,13,12,NA,1850750,485627,2,10545877,8363085,2,2,10,3,8,5,4,946413,1161997,NA,NA,329092,13,104940,261637
"17",2008,15389056,2902841,14,4,NA,1818887,546914,2,14399343,10174324,8,7,13,2,6,3,3,989714,1518016,NA,NA,331922,12,82978,285641
"18",2009,17982525,3590713,3,14,NA,2399655,591850,2,16400470,12767259,4,12,3,2,4,4,2,1582056,2003186,NA,NA,609427,16,156621,477825
"19",2010,20574404,4850674,15,5,NA,1841887,501999,9,18800447,12681101,3,5,2,7,2,6,2,1773957,2101895,NA,NA,702999,1,201261,529456
"20",2011,20027383,2448371,2,6,NA,2472514,434926,10,18068929,13094363,5,11,5,4,3,7,6,1958455,2098682,NA,NA,667047,17,214476,541729
"21",2012,24183818,5496063,4,8,NA,1565807,450224,5,21744513,14912789,6,4,4,6,7,8,5,2439304,2345257,NA,NA,702106,18,195330,586041
"22",2013,30041066,6959142,6,7,NA,16604,447089,4,27358870,20313181,7,1,1,1,1,1,1,2682196,2401862,NA,NA,852936,1,234173,654547
"23",2014,32613641,6049858,5,10,NA,17442,432394,3,29528262,20885116,10,1,1,1,1,1,1,3085380,2801761,NA,NA,970893,1,275159,706489
