"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","Cpp","V37","V47","V48","V49","V50","V51","V57","V71","V72","V73","V79","V85","V86","V91"
"1",2002,655415,334,0,0,NA,0,15989,1,291177,0,0,9,3,1,1,1,1,364238,72759,NA,NA,19892,3,0,16835
"2",2003,719157,635,0,14139,NA,0,0,2,266768,0,56061,8,2,2,2,2,2,452389,141518,NA,NA,67304,11,0,58265
"3",2004,913847,2780,0,25967,NA,0,0,3,268672,0,29414,5,2,2,2,2,2,645175,149977,NA,NA,129238,2,0,129532
"4",2005,1110077,4806,0,26468,NA,17338,0,2,298109,0,27964,3,2,2,2,2,2,811968,205868,NA,NA,181544,4,0,181540
"5",2006,1305773,420,0,86108,NA,12282,0,2,260068,0,84176,2,2,2,2,2,2,1045705,314513,NA,NA,295450,6,0,291391
"6",2007,1938023,10985,0,84425,NA,75233,80,2,204716,0,23776,6,2,2,2,2,2,1733307,423112,NA,NA,366147,12,0,667690
"7",2008,1925285,9530,0,83429,NA,48426,72,2,188787,0,51774,4,2,2,2,2,2,1736498,269081,NA,NA,247593,5,0,253946
"8",2009,2797684,217447,0,98742,NA,105202,353,2,600550,0,62772,2,2,2,2,2,2,2197133,537927,NA,NA,513743,9,0,511164
"9",2010,3490171,129280,0,128634,NA,133283,0,2,846222,0,52535,2,2,2,2,2,2,2643949,505774,NA,NA,449796,7,0,452475
"10",2011,3880057,39344,0,31113,NA,289352,0,2,951358,0,154502,2,2,2,2,2,2,2928698,564717,NA,NA,482295,8,0,481517
"11",2012,5180218,104199,0,2202,NA,98851,0,2,998833,0,223559,7,2,2,2,2,2,4181385,633706,NA,NA,543376,10,0,535040
"12",2013,5522226,7686,1,10918,NA,138050,0,2,1007564,0,292707,1,1,1,1,1,1,4514662,547492,NA,NA,403314,1,0,399259
