year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2002,451950,56083,26949,0,NA,380981,3225,11633,394683,26168,0,19191,0,0,57267,3967,NA,-21601,-9101,-8088,0,3773
2003,971945,66729,2269,0,NA,845780,3404,9027,893026,91883,0,67457,23203,0,78919,55109,NA,-31247,-2665,-5469,0,21665
2004,1212172,127632,42407,0,NA,1030879,3052,6367,1117314,137615,0,64124,20964,0,94857,79385,NA,-54529,-1955,-5381,-3917,15943
2005,1583372,105039,29677,0,NA,1356072,3373,3992,1448869,181127,0,97568,21291,0,134503,82397,NA,-42532,19982,19982,0,38537
2006,1782337,219282,3665,0,NA,1425198,3833,2504,1596940,153739,0,38547,19576,0,185397,106455,NA,-54255,34731,34731,0,52679
2007,1915450,95344,21084,0,NA,1562425,3641,1134,1671643,238319,0,105680,17206,0,243807,121872,NA,-58836,63351,63351,3518,90791
2008,1966826,94896,30312,0,NA,1521083,6836,3106,1753631,220452,0,116123,16588,0,213195,78872,NA,-57438,-25175,-25175,0,6926
2009,2198845,165542,49689,0,NA,1787347,6198,100828,1893630,222611,0,91221,16081,0,305215,104076,NA,-34515,84984,84984,0,84655
2010,2468881,108636,17267,0,NA,0,12971,2990,2083331,117933,0,44611,14946,0,385551,90698,NA,-45433,0,0,0,89922
2011,2694842,131981,6805,0,NA,0,11381,1089,2288063,126651,0,460,13500,0,406779,83443,NA,-56394,0,0,0,187738
2012,3187943,173779,52081,0,NA,0,11864,2047,2636670,148524,0,330,13099,0,551273,85628,NA,-69969,0,0,0,194380
2013,3669255,257042,80881,0,NA,0,12035,2268,3223230,194293,0,5500,14136,0,446024,137190,NA,-43185,0,0,0,154132
2014,4485325,301824,23972,0,NA,0,10851,14948,3956754,163063,0,3417,163721,0,528571,148796,NA,-36804,0,0,0,206433
