year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,2000,110190,58067,13442,12762,20283,0,49267,2809,37944,34059,24597,9462,0,0,2821,0,0,0,0,72246,83533,57747,25786,10159,10080,0,10080
2,2001,119397,65440,16887,19609,24788,0,51444,2510,35944,31509,13775,17669,0,0,4435,0,0,0,0,83453,95328,66633,28695,10079,9626,0,9626
3,2002,151419,84934,16586,27730,27526,0,64016,2462,59465,51567,24394,3401,0,0,7898,0,0,0,0,91954,115781,82205,33576,11494,10327,0,10327
4,2003,160342,98053,0,34127,37328,0,59825,2462,53689,48778,13063,11985,0,0,4911,0,0,0,0,106653,158876,110282,48594,21460,19385,0,19385
5,2004,178296,109481,0,45498,51583,0,66351,2462,63102,56880,13828,16939,0,0,6222,0,0,0,0,115194,193201,132469,60732,30166,29176,7877,18381
6,2005,195160,122015,0,52918,55154,0,70767,2376,73094,64623,13735,9230,0,0,8471,0,0,0,0,122067,207663,154716,52946,19221,14715,0,14715
7,2006,248268,162005,6263,80366,71941,7925,75992,2345,115612,92840,18022,12965,0,60465,22772,0,0,0,0,132656,251907,181183,70724,24210,19336,0,19336
8,2007,282872,189822,2583,80155,89519,7482,85290,278,147659,121541,16146,18351,0,86980,26118,0,0,0,0,135213,260192,196713,63480,22173,16444,0,16444
9,2008,313596,217134,16966,80029,111287,6366,87745,2039,179721,155545,36895,30230,0,88420,24176,0,0,0,0,133875,296685,214433,82252,33917,25196,6352,16491
10,2009,329278,226542,13766,97472,104561,9142,89640,3954,161917,136744,23751,24023,0,13647,25173,0,0,0,0,167361,369324,255160,114164,49634,39031,10543,24583
11,2010,436462,325225,18990,133487,144016,14661,92719,3858,216724,190889,62965,64069,0,63854,25835,0,0,0,0,219739,400254,272540,127713,65513,57738,0,57738
12,2011,445793,349835,14250,154326,146569,0,79621,2234,229360,229360,38203,81521,0,109637,0,0,0,0,0,216433,380981,273890,107091,34400,29760,0,29760
13,2012,472754,352979,30253,143545,137770,0,100052,2355,214533,164935,21638,19554,0,123743,49598,0,0,0,0,258222,383952,269925,114027,38933,49723,0,49723
14,2013,593589,360298,12602,142478,159012,0,205533,0,246985,178573,32608,0,40674,105290,40225,0,0,0,28186,346605,421747,303482,118264,42955,23004,0,23004
