year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,2000,146107,15584,1671,6129,4292,0,130509,0,57017,16350,2201,2645,0,314,40667,0,0,0,0,89090,54798,20029,34769,8271,4590,0,4590
2,2001,140976,13173,2046,6217,3477,0,125874,0,53077,13700,1318,2441,0,233,0,0,0,0,0,87899,47494,17810,29685,3640,-853,0,-853
3,2002,130000,14340,2897,6123,3247,0,113942,0,42485,17960,265,2544,0,109,24525,0,0,0,0,87515,43322,15171,28151,-228,-261,0,-261
4,2003,121933,14833,0,7925,3105,339,104339,0,27807,5469,268,1902,0,0,22339,0,0,0,0,94126,46359,15912,30447,5880,6715,0,6715
5,2004,122124,24079,0,8171,3357,339,95472,0,22426,11941,373,7306,0,0,10485,0,0,0,0,99698,55052,18248,36804,12805,12658,3392,7912
6,2005,140030,27352,0,8094,3949,22663,86752,0,36028,14449,754,7646,0,0,21579,0,0,0,0,104002,57810,27283,30527,15708,13686,3681,8539
7,2006,159854,20021,7181,7347,4664,34257,105457,0,48215,35377,439,4355,0,30345,0,12838,0,0,0,111639,61247,20061,41186,15144,13703,3873,9151
8,2007,278077,85637,49856,6288,4447,4810,158283,19408,67402,60517,1800,51208,0,4475,6885,0,0,0,0,210675,63500,19362,44139,20456,18491,5062,12541
9,2008,415397,75398,21614,7439,4639,15134,307250,17615,123681,42297,28133,4031,876,2656,53778,0,27606,0,0,291716,60367,21428,38939,19391,15246,6245,7905
10,2009,915510,140321,101136,5112,2029,19034,692975,0,405943,86453,60389,18297,3084,2574,290842,0,0,23722,4927,509567,51045,31179,19866,-1526,12200,4762,6603
11,2010,1009212,67566,10801,5094,3266,18241,848763,0,376768,79983,42502,17702,18574,1196,277157,0,0,19628,0,0,63656,63749,-93,-30885,-34270,-8256,-24568
12,2011,1124539,142142,92260,7885,3056,0,931619,2681,291301,29201,12361,16626,214,0,210123,0,0,17752,34225,833238,119018,95111,23907,-18641,-26901,-8875,-18026
13,2012,1096273,122563,58594,8130,2782,0,953365,2539,260318,39191,8153,7267,578,7951,192856,0,0,0,28214,835955,169317,117208,52109,3541,-12710,-4774,-7936
14,2013,1018837,83251,24413,9064,2981,0,917747,2399,205492,39611,6491,7187,76,13003,138101,0,0,0,27779,813345,183077,116804,66273,16419,-9741,0,-9741
