year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,54880,6239,0,0,0,0,0,0,5355,5355,272,29,0,0,49524,118,0,118,-875,5735,0,5735
1993,141074,51560,880,0,36031,0,38877,0,41507,36853,15352,2788,0,0,99567,34496,22868,11628,-3007,20702,6919,13232
1994,182948,38852,39,0,24227,0,55381,0,81360,38899,26240,11358,0,0,101588,15912,7303,8609,-3185,11348,1493,9476
1995,165527,25508,133,0,16841,0,70366,0,59701,34014,22465,11081,0,0,105827,20853,11513,9340,-13963,15429,3403,11307
1996,210650,65695,187,8287,41068,0,68184,0,99386,67805,30276,22992,0,0,110967,13855,8784,5071,-4633,14655,2282,12373
1997,234954,92137,957,0,67471,0,97104,0,125199,27523,9408,8588,0,0,109496,3778,3088,690,690,18574,2461,15574
1998,285545,63865,418,0,38071,0,155591,0,170573,18586,8623,2822,31748,117602,114973,69491,15496,53995,36838,14695,2244,12057
1999,318572,77788,618,0,46399,0,170067,0,206414,33149,7928,0,0,0,112158,54876,12795,42081,21126,7703,1664,5747
2000,316764,73122,49,14350,50261,0,0,0,184960,28574,13227,302,149940,6446,131803,61308,9218,52090,30785,23695,1970,21378
2001,385003,69601,393,14603,48435,0,164291,0,193987,39639,27027,6192,146313,0,191016,66324,12259,54065,31079,21619,4881,15754
2002,411659,109365,16213,16727,62765,0,159897,0,219015,30982,15592,0,178312,0,192644,64655,9407,55248,30960,19519,3650,15156
2003,430052,130310,0,18911,81973,104576,1516,0,220411,24294,14920,0,188381,7719,209641,73228,23502,49726,21837,20420,2940,17035
2004,406107,108283,0,21267,64954,104762,1493,0,175834,33483,21446,0,134326,6984,230272,84875,33673,51202,23589,34512,5551,28134
2005,409405,114387,0,34265,54815,93202,35365,0,171165,34300,19129,0,123210,10755,238240,79926,28412,51513,28790,33216,7764,24090
2006,434776,109163,9668,28719,60791,97918,68358,0,178309,61921,20864,35495,106921,7419,256467,97787,39123,58664,36451,37256,5235,31103
2007,466153,124236,4517,28789,85010,90541,51858,0,199896,39905,14355,24004,151662,6571,266257,75622,23377,52245,30306,41221,4733,35658
2008,508763,150389,3684,27891,111303,112530,9571,0,241950,88502,18640,69192,140981,11581,266813,82853,23023,59830,40687,40791,6201,33502
2009,653901,187072,12621,38005,121249,156241,9694,0,314853,119673,31796,80366,169403,23461,339048,167333,54850,112484,72820,91307,19422,68103
2010,753399,243095,3448,46743,184045,191629,10425,0,367682,166474,76375,76953,168903,32305,0,187434,56619,130815,87598,105096,25444,75188
2011,765497,231934,14331,37247,158051,37242,12118,0,350303,102989,35985,60267,205396,41918,415194,203279,57912,145367,87011,103814,30843,72971
2012,1492025,254308,2909,35886,160332,177267,16341,1239,687248,222674,94215,123267,250588,213986,804777,206133,65584,140549,89613,225593,52520,173074
2013,2226220,253932,22050,47552,178974,4314,17066,1122,1336997,769330,151246,609355,333606,234060,889223,253761,112322,141439,75351,186985,43221,143764
