year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1995,98633,5495,687,0,1875,0,80798,0,43304,16681,0,3982,0,1034,0,0,0,0,0,55329,18903,4283,14620,3151,915,579,291
2,1996,108500,6532,1553,0,2293,0,88874,0,42080,15875,0,2568,0,2267,0,0,0,0,0,64190,24569,4535,20034,3535,-2201,718,-2919
3,1997,106835,6092,733,1034,2383,0,88245,0,47272,12363,0,2150,0,595,11554,0,0,22352,0,59563,22949,3815,19134,892,-4597,0,-4597
4,1998,101139,7023,990,0,2006,0,86337,0,37785,21182,0,2202,0,3042,0,0,0,0,0,63354,21605,3413,18193,-2668,-12257,0,-12257
5,1999,89754,4462,690,0,1934,0,83752,0,38109,22776,1220,1616,497,0,0,0,0,0,0,51645,20750,3016,17733,737,-11716,0,-11716
6,2000,47053,11145,3133,730,1350,0,34425,0,17382,7923,0,3890,0,0,0,0,0,0,0,29672,20293,2885,17408,2851,-21962,0,-21962
7,2001,40185,4951,1472,612,411,0,34179,0,11447,2826,542,1134,0,0,8621,0,0,0,0,28738,11069,1786,9283,1423,-53,0,-788
8,2002,39536,4719,422,770,405,0,33822,0,10072,2859,476,906,0,0,7213,0,0,0,0,29465,12073,1909,10165,1941,973,0,949
9,2003,39338,4828,0,1067,512,996,33515,0,8123,3018,398,732,0,0,5106,0,0,0,0,31215,13289,2230,11059,2688,1930,0,1930
10,2004,38502,3350,0,784,487,995,33506,0,6176,3240,356,1179,0,0,2936,0,0,0,0,32326,13042,2220,10822,2035,1682,409,1200
11,2005,38173,2692,0,659,455,961,33951,0,5513,3707,488,1733,0,0,1731,0,0,0,74,32661,13500,2396,11104,2633,2029,511,1428
12,2006,38364,2726,636,718,477,948,34179,88,5994,4354,627,3727,0,0,0,0,1236,0,404,32370,14359,2628,11731,3136,2931,877,1900
13,2007,39720,3300,1934,550,513,895,35468,57,8361,4021,721,2043,0,1257,3951,0,0,0,388,31360,15332,2829,12503,3888,3358,919,2279
14,2008,37917,3581,1319,724,671,823,33459,55,8205,4494,744,2447,0,1303,3106,0,0,0,605,29712,16932,3170,13763,3940,3331,975,2185
15,2009,39892,3527,702,600,591,867,35472,26,7501,4765,984,2452,0,1330,1724,0,0,0,1012,32391,17810,3457,14354,2492,2373,674,1580
16,2010,39540,3729,882,714,597,829,34965,18,7774,3927,656,2116,0,1156,2521,0,0,0,1326,0,14825,2923,11901,1356,1146,345,741
17,2011,37256,4507,687,710,520,780,31966,3,6591,3998,719,2416,0,0,1419,0,0,0,1174,30665,15289,2874,12414,2014,1910,399,1511
18,2012,41102,5647,1360,821,590,988,33410,0,7280,4802,977,3130,0,0,898,0,0,0,1580,33822,17857,3368,14490,2929,2927,1103,1824
19,2013,42605,5693,1425,1013,761,1040,34776,0,8682,5305,1001,3506,0,798,1858,0,0,0,1518,33923,17761,3246,14515,2341,2029,602,1427
