year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1996,245841,7023,5830,0,0,0,1,0,71923,12127,0,1675,0,52,0,0,0,0,0,173917,42543,0,42543,41005,37323,334,36988
2,1997,259664,8722,7672,0,0,0,0,0,60315,13594,0,3052,0,159,0,0,0,0,0,199349,61141,0,61141,55934,53539,504,53035
3,1998,417308,1048,74,0,0,0,0,0,55922,16114,0,2110,0,2630,0,0,0,0,0,361386,41350,0,41350,35484,28540,0,28540
4,1999,394240,61611,44,0,0,0,0,0,73767,43800,0,25810,0,0,0,0,0,0,0,320472,39551,0,39551,35992,26138,488,25649
5,2000,370395,1443,54,0,0,0,0,0,47508,30115,0,1516,0,0,0,0,0,0,0,322888,28162,0,28162,24379,17508,0,17452
6,2001,354061,1757,215,0,0,0,0,0,57555,51765,10,3641,14981,21553,0,0,0,0,0,296505,36177,0,36177,32463,22165,0,22158
7,2002,369439,1061,41,0,0,0,0,0,41483,38578,7,1534,16373,20664,0,0,0,2905,0,327956,48179,0,48179,44304,32012,0,32012
8,2003,379713,1628,0,0,0,345112,0,0,21656,21656,59,2444,1514,0,0,0,0,0,0,358056,49130,4103,45027,43794,39882,0,39882
9,2004,424989,16439,0,0,0,378967,0,0,14863,14863,13,764,245,0,0,0,0,0,0,410126,56619,2227,54392,54392,53080,0,53080
10,2005,579455,29927,0,0,0,507825,0,0,129890,129890,705,9115,49,0,0,0,0,0,0,449565,50735,3573,47163,44443,43744,0,43744
11,2006,588496,3391,1757,0,0,542241,0,0,94508,19757,9,4606,192,0,74751,0,0,0,0,493988,80291,5231,75060,75060,67111,0,67111
12,2007,563130,2092,116,0,0,519569,0,0,74457,18012,0,1397,2460,14111,56445,0,0,0,0,488673,16537,0,16537,15377,8624,44,8580
13,2008,410468,12102,904,0,0,360096,0,0,54934,15993,0,2894,118,12981,38941,0,0,0,0,355534,49315,0,49315,46478,41646,419,41227
14,2009,499464,9819,9145,0,0,449596,0,0,47616,20272,0,6290,309,13673,27344,0,0,0,0,451848,87454,0,87454,81554,77150,12,77138
15,2010,639507,3008,2290,0,0,598077,0,0,44803,23285,0,9762,448,13074,13074,0,0,0,8444,594704,141208,0,141208,131552,129077,-77,129153
16,2011,419322,9135,7821,0,0,0,2628,14,17113,17111,7,4630,170,12304,0,0,0,0,0,402209,58251,0,58251,56370,55436,38,55398
17,2012,432636,41083,39506,0,0,0,3599,0,39734,39734,0,38502,72,0,0,0,0,0,0,392901,44492,0,44492,12039,11642,3084,8558
18,2013,506420,13060,11925,0,0,107652,3741,0,145071,33011,119,3186,65,29641,112060,0,0,0,0,361350,29986,0,29986,17816,15135,0,15135
