"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127"
"No.Consolidado","ACTIVO","Activo total","Activo Corriente","Efectivo","Inversiones CP","Acts Fin Vlr Ra p/GanPer","Acts Dis p/Venta CP","Actv Finan Mant Vcmt CP","Prov inv fin y det vl CP","Cuentas p/Cob p/Oper Seg","Cargas aplic s/ polizas","Cuent p/Cob Suj Ries Seg","Cred Segur Direc Reaseg","Otr Cuentas p Cobr CP","Cue co pro fin der p/neg","Cue co pro fin c/fin cob","Cue cob por macro-cobert","Gast pagados por antic","Activo no Corriente","Inversiones Financieras","Activos Dispo p/Venta LP","Activos Fin Mant a Venci","Invers al Metodo d/Parti","Prov inv fin y det vl LP","Creditos Comerciales LP","Inversiones Materiales","Prop, planta y equi neto","Intangibles y agio","Imp Renta y Part Dif Act","Otros Activos LP","Credito Mercantil","","Contingentes Deudoras","Cuentas de Orden Deud","","PASIVO","Pasivo + patrimonio neto","Pasivo total","Pasivo Corriente","Impuestos por Pagar CP","Cue pg pro fin der p/neg","Cue pg pro fin c/fin cob","Cue pag por macro-cobert","Deudas Financieras CP","Cuentas Pagar Inter Auxl","Cuentas Pagar Asegurados","Ctas Pagar Reaseg/Coaseg","Cuen por pag diversas CP","Reservas Tecnicas","Pasivo no Corriente","Deudas Financieras LP","Reservas Tecnicas p/Sini","Reservas Tecnicas Primas","Cuen por pag diversas LP","Provisiones LP","Otros Pasivos","Ganacias Diferidos","Imp Rent y Part Dif Pasi","Patrim neto consolidado","Int min(part no control)","Patrimonio neto","Capital social","Capital Adicional","Resultados no Realizados","Exced de Revaluac Volunt","Reservas Totales","Ajustes al patrimonio","Otras Reservas","Acciones en Tesoreria","Utilidades retenidas","Utilidad del Ejercicio","","Contingentes Acredores","Cuent Orden Acreedoras","","EST RESULT","Meses","Origen de los datos","","Total Primas Netas Ejerc","Primas de Seguros","Reseguros Aceptados","Aj Resu Tec Prim Seg/Res","Total Primas Ced Net Eje","Primas Cedidas","Ajus Reser Tec Prim Cedi","Premios Ganados","Siniestralidad Neta","Siniestros Primas Seguro","Siniestro de Reseg Acept","Siniestro d/Prima Cedida","Recuperos y Salvamientos","Ajuste Res p/Ries Catast","Resultado Bruto","Comisiones","Comision s/Prima d/Segur","Comis s/Reseguro Aceptad","Comision s/Primas Cedida","Otros gastos (ingr) oper","Ingresos Tecnicos Divers","Gastos Tecnicos Diversos","Resultado Tecnico","Resultado de Inversiones","Otros Ingresos","Otros Gastos","Gastos administrativos","Res Oper Ordin + Otros","Ajuste p/Reduc Valor Mer","Result por Posic Monet","Resultado antes impuest","Partic Adm/Estatutaria","Impuesto a las gananc","Util Liq Antes It Extr","Resultado Extraordinario","Result Antes Inter Minor","Int min(part no control)","Ganancia/perdida neta","","CANT ACCION","Total de acciones outst","","DIVERSOS","Fecha del Balance","Fecha da la Moneda","Fecha ult rectificacion","Formato del balance","Consolidado"
"X12.31.2005","","624561","102911","48145","35190","0","0","0","0","7439","0","1238","273","10508","0","0","0","117","521650","516769","0","0","0","0","0","0","4526","0","0","355","0","","-","-","","","624561","561728","45609","4253","0","0","0","0","524","858","192","0","39780","516119","0","0","508457","0","0","0","1143","6519","62833","0","62833","55225","7121","0","0","0","0","0","0","487","0","","-","-","","","12","divulgado","","1426","11468","0","-10042","645","629","16","781","3129","3405","0","-276","0","0","-2348","2454","2454","0","0","-67","0","-67","-4869","8573","11305","-2732","3218","487","0","0","487","0","0","487","0","487","0","487","","","44781","","","12/31/2005","12/31/2005","11/26/2010","SegurPeru","No"
"X12.31.2006","","659071","106349","28845","55757","0","0","0","0","5448","0","456","3777","11823","0","0","0","243","552722","496380","0","0","0","0","0","52458","3251","633","0","0","0","","-","-","","","659071","577261","47384","7278","0","0","0","0","600","753","262","0","38491","529877","0","0","528898","0","625","0","354","0","81810","0","81810","69252","0","0","0","49","0","0","0","0","12509","","-","-","","","12","divulgado","","36398","76422","0","-40024","2419","2336","83","33979","36263","37566","0","-1303","0","0","-2284","16336","16336","0","0","83","1055","-972","-18538","51702","84567","-32865","20486","12679","-83","0","12596","0","0","12596","-86","12509","0","12509","","","56910","","","12/31/2006","12/31/2006","12/1/2010","SegurPeru","No"
"X12.31.2007","","765090","129727","70511","42659","0","0","0","0","6603","0","300","80","9217","0","0","0","356","635363","582813","0","0","0","0","0","48309","3488","752","0","0","0","","-","-","","","765090","600641","46089","6741","0","0","0","63","299","903","194","0","37889","554552","0","0","553903","0","299","0","350","0","164449","0","164449","73214","0","0","0","1227","0","0","0","0","90008","","-","-","","","12","divulgado","","26401","92114","0","-65713","2401","2461","-61","24001","45928","47746","0","-1818","0","0","-21928","18836","18836","0","0","-76","1660","-1736","-40839","156319","189671","-33351","24555","90925","-652","0","90273","0","0","90273","-264","90008","0","90008","","","63743","","","12/31/2007","12/31/2007","11/29/2010","SegurPeru","No"
"X12.31.2008","","817310","140927","35141","75806","0","0","0","0","18442","0","0","135","10317","0","0","0","1085","676383","603900","0","0","0","0","793","54086","16610","13","0","982","0","","-","-","","","817310","688325","93363","7911","0","0","0","11499","512","1465","208","0","71766","594962","0","0","593507","0","876","0","579","0","128986","0","128986","139285","0","0","0","9408","0","0","0","0","-19707","","-","-","","","12","divulgado","","75469","162777","0","-87308","3475","3545","-70","71994","85855","88487","0","-2632","0","0","-13861","18898","18898","0","0","-553","1709","-2262","-33312","33258","155965","-122707","26042","-26096","680","0","-25415","0","0","-25415","5709","-19707","0","-19707","","","131830","","","12/31/2008","12/31/2008","11/29/2010","SegurPeru","No"
"X12.31.2009","","1011228","195010","51515","103957","0","0","0","0","23734","0","0","313","13508","0","0","0","1983","816217","731070","0","0","0","0","0","66675","17205","70","0","1197","0","","-","-","","","1011228","868530","150418","11787","0","0","0","19525","1448","2216","164","0","115278","718112","0","0","716296","0","1444","0","372","0","142698","0","142698","146709","0","5695","0","0","0","0","0","-10848","1143","","-","-","","","12","divulgado","","141772","229458","24650","-112336","3660","3701","-41","138112","142572","147301","363","-5091","0","0","-4460","21997","18123","3874","0","-1643","2384","-4026","-28100","60204","118169","-57966","32775","-671","0","0","-671","0","0","-671","1814","1143","0","1143","","","131830","","","12/31/2009","12/31/2009","11/29/2010","SegurPeru","No"
"X12.31.2010","","1419474","571256","165905","-","-","-","-","-","25519","-","0","1221","8016","-","-","-","1660","-","-","-","-","-","-","0","72396","15847","518","-","575","-","","-","-","","","1419474","1182598","228434","36436","0","0","0","42315","1705","1776","2095","0","144107","954164","0","0","951363","0","2311","0","490","0","236877","0","236877","140286","0","-","-","-9280","-","-","-","-","-8688","","-","-","","","12","divulgado","","160179","385695","53530","-279046","5391","5761","-370","154788","173415","176924","768","-4277","0","0","-18627","37673","29425","8248","0","0","3368","-5790","-58722","89370","133727","-44357","39336","-","-","-","-","-","0","-","-","-","-","-8688","","","131830","","","12/31/2010","12/31/2010","4/3/2013","SegurPeru","No"
"X12.31.2011","","1495049","458362","160558","-","-","-","-","-","28473","-","0","283","8820","-","-","-","691","-","-","-","-","-","-","0","80789","15086","986","-","1290","-","","-","-","","","1495049","1341726","237583","27319","0","0","0","45857","1903","143","2408","0","159954","1104143","0","0","1100759","0","2716","0","668","0","153323","0","153323","142040","0","-","-","-12755","-","-","-","-","37925","","-","-","","","12","divulgado","","208953","395505","50231","-236783","4876","16145","-11269","204077","180573","173555","11058","-4040","0","0","23504","48619","40858","7760","0","0","4508","-6618","-27225","106548","226202","-119654","41397","-","-","-","-","-","0","-","-","-","-","37925","","","141830","","","12/31/2011","12/31/2011","6/25/2012","SegurPeru","No"
"X12.31.2012","","1797743","406996","34391","-","-","-","-","-","28645","-","0","325","16435","-","-","-","2133","-","-","-","-","-","-","0","123833","15164","6459","-","2038","-","","-","-","","","1797743","1602173","233125","21403","0","0","0","20786","2076","160","2896","0","185803","1369049","0","0","1365862","0","2653","0","534","0","195569","0","195569","170401","2429","-","-","14515","-","-","-","-","12175","","-","-","","","12","divulgado","","223177","443105","50564","-270492","9454","16432","-6979","213723","205687","214196","0","-6840","-1669","0","8037","50343","42542","7801","0","0","4269","-7555","-45592","106971","199210","-92240","49203","-","-","-","-","-","0","-","-","-","-","12175","","","165866","","","12/31/2012","12/31/2012","8/2/2013","SegurPeru","No"
"X12.31.2013","","2139664","322515","40035","-","-","-","-","-","3728","-","0","1199","5235","-","-","-","3598","-","-","-","-","-","-","-","226385","15627","9906","-","4747","-","","-","-","","","2139664","1948263","291350","22749","0","0","0","69674","1899","18","1623","0","195387","1656913","0","0","1651876","0","3430","0","1606","0","191401","0","191401","167777","2391","-","-","31513","-","-","-","-","12869","","-","-","","","12","divulgado","","231568","429857","40390","-238679","10186","9739","447","221382","232937","228033","13225","-8321","0","0","-11555","39262","33350","5912","0","0","3452","-7736","-55101","123412","213894","-90482","55443","-","-","-","-","-","0","-","-","-","-","12869","","","165866","","","12/31/2013","12/31/2013","3/11/2014","SegurPeru","No"
