"year","","","","","","","","","","","","","","","","","","","","","","","",""
"1",1997,371954,269110,87329,0,NA,13,12562,0,313963,58174,1,1,1,46511,230667,1,57990,1,NA,1,1,1,1,4156
"2",1998,472085,288690,78692,18242,NA,2,30722,19460,404677,86516,1,1,1,17433,0,1,67407,2,NA,9,2,7,2,1839
"3",1999,577399,338739,76135,0,NA,6,39369,0,491207,104126,1,1,1,36282,0,1,86191,6,NA,1,1,1,1,5549
"4",2000,649082,265687,87574,0,NA,7,37842,0,559444,90742,1,1,1,35658,0,1,89638,5,NA,1,1,1,1,3587
"5",2001,676710,266251,103717,0,NA,8,34973,0,576261,53148,2,2,2,30460,0,2,100449,4,NA,12,9,2,6,-3974
"6",2002,785694,265982,112642,5700,NA,9,33496,0,683032,79185,2,2,2,17538,0,2,102661,11,NA,10,8,3,10,2170
"7",2003,811844,231568,103921,3355,NA,11,32790,0,698341,83126,2,2,2,13922,0,2,113503,12,NA,11,6,4,9,4243
"8",2004,780988,209552,78198,3388,NA,10,33001,0,661728,69780,2,2,2,8386,0,2,119261,3,NA,8,3,9,3,5889
"9",2005,274304,161889,51319,1797,NA,12,26154,3021,151730,89783,2,2,2,12378,0,2,122575,8,NA,13,10,10,2,7450
"10",2006,297043,175499,44509,1822,NA,14,26447,2789,152309,103426,2,2,2,15660,0,2,144734,10,NA,15,4,5,14,23786
"11",2007,384185,157307,81415,836,NA,4,28967,3924,158175,103231,2,2,2,9281,0,2,226009,7,NA,14,11,11,11,89396
"12",2008,385303,173896,74629,635,NA,3,26749,5908,198003,130007,2,2,2,16455,0,2,187301,9,NA,2,5,6,7,-20600
"13",2009,485327,214965,75534,494,NA,5,35643,7675,251814,147589,2,2,2,726,0,2,233513,13,NA,3,7,8,4,28917
"14",2010,664082,320352,55929,20,NA,1,38897,6964,307028,186808,2,2,2,927,0,1,357054,14,NA,4,1,1,5,16992
"15",2011,562467,292177,73531,390,NA,1,39419,7217,302995,180277,2,2,2,2486,0,2,259472,15,NA,5,1,1,8,50298
"16",2012,675571,376615,89999,4,NA,1,52320,14281,391915,252917,2,2,2,9720,0,2,283655,16,NA,7,1,1,12,19011
"17",2013,959965,569559,109783,0,NA,1,66896,26123,669987,442608,2,2,2,35072,0,2,289978,17,NA,6,1,1,13,21839
