year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1992,41072,11393,159,0,7145,0,23144,0,23589,13436,0,5034,0,1178,0,0,0,0,0,17483,56134,49217,6916,-3509,-3317,0,-3317
2,1993,42960,12699,46,3915,7335,0,24907,243,19946,13558,5170,7268,0,1120,0,0,0,0,0,23014,64788,53116,11673,2244,1952,0,1952
3,1994,45889,14027,164,0,8234,0,31741,0,19528,15181,0,8357,0,1548,0,0,0,0,0,26361,71439,56425,15014,2223,1685,0,1685
4,1995,112704,67430,48766,0,11225,0,45139,0,30505,14179,0,3558,0,423,0,0,0,0,0,82199,77480,58923,18556,7833,6473,1887,4586
5,1996,124092,54442,25379,0,15616,0,69022,0,40905,19666,0,1733,0,1644,0,0,0,0,0,83187,90308,70796,19513,4382,6025,1706,3960
6,1997,126277,38300,1195,0,17757,0,85649,0,42679,25125,0,2084,0,7192,0,0,0,0,0,83598,97662,75081,22581,3671,2923,1519,1276
7,1998,135618,49756,3124,0,23760,0,83672,0,46410,28694,0,2326,0,4783,0,0,0,0,0,89208,130681,103261,27420,7096,6793,676,5867
8,1999,149192,54852,378,0,24760,0,91798,0,59482,36169,0,3271,0,6318,0,0,0,0,0,89710,150665,120322,30343,4232,3611,1297,1834
9,2000,148462,53834,4809,0,21621,0,92387,2235,60551,36905,0,4596,0,4488,19327,0,0,4318,0,87911,175360,139193,36167,1600,771,446,160
10,2001,167492,69782,0,40039,28749,5,96362,1343,60854,47570,22833,7726,5567,0,4192,0,0,0,9092,106639,253306,194199,59107,19190,19344,5801,11394
11,2002,164254,69791,0,40086,25916,5,93978,466,59877,41930,29069,3453,70,0,9112,0,0,0,8835,104377,245079,189353,55726,14310,12749,3568,7861
12,2003,177487,79791,1398,43454,30180,5,94503,3188,77879,51741,33750,3971,72,10227,13022,3334,0,0,9782,99608,244234,196440,47794,3720,5261,1588,3085
13,2004,174330,85048,331,47606,33081,5,86231,2751,79762,49159,28649,3731,30,15130,20025,1693,0,0,8884,94568,237669,186673,50996,5575,4033,1315,2231
14,2005,186428,99559,797,49488,44507,4,84701,1954,99413,68225,37227,2933,108,24009,22697,776,0,0,7716,87015,274465,220434,54031,4542,349,237,24
15,2006,185729,96674,1725,50300,38393,4,87439,1611,88868,63690,33993,5143,106,21770,16612,369,0,0,8196,96861,318290,245447,72842,12021,8629,2496,5208
16,2007,221824,98636,127,45993,44072,4,122117,1067,106171,73911,42603,4767,133,21332,17682,0,0,0,14578,0,334601,261058,73543,9180,6956,2249,4708
17,2008,244715,100765,2909,46754,44101,8209,132498,1099,121575,80602,47161,1370,474,27558,22456,0,0,0,17251,123140,333801,266870,66931,13887,10819,3559,7260
18,2009,267718,114036,988,52371,55505,0,142678,8215,130654,91775,54789,1995,1845,27955,18715,0,0,0,18865,137064,408595,322272,86323,22013,18737,6292,12444
19,2010,280380,123051,2043,48112,67442,0,146244,8364,137603,84780,61962,1831,1740,14907,32586,0,0,0,18958,142778,458502,358390,100112,25413,16961,5443,11518
