"year","","","","","","","","","","","","","","","","","","","","","","","",""
"1",2003,112506,96443,17770,2,NA,11811,4252,0,83592,55758,2,2,2,225,0,0,3,4,NA,33299,2,943,-314,-202
"2",2004,116262,70735,21361,2,NA,29139,10566,1677,86399,59103,2,2,2,0,0,0,4,3,NA,30741,3,-7453,-155,-5224
"3",2005,60532,10839,51,2,NA,49445,0,0,9460,9460,2,2,2,437,0,0,11,5,NA,18205,5,778,227,971
"4",2006,62481,7760,599,2,NA,48678,0,0,12721,12721,2,2,2,37,0,0,10,2,NA,0,4,-678,-111,-635
"5",2007,45796,40685,40,1,NA,0,0,0,4708,4708,1,1,1,0,0,0,9,1,NA,1793,1,-5878,0,-5878
"6",2008,39014,34080,55,1,NA,0,0,0,4511,4511,1,1,1,0,0,0,8,1,NA,0,1,-3294,0,-3294
"7",2009,38360,28790,23,1,NA,0,3,0,5205,5205,1,1,1,0,0,0,7,1,NA,0,1,-2955,0,-2955
"8",2010,35681,26750,18,1,NA,0,2,0,5289,5289,1,1,1,0,0,0,5,1,NA,0,1,-1312,0,-1312
"9",2011,32526,17978,20,1,NA,0,0,3936,2003,2003,1,1,1,0,0,0,6,1,NA,0,1,1713,0,1713
"10",2012,27789,14953,3201,1,NA,6513,0,3975,2090,2090,1,1,1,0,0,0,2,1,NA,0,1,826,0,826
"11",2013,25440,5062,410,1,NA,15227,0,3526,41,41,1,1,1,0,0,0,1,1,NA,0,1,-1753,0,-1753
