"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","V38","V39","V40","V37","V47","V48","V49","V50","V51","V57","V71","V72","V73","V79","V85","V86","V91"
"1",1992,104945,46133,19,1,24012,1,58651,0,69878,61003,1,7041,1,14,1,1,1,1,1,7,122419,94455,27964,6443,-15378,1493,-16870
"2",1993,115088,57467,5,10,29671,2,57621,0,74933,59924,6,47234,2,2,1,1,1,1,1,9,139112,106289,32823,19158,6558,1522,5036
"3",1994,116391,63391,8,1,35020,2,52974,0,67736,59043,1,4015,1,12,1,1,1,1,1,14,147162,113387,33775,8240,-4007,2309,-6316
"4",1995,162132,73399,3,7,44895,2,88733,0,84092,78296,3,6582,2,16,1,1,1,1,1,23,139865,113015,26850,2471,-777,2576,-3354
"5",1996,165606,80589,15,9,51555,2,85017,0,93677,87767,15,3227,1,20,1,1,1,1,1,22,116398,92773,23625,2066,-3468,2605,-6072
"6",1997,144907,66935,7,8,28624,2,77972,0,81729,76810,2,4275,1,18,1,1,1,1,1,18,127752,108202,19549,882,-8718,0,-8718
"7",1998,144484,73500,2,12,34174,2,70984,0,74705,70564,1,4630,1,13,1,1,1,1,1,20,137874,106684,31189,12303,6082,0,6082
"8",1999,125964,58267,9,1,24841,2,65844,0,55829,55829,1,4092,1,9,2,2,2,2,2,21,94598,70996,23601,4304,349,0,349
"9",2000,118892,55782,4,1,19440,1,61857,0,55679,53379,1,2511,1,8,13,2,2,3,2,19,67626,53483,14143,-4150,-6906,0,-6906
"10",2001,118984,60645,16,16,14584,1,57675,0,63885,59346,8,2780,2,7,2,1,1,2,2,16,62373,51368,11005,-15,-3982,0,-3982
"11",2002,111742,48376,20,14,17356,1,55919,0,54303,28497,18,6185,2,4,12,1,1,2,2,17,71579,56762,14817,4569,1479,0,1479
"12",2003,104671,44130,1,13,16052,2,53617,0,53263,33186,4,6388,2,2,8,2,2,2,2,15,67110,60072,7038,-3203,-6212,0,-6212
"13",2004,81478,27177,1,4,11806,2,50271,0,38285,21690,5,3103,2,1,5,2,2,2,9,11,40207,37310,2897,-4391,-7997,0,-7997
"14",2005,79372,31308,1,5,12790,2,46134,0,40224,8503,13,2009,2,1,14,2,2,2,8,8,50857,44089,6768,339,-2423,0,-2423
"15",2006,80689,33789,14,2,17384,2,43766,0,39537,16280,17,1193,2,10,11,2,2,2,7,10,69380,60503,8877,1009,-29,-173,208
"16",2007,76548,34418,11,3,16368,2,42130,0,31339,15153,14,1858,2,6,2,2,3,2,6,13,84880,67333,17547,7789,7153,946,5857
"17",2008,79011,36836,6,20,21590,2,42175,0,35665,21853,19,1417,2,21,3,2,2,2,5,12,91179,74991,16188,4682,2154,260,1798
"18",2009,231025,62072,21,6,33906,2,168952,0,51881,33251,16,14392,2,3,9,2,2,2,4,3,106890,76455,30436,15825,13818,2006,11069
"19",2010,255113,84891,17,15,44581,2,170128,0,90630,60968,7,12205,2,5,10,2,2,2,3,1,123467,94641,28827,8540,6685,1448,4700
"20",2011,338016,125132,10,17,67650,2,212727,0,161559,93304,9,11271,2,19,6,2,2,2,10,2,149685,124322,25364,26239,23094,0,16048
"21",2012,361169,95653,18,18,52361,2,265239,0,161908,81207,12,6915,2,11,4,2,2,2,11,4,147935,119211,28723,5555,1171,140,1031
"22",2013,484620,99396,13,19,42193,2,384916,0,200060,194903,10,6281,2,17,15,2,2,2,2,5,141468,111078,30389,10879,853,257,596
"23",2014,470687,93220,12,11,40624,2,377412,0,182248,87502,11,5609,2,15,7,2,2,2,12,6,126680,97209,29471,7393,-1863,362,-2225
