year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1996,112040,95710,2316,0,75985,0,6796,0,19413,14135,0,10705,0,936,0,0,0,0,0,92626,21721,10749,10972,5193,1467,0,1467
2,1997,200952,134504,867,0,106296,0,26125,0,95556,49747,5177,13922,0,6506,10102,0,0,35162,0,105396,69566,42835,26731,16143,5178,162,4988
3,1998,312897,169730,1245,0,141075,0,53188,0,174605,81949,0,12970,0,24515,0,0,0,0,0,127643,71371,42885,28487,7804,3855,1164,2487
4,1999,391340,220227,1779,0,171167,0,61661,0,264127,116231,0,26671,0,33025,106469,0,0,0,0,127213,90756,61622,29135,16206,-5857,0,-1198
5,2000,391860,244147,3025,0,200730,0,59724,70047,314804,91694,0,38281,0,16221,0,0,0,0,0,77056,77746,59489,18257,-9587,-37422,258,-37823
6,2001,404161,263439,6220,41038,211874,0,51885,70068,320733,77308,32477,20284,4072,2948,209023,0,0,31554,0,83428,98537,64852,33685,6635,-11557,-10488,-1069
7,2002,329197,181008,6762,37095,117889,0,53994,57631,279051,67164,30751,27247,0,9165,188432,0,0,21959,0,50145,86360,53902,32457,4767,-14560,0,-14560
8,2003,288276,122729,0,21023,95055,32752,51854,56149,233920,59217,29531,24879,0,0,135656,0,0,20185,0,54356,69618,30651,38967,5419,1075,0,1075
9,2004,296958,119347,0,23816,90944,31999,51973,54558,227486,56404,21280,15530,0,0,129897,0,0,19676,1275,69472,62890,33665,29225,7230,16171,0,16171
10,2005,254061,87304,0,11479,70086,37442,48797,53355,190073,50551,16534,13102,0,0,114162,0,0,14578,1231,63988,51955,25701,26254,3108,-635,0,-635
11,2006,235751,79988,2520,7863,65096,35983,49327,47723,167257,66109,12770,50050,0,0,86298,1632,0,13219,0,68494,52025,20782,31243,7070,10789,1284,9077
12,2007,223067,64472,2581,7517,48882,60156,45525,42368,143884,26810,8278,15739,0,0,97519,0,0,16510,0,79183,57065,27052,30012,6189,12863,1098,11572
13,2008,233294,59051,3990,6621,44833,78204,43108,36832,154414,28607,7058,13892,0,7658,68572,0,20348,32477,0,78881,61385,28501,32884,4485,5151,-881,6032
14,2009,363536,98002,13092,37975,36848,58228,49431,38225,257409,130629,51410,60087,0,19132,69391,4095,14795,22577,11425,106127,83603,42343,41259,5085,13656,-1630,15286
15,2010,563484,273347,29582,78867,131596,19771,57434,42385,396862,223726,100716,85003,8497,29510,56821,23934,55963,0,32423,0,271623,165646,105977,56294,61548,10802,38536
16,2011,610222,288791,23512,74478,158985,0,82622,39315,428908,172227,34816,53758,2,20954,77102,26559,50231,0,29066,181313,319000,195682,123317,46177,52011,17215,34795
17,2012,873501,534454,33601,54862,396574,0,109071,40473,669513,419525,65012,44449,0,123722,191242,37399,222,0,21125,203987,389671,280057,109614,28393,62161,21843,40318
18,2013,1073942,607852,47111,68019,417522,0,122705,43767,788008,454248,110357,200078,0,143812,280950,30301,0,0,22509,285934,559215,386391,172824,87636,70769,22218,48551
