"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","V38","V39","V40","V37","V47","V48","V49","V50","V51","V57","V71","V72","V73","V79","V85","V86","V91"
"1",1995,1609014,420861,4,1,15,2,1187985,0,414233,287504,15,74839,1,11,1,1,1,3,1,11,1125944,795002,330942,143604,194871,51772,143099
"2",1996,1588371,347110,3,1,1,1,1190575,0,336170,218991,1,64324,1,13,1,1,1,1,1,10,451086,337616,113471,68845,103598,28249,75348
"3",1997,1722005,374996,5,2,1,1,1288852,0,359373,244184,16,118383,1,12,1,1,1,1,1,14,1266276,945320,320955,197113,295638,87208,202587
"4",1998,1751504,261231,12,1,19,1,1430510,0,599097,356442,1,198793,1,10,14,1,1,4,1,12,1216862,879598,337264,225192,292008,89092,198370
"5",1999,1814333,326497,9,1,18,1,1429387,0,719483,468496,1,292667,1,15,18,1,1,1,1,8,1228770,878534,350235,246945,308990,98165,206951
"6",2000,1906907,341825,14,3,17,1,1501887,0,787289,407035,10,232495,1,1,2,1,1,1,1,9,1327561,956041,371520,256242,309941,104180,201528
"7",2001,2052795,309287,11,6,16,1,1589216,12154,1023015,440371,18,138600,6,5,3,2,2,5,2,5,1454598,1035322,419276,316949,399180,35414,270245
"8",2002,2038523,273830,10,5,3,1,1634125,11140,1088795,299564,4,88088,15,16,5,1,1,2,2,19,1470426,1040999,429427,315530,373441,117839,246026
"9",2003,2195718,376371,2,9,4,1,1700718,9677,1108960,299958,6,97126,12,2,4,1,1,2,2,7,1496031,1074787,421244,313637,339021,92059,234763
"10",2004,2112414,273548,1,4,2,5,1732855,8302,1257690,266196,17,74768,2,1,12,2,2,2,10,18,1508190,1095914,412276,312050,347069,97413,236826
"11",2005,2528291,297404,1,10,6,6,2135840,5758,1474553,291871,7,112242,11,1,15,2,2,2,13,6,1477843,1106239,371603,270403,284789,64459,209023
"12",2006,2503452,289595,1,7,7,7,2110961,3606,1545330,491744,3,94715,10,1,10,2,2,2,12,20,1576135,1184778,391358,288765,269125,77889,177572
"13",2007,2549968,364498,15,11,12,8,2093280,2597,1540162,505187,14,58238,13,7,13,2,2,2,11,2,1633118,1195224,437894,332949,303471,87443,200687
"14",2008,2402951,302702,13,8,8,9,2009616,1901,1376408,398660,9,73305,5,6,11,2,5,2,9,4,1571758,1100757,471001,374862,327416,93757,217210
"15",2009,2292160,296262,7,12,14,10,1900930,1086,1276478,440393,2,73630,9,9,6,2,9,2,7,3,1528733,1059861,468872,387974,350976,101353,231843
"16",2010,2533045,309719,17,13,13,12,2121385,1150,1351589,462325,5,95123,4,8,8,2,3,2,8,13,1824033,1240296,583737,494664,468674,133684,311537
"17",2011,2493114,307700,16,14,11,11,2086945,889,1250839,364107,8,103670,3,17,9,2,4,2,5,1,1802582,1215624,586958,480479,446602,136903,309698
"18",2012,2594420,323496,6,15,10,3,2148659,639,1261744,423155,11,82982,7,3,7,2,7,2,4,15,1816359,1253967,562393,451844,427103,129852,297251
"19",2013,2969833,360934,8,16,5,4,2470225,748,1516173,459470,12,78301,8,4,16,2,8,2,3,16,2101549,1481558,619992,486504,460652,146067,314585
"20",2014,3489667,392571,18,17,9,2,2941968,473,1862773,615592,13,111503,14,14,17,2,6,2,6,17,2191133,1613827,577306,482899,459246,139751,319495
