"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","V38","V39","V40","V37","V47","Cpp","V57","V71","V72","V73","V79","V85","V86","V91"
"1",2001,211215,85472,6473,1172,NA,8,6634,11881,94923,71396,0,0,0,11732,0,0,116292,150091,NA,42660,5,6,0,450
"2",2002,214844,113556,28122,2747,NA,7,6357,13238,97634,66952,0,0,0,9510,0,0,117209,139379,NA,48458,4,8,0,874
"3",2003,195112,103850,22570,734,NA,5,6208,11662,94434,49910,0,0,0,51,0,0,100678,169214,NA,52207,9,9,0,-4616
"4",2004,140835,64165,15187,852,NA,4,5406,11544,75784,48020,0,0,0,42,0,0,65051,127121,NA,30401,2,2,-6197,-12365
"5",2005,238676,133047,33155,0,NA,6,12416,10336,172368,158937,0,0,0,143,4231,0,66308,138768,NA,24694,7,5,-7809,-20861
"6",2006,177921,109043,34346,84,NA,3,11310,176,111413,71272,0,0,0,0,2176,0,66508,184248,NA,55526,6,4,-9812,11711
"7",2007,166122,90346,30936,0,NA,10,9525,0,102952,72321,0,0,0,7690,990,0,63171,144604,NA,40837,8,7,0,-6564
"8",2008,357706,188479,7457,0,NA,9,11453,3904,270771,148782,0,0,0,18746,0,0,86935,305582,NA,83896,10,10,-636,9263
"9",2009,541771,321261,8172,167,NA,2,27159,5864,416554,246914,0,0,0,39726,0,0,125217,425839,NA,124133,3,3,6302,16725
"10",2010,597194,315558,42209,1082,NA,1,60267,6867,459757,270106,0,0,0,12361,0,0,137438,506043,NA,173754,1,1,11630,26151
"11",2011,642700,369850,36050,1834,NA,1,56467,6848,482207,286382,0,0,0,20023,0,0,160492,545240,NA,173583,1,1,12305,21076
"12",2012,753998,432555,87772,1969,NA,1,73727,7754,562776,346615,0,0,0,18351,0,0,191222,616697,NA,176135,1,1,13454,21770
"13",2013,1214072,763668,74744,1740,NA,1,84870,10589,1019629,638077,0,0,0,4351,0,0,194443,730571,NA,224901,1,1,14983,35034
"14",2014,1312651,828018,105836,1483,NA,1,89574,13697,1077169,690429,0,0,0,990,0,0,235482,817064,NA,268459,1,1,21036,47332
