"year","","","","","","","","","","","","","","","","","","","","","","","",""
"1",2001,150730,32574,5412,0,NA,10,2163,3618,119151,20342,0,0,0,5343,0,0,31579,44179,NA,23514,10,2,0,-9437
"2",2002,211092,32412,4589,1434,NA,2,3246,0,179014,26246,0,0,0,7485,0,0,32079,43676,NA,22511,8,9,0,-12899
"3",2003,284545,47198,5670,1222,NA,3,3948,0,246835,21644,0,0,0,8001,0,0,37710,55097,NA,26570,4,5,0,1502
"4",2004,338798,51284,5219,174,NA,4,3498,0,295826,21862,0,0,0,9400,0,0,42972,59027,NA,28661,5,6,0,5230
"5",2005,408678,69589,17682,143,NA,5,3150,0,359473,23546,0,0,0,8507,0,0,49206,68623,NA,36237,7,8,0,7724
"6",2006,459895,64725,10925,0,NA,7,3974,0,408826,31483,0,0,0,13979,0,0,51069,79292,NA,45093,2,3,2813,9818
"7",2007,478194,80039,22351,0,NA,6,5123,0,421410,41317,0,0,0,16185,0,0,56783,109527,NA,67788,9,10,-3214,15471
"8",2008,509349,81470,17777,0,NA,8,5026,0,456103,50282,0,0,0,20213,6196,0,53247,118852,NA,70318,6,7,-536,7353
"9",2009,567162,112698,26515,0,NA,9,19894,0,500009,69758,0,0,0,13591,0,0,67153,140056,NA,72023,3,4,5107,11988
"10",2010,591858,105752,27417,346,NA,1,20856,0,510157,68373,0,0,0,7832,0,0,81702,147462,NA,73489,1,1,-294,19316
"11",2011,604881,101785,25552,272,NA,1,18452,0,527715,82351,0,0,0,13689,0,0,77165,173229,NA,82736,1,1,368,20055
"12",2012,667720,131279,33723,223,NA,1,25607,0,575277,98356,0,0,0,15052,0,0,92443,227988,NA,112361,1,1,3748,24804
"13",2013,815650,153943,14627,181,NA,1,37871,0,709093,156947,0,0,0,1116,0,0,106557,274123,NA,130645,1,1,-2122,39164
"14",2014,1005994,238819,30526,136,NA,1,44179,0,870202,265037,0,0,0,436,0,0,135792,353252,NA,201846,1,1,5037,55252
