year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,309739,50920,3499,0,28430,0,174488,0,76236,60090,18930,37244,0,0,233502,200609,133900,66709,13148,9046,1563,7482
1993,432428,64438,1244,0,26456,0,222014,42061,137687,95364,20256,69708,0,0,294741,161447,130742,30705,-18919,10808,2754,8054
1994,445357,71452,5323,0,37021,0,209818,0,102990,82671,43145,29991,0,0,342367,178975,118101,60874,12245,64307,3054,61253
1995,434554,45532,2615,0,25176,0,195863,0,76458,61004,17304,34268,0,0,358096,214741,129463,85278,31992,25780,4842,19534
1996,488456,83092,5508,0,26052,0,192452,0,111457,96416,17562,47506,0,0,376999,219572,133255,86318,34086,12963,391,12005
1997,552112,74553,8583,0,26595,0,242735,0,154635,98437,25568,31986,0,0,397477,254616,143683,110934,56818,24897,5441,16811
1998,611330,132316,43695,0,16523,0,296261,7746,188733,137783,22738,74708,0,0,422597,219234,151224,68010,19184,23343,802,21378
1999,671474,212411,55706,24317,20198,0,287919,0,237058,130837,23231,80686,0,0,434416,240732,136627,104105,56876,16234,3701,10630
2000,582141,215790,60190,42401,13164,0,274960,15956,181637,100002,49149,10808,0,0,400503,297597,178017,119580,68729,25080,5637,17046
2001,693016,176121,11985,20157,11985,0,284683,48500,301309,243932,67149,128419,57376,0,391708,251507,165863,85644,19971,7433,4903,2530
2002,584839,126152,19463,25166,8431,0,304211,49813,295450,64097,39354,165,219784,0,289388,254160,136480,117679,76241,33881,3874,26841
2003,2253105,648165,0,60272,56036,223860,984056,376951,1302661,538388,226131,0,630843,39063,950444,1018230,523742,494488,380214,232021,10302,201939
2004,2268141,831085,0,88024,51901,109885,925860,368330,943250,369964,130204,0,431156,42335,1324890,949826,498125,451701,344677,254193,20574,224445
2005,2775373,950090,0,107647,41034,505967,942832,365363,1168961,595470,346526,0,428387,48018,1606412,1213896,507839,706057,569881,451740,115509,286691
2006,1112734,391313,181293,73333,16423,163829,298225,258589,222651,194310,98227,4791,2631,16140,890082,750435,148884,601551,559286,507329,94431,372530
2007,1278455,271749,118055,90827,29326,201162,601286,186754,225115,176043,126283,7935,15572,33499,1053341,737115,264865,472250,402883,432154,74401,326224
2008,1765167,353832,107569,33260,58925,542503,644749,206944,693617,222016,193541,7249,436511,35089,1071551,757757,386983,370774,238002,170090,52847,102121
2009,2075907,675807,307721,111999,64312,518879,660072,193539,693530,323138,178012,110840,301267,10730,1382378,835852,379407,456445,366773,319642,86686,196489
2010,1995206,766693,356990,110950,75522,416598,619515,188118,514145,297586,224674,72912,140416,700,0,1040705,313360,663729,560735,520324,117956,351679
2011,2359238,849295,407344,153404,95642,0,765929,346797,749329,452651,219465,137636,219923,0,1609909,1334293,463756,870537,632957,529389,125901,403489
2012,2246272,680382,229392,220996,117571,0,1000406,279144,973821,518670,247683,156257,312954,0,1272451,1363008,666639,696369,406690,151535,99010,52526
2013,3132853,1595826,922349,294204,134123,0,1012247,325990,1572555,429067,287190,30204,1007358,0,1560298,1738789,922454,816336,553759,354524,169462,185062
