year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cpp,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,2003,18872,363,1,0,NA,0,233,0,11863,0,0,9513,0,0,0,0,0,7008,3161,NA,NA,1433,1297,366,931
2,2004,23260,470,1,0,NA,0,276,0,15418,0,0,12998,0,0,0,0,0,7841,3095,NA,NA,1338,1039,174,865
3,2005,28052,686,69,0,NA,0,186,0,20094,0,0,18083,0,0,0,0,0,7958,4150,NA,NA,1764,1764,623,1141
4,2006,40641,1077,1,226,NA,0,101,0,31690,0,3003,28686,0,0,0,0,0,8951,4992,NA,NA,1631,1631,532,1099
5,2007,50950,497,1,204,NA,0,47,0,36039,0,2293,33746,0,0,0,0,0,14911,6079,NA,NA,1494,1494,482,1012
6,2008,72134,350,43,1293,NA,0,45,0,56464,0,3706,52758,0,0,0,0,0,15670,7954,NA,NA,2867,2867,914,1954
7,2009,61537,2030,1,670,NA,0,65,0,43673,0,2759,40914,0,0,0,0,0,17864,8472,NA,NA,1941,1941,582,1359
8,2010,52090,7643,1,933,NA,0,386,0,34396,0,1125,33272,0,0,0,0,0,17694,8435,NA,NA,957,957,345,612
9,2011,173575,22473,22471,9896,NA,0,448,948,129352,309,7953,47673,72929,0,72929,0,0,44222,13462,NA,NA,541,594,584,10
10,2012,415582,57429,0,48747,NA,0,2448,908,302483,917,24300,93275,181187,0,181187,0,0,113099,43625,NA,NA,4125,2887,1416,1471
11,2013,558825,44785,34397,48911,NA,0,2808,0,433153,114,24013,0,0,0,0,0,0,125673,70164,NA,NA,13581,0,6563,14315
12,2014,611918,38071,0,29164,NA,0,2792,377,462604,144,13763,0,0,0,0,0,0,149314,94949,NA,NA,21949,0,11526,25458
