year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1992,197534,62678,10511,0,18376,0,129299,0,39342,29614,0,7062,0,14711,0,0,0,0,0,158192,200747,101846,98901,-6588,2764,774,1806
2,1993,200338,52133,3501,0,20830,0,140158,0,45962,38056,0,13325,0,21687,0,0,0,0,0,154376,163390,87460,75930,-32834,-30839,1006,-31844
3,1994,206376,56908,7773,0,17346,0,131416,0,30201,29851,0,16242,0,10535,0,0,0,0,0,176175,208485,84946,123539,31543,26294,624,21993
4,1995,201174,51045,2271,0,18222,0,130329,0,16846,16846,0,12404,0,2138,0,0,0,0,0,184328,179636,76454,103182,23257,24882,6940,14562
5,1996,179728,58203,6601,0,18017,0,112935,0,22911,22911,0,16112,0,769,0,0,0,0,0,156817,179802,78197,101604,22775,27381,7867,15590
6,1997,186610,61832,13449,12368,17235,0,114963,0,23756,23756,0,17182,0,436,0,0,0,0,0,162854,235273,78745,156528,78980,34675,9659,20135
7,1998,219975,71972,4786,0,20780,0,133166,0,57221,46361,0,20984,0,765,0,0,0,0,0,162754,189898,82614,107284,6353,6837,1866,4020
8,1999,242845,74305,8643,0,21263,0,138344,0,71178,63076,0,22635,0,20938,0,0,0,0,0,171667,219010,95273,123738,17647,15908,4506,8906
9,2000,228292,48575,3796,5692,18217,0,142046,0,96100,81121,35320,7955,3764,27833,4084,0,0,6877,0,132192,115734,71620,44114,-41131,-40552,-1240,-46991
10,2001,193292,24047,2391,967,10673,0,125991,22514,89336,74835,43917,18388,3664,826,4285,0,0,0,0,103956,89750,51571,38179,-13576,-22324,789,-25416
11,2002,113465,30487,15569,1461,8006,0,47300,21508,90480,76210,45940,20439,2849,2137,10657,0,0,0,0,22984,48134,35894,12240,-24908,-64360,0,-64360
12,2003,99809,17937,0,2120,5505,241,51887,24555,82680,22126,8255,8176,71,0,53803,0,0,1483,3763,17130,76124,46671,29453,-11917,-17825,0,-17825
13,2004,150924,19393,0,4361,5917,233,96892,29716,86008,34709,11500,8674,646,0,45029,0,0,1375,4895,64916,93412,53172,40241,1361,3672,0,3672
14,2005,148608,25850,0,8761,5567,224,86966,30842,80020,33646,9839,11399,0,0,41460,0,0,0,4913,68589,90804,66932,23872,12743,8921,0,8921
15,2006,257038,107986,8798,74910,6879,221,104350,40131,77486,67130,15685,9472,0,0,0,0,6410,0,3946,179551,262776,101516,161260,136956,146785,26724,112314
16,2007,283781,42409,5390,17024,7961,168,157772,69281,68482,48419,21832,7650,8182,0,0,0,4528,0,6388,215299,261263,145596,115666,85638,82330,26190,48549
17,2008,279304,27664,1087,3574,9452,315,152249,83298,111068,66664,33942,10988,0,21734,4663,0,0,2453,16656,168236,139358,129390,9967,-6322,-11940,3482,-16072
18,2009,250393,17987,355,2019,4608,332,141099,75063,117544,53801,26330,9258,0,5974,20121,0,0,2346,17797,132849,86556,114402,-27846,-44709,-44313,684,-45125
19,2010,224476,18248,1218,4324,4446,317,118983,68256,88467,31946,13648,2816,0,5177,15438,0,0,2072,15970,136009,118499,57754,24042,11209,9057,3202,5855
20,2011,193136,10329,452,1295,3809,0,103004,59094,80391,37862,12531,6797,5383,6047,4645,0,0,1870,15070,112745,90361,90770,-410,-14152,-15160,0,-15160
21,2012,295822,47544,24092,7608,9103,0,154934,65511,129269,48075,14595,1315,0,16808,4545,0,2897,1814,4324,166553,130933,93831,37102,11218,10126,-908,11035
22,2013,300721,34668,16002,4489,2758,6153,146314,84932,167877,92398,32440,3775,0,23885,5020,21245,2923,1956,8151,132843,105786,103659,2127,-18404,-26799,3871,-30670
