year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,118957,91299,3244,0,55091,0,27601,0,59289,53698,19512,10091,0,0,58773,138541,109538,29003,3004,19925,8391,7577
1993,63158,38659,660,0,26534,0,21904,0,13744,10577,4894,3283,0,0,48834,52718,40019,12699,759,3970,431,3379
1994,73172,51965,1849,0,24287,0,20224,0,14985,12648,6962,247,0,0,57677,87024,61618,25406,12300,13756,3282,10474
1995,65655,44895,652,0,30153,0,18427,0,14168,13255,4824,6084,0,0,51024,50385,39389,10997,1179,2778,1498,-477
1996,70560,51166,298,0,30267,0,16820,0,18086,18086,3767,9814,0,0,52475,53126,40734,12393,2134,3200,1300,1477
1997,87224,59655,1012,0,34057,0,26628,0,34040,24918,2699,14047,0,0,53184,58604,46013,12590,2478,2990,896,1762
1998,96435,55338,164,0,37328,0,37060,0,33585,24075,1701,11818,0,0,62495,42512,35933,6579,-2046,2,0,2
1999,92352,49922,425,0,26015,0,36923,0,29699,20812,3096,7967,8316,0,62652,44694,36413,8281,263,724,158,507
2000,82161,40577,893,0,23465,0,35407,0,19160,12887,1868,3623,6229,45,63001,43143,33530,9613,644,528,26,492
2001,68567,32977,990,11290,18568,0,33034,0,17429,16678,6908,3015,717,0,51138,38406,29415,8991,-10905,-11434,0,-11434
2002,66466,33141,1226,13249,16706,0,30699,0,12753,12624,9074,2941,129,0,53714,44213,32925,11288,957,1129,0,1129
2003,71043,39099,0,14875,16012,0,28526,0,14739,14739,9530,0,0,0,56303,53211,39001,14210,2896,3617,0,3617
2004,82948,52915,0,21580,18624,0,25903,0,23002,23002,14994,0,0,0,59946,75070,56956,18114,4950,6896,0,6896
2005,100031,60210,0,24060,23544,0,33439,0,34354,32565,21769,0,1789,0,65677,97281,68822,28459,13796,15845,2617,12258
2006,125904,97544,1705,29351,44086,0,25571,0,68529,62111,47879,13157,0,5161,57375,132488,98712,33775,10812,14326,4150,8639
2007,140770,111776,4011,42904,56486,0,24885,0,65943,57746,38982,0,3326,4871,74826,175482,128452,47030,24671,26153,0,26153
2008,197824,156590,4315,57434,76099,1162,35088,0,125029,111289,34092,0,0,13739,72795,207190,153009,54181,25587,28341,7890,17528
2009,481242,420110,25422,35361,256369,0,41634,1422,391381,375440,340054,32228,11615,4327,89860,216292,168979,47313,19091,21326,5939,13186
2010,262666,187651,3407,78424,85966,0,45944,1264,121379,110076,35488,44348,0,11302,0,572365,439427,132938,98515,100254,27411,62691
2011,290242,210052,16232,79192,94828,0,51096,914,149673,125106,41150,68839,22302,0,140569,276198,222488,53710,21971,25269,8774,13598
2012,373631,248316,2200,96087,128039,0,102170,529,177020,126711,32724,61857,29316,20993,196611,308288,237189,71099,24785,29262,11158,18104
2013,542188,281357,1172,114381,136888,0,111755,281,283971,201701,65123,77103,50518,31753,258217,380807,289641,91167,45449,48761,11400,37362
2014,585052,312461,3449,154748,130992,0,112588,418,310028,171100,57658,84971,70442,68486,275024,371552,287302,84250,38057,42572,16549,26023
