year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1997,15395,4678,46,0,3473,0,10717,0,8782,3681,0,1988,0,1486,0,0,0,0,0,6613,5274,6275,-1000,-3500,-2886,0,-2886
2,1998,14785,4622,155,0,2599,0,10164,0,12453,7208,0,5435,0,232,0,0,0,0,0,2332,6148,6135,13,-1313,-2685,0,-3059
3,1999,14173,4026,29,0,3138,0,10147,0,11930,7074,0,1557,0,4392,0,0,0,0,0,2243,4295,2900,1395,332,-485,0,-485
4,2000,14189,4145,616,0,3183,0,10044,0,12019,7711,0,1525,0,4445,0,0,0,0,0,2170,5048,4165,883,29,-1072,0,-1072
5,2001,16227,6692,599,10,3764,0,9534,0,13253,4065,2272,1139,0,653,9000,0,0,0,0,2974,3548,2518,1029,-499,1887,0,1887
6,2002,12761,3514,0,8,2214,0,9248,0,12015,3677,2010,1438,0,0,8174,0,0,0,0,746,3216,3719,-503,-1679,-2220,0,-2220
7,2003,13896,4568,0,798,2555,0,9327,0,11127,3683,2800,744,0,0,7327,0,0,0,0,2768,4595,2538,2057,365,793,0,793
8,2004,12974,4416,0,7,562,0,8557,0,9027,2168,440,712,0,0,6758,0,0,0,0,3946,2929,3384,-455,-1445,-380,0,-380
9,2005,3636,2739,6,7,82,0,897,0,2773,808,383,314,0,111,1878,0,0,0,0,863,57,57,0,-501,-330,0,-330
10,2006,3409,2604,2,7,77,0,805,0,2443,817,235,482,0,99,1552,0,0,0,0,966,0,0,0,-634,-538,0,-538
11,2007,3219,2479,14,6,71,0,741,0,2679,1115,212,808,0,94,1496,0,0,0,0,540,0,0,0,-244,-315,0,-315
12,2008,2601,2256,4,7,75,0,345,0,1623,125,79,46,0,0,1441,0,0,0,0,978,0,0,0,290,401,0,401
13,2009,2466,2237,1,6,71,0,229,0,1447,85,7,78,0,0,1339,0,0,0,0,0,0,0,0,55,94,0,94
14,2010,112,112,4,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,110,0,0,0,112,110,0,110
