year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,2002,150015,17532,12058,0,0,0,4118,0,130,130,0,101,29,0,0,0,0,0,0,149885,20131,9025,11107,4011,-21383,0,-21383
2,2003,163388,22750,0,0,182,0,4764,28,330,330,0,330,0,0,0,0,0,0,0,163058,21351,11003,10348,3575,17599,0,17599
3,2004,168162,25598,0,0,0,136409,6155,0,2796,387,0,383,4,0,2409,0,0,0,0,165365,6094,0,6094,2289,9266,0,9266
4,2005,172698,29028,0,0,0,136757,6914,0,2849,1418,0,612,47,0,1431,0,0,0,0,169849,5086,0,5086,544,14563,286,14277
5,2006,184610,30705,2255,0,0,147506,6398,0,1993,1398,0,668,11,719,595,0,0,0,0,182616,5773,0,5773,531,21229,0,21229
6,2007,186781,27698,14654,0,0,153684,5398,0,1707,1707,0,1136,45,526,0,0,0,0,0,185074,3355,0,3355,-902,16587,217,16370
7,2008,181483,36523,31278,0,0,136314,4564,0,712,712,0,693,19,0,0,0,0,0,0,180771,2885,0,2885,3670,23291,307,22983
8,2009,227521,37355,25626,0,0,183557,4099,0,515,515,0,500,16,0,0,0,0,0,0,227006,2877,0,2877,418,22036,0,22036
9,2010,222862,45094,16659,0,0,173074,3615,0,20200,6623,0,6404,0,0,0,0,13576,0,0,0,3035,0,3035,5770,26879,512,26367
10,2011,322038,37534,9379,0,0,61220,3894,0,30696,21968,0,6040,15929,0,0,0,8178,0,550,291342,3533,0,3533,-1196,35357,0,35357
11,2012,649895,237391,2116,0,0,364509,1462,0,33103,27109,0,27109,0,0,0,0,4357,0,1637,616792,29651,0,29651,139382,276859,6883,269976
12,2013,585377,194074,36409,0,0,377486,1719,0,70189,9798,0,4969,4829,0,0,0,0,0,60391,515188,15382,0,15382,11993,70693,15524,55169
