year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1996,121620,46772,150,0,30805,0,256,0,16068,16038,8254,6238,0,0,105552,40087,33770,6317,1414,23834,522,23297
1997,141041,35897,250,2043,19310,0,307,6857,10139,10076,47,8777,0,0,130902,15626,11409,4217,657,25090,0,25090
1998,185272,47047,30,0,18475,0,235,0,28865,19457,2071,16744,0,0,156407,5402,5854,-451,-4798,24445,0,24445
1999,274261,121303,49,493,76427,0,155,5176,26091,25991,2894,12545,0,0,248170,1784,683,1101,-2851,8436,0,8436
2000,291402,122665,14,523,76468,0,109,4428,28804,28804,9499,8567,0,0,262598,17863,0,17863,15576,14389,0,14389
2001,296224,128303,69,966,76284,0,42,4428,31648,31648,31615,33,0,0,264576,1104,0,1104,315,3113,0,3113
2002,287588,76571,53,751,69674,0,4,1463,25363,923,865,57,1349,23091,262225,541,0,541,-185,1207,0,1207
2003,302049,75749,0,174,69658,163476,40,1169,46601,2549,2491,0,1770,42282,255448,1081,0,1081,352,619,0,619
2004,278601,71065,0,176,69662,163486,49,1169,23184,4732,4677,0,1860,16592,255416,408,0,408,-779,68,0,68
2005,245983,64087,0,178,62559,136684,47,1128,16014,5349,5295,0,2739,7926,229970,90,0,90,-1115,197,0,197
2006,247089,67183,130,275,66355,0,10,363,20630,4191,4188,0,0,16438,226459,165,0,165,-421,236,0,236
2007,229298,57444,123,319,56468,0,22,342,15274,3901,3899,0,0,11373,214024,77,0,77,-369,273,0,273
2008,214017,52670,132,104,51943,0,21,0,20688,3325,3324,0,0,17364,193328,75,0,75,-1321,163,0,163
2009,223891,51375,159,217,50482,0,22,0,21246,1999,1998,0,0,19247,202645,107,0,107,-1812,164,49,115
2010,214989,51183,152,343,48273,0,21,0,21096,2081,2080,0,0,19014,0,114,0,114,-604,120,0,120
2011,197312,2328,143,26,0,0,20,0,14733,2338,2337,1,0,12394,182579,129,0,129,-660,111,0,111
2012,204002,6525,147,30,0,0,41047,0,17158,2321,2321,0,0,14837,186844,161,0,161,-2843,51,0,51
2013,202985,831,145,14,0,0,41654,0,4984,3836,3836,0,0,1148,198002,159,0,159,-2704,14,0,14
