year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1996,121620,46772,150,0,30805,0,256,0,16068,16038,0,8254,0,6238,0,0,0,0,0,105552,40087,33770,6317,1414,23834,522,23297
2,1997,141041,35897,250,2043,19310,0,307,6857,10139,10076,0,47,0,8777,0,0,0,0,0,130902,15626,11409,4217,657,25090,0,25090
3,1998,185272,47047,30,0,18475,0,235,0,28865,19457,0,2071,0,16744,0,0,0,0,0,156407,5402,5854,-451,-4798,24445,0,24445
4,1999,274261,121303,49,493,76427,0,155,5176,26091,25991,0,2894,0,12545,0,0,0,0,0,248170,1784,683,1101,-2851,8436,0,8436
5,2000,291402,122665,14,523,76468,0,109,4428,28804,28804,630,1936,6933,8567,0,0,0,0,0,262598,17863,0,17863,15576,14389,0,14389
6,2001,296224,128303,69,966,76284,0,42,4428,31648,31648,406,172,31037,33,0,0,0,0,0,264576,1104,0,1104,315,3113,0,3113
7,2002,287588,76571,53,751,69674,0,4,1463,25363,923,664,201,0,57,1349,0,0,23091,0,262225,541,0,541,-185,1207,0,1207
8,2003,302049,75749,0,174,69658,163476,40,1169,46601,2549,697,1794,0,0,1770,0,0,42282,0,255448,1081,0,1081,352,619,0,619
9,2004,278601,71065,0,176,69662,163486,49,1169,23184,4732,910,3767,0,0,1860,0,0,16592,0,255416,408,0,408,-779,68,0,68
10,2005,245983,64087,0,178,62559,136684,47,1128,16014,5349,858,4437,0,0,2739,0,0,7926,0,229970,90,0,90,-1115,197,0,197
11,2006,247089,67183,130,275,66355,0,10,363,20630,4191,799,3389,0,0,0,0,2986,13452,0,226459,165,0,165,-421,236,0,236
12,2007,229298,57444,123,319,56468,0,22,342,15274,3901,717,3182,0,0,0,0,2635,8738,0,214024,77,0,77,-369,273,0,273
13,2008,214017,52670,132,104,51943,0,21,0,20688,3325,676,2648,0,0,0,0,478,16886,0,193328,75,0,75,-1321,163,0,163
14,2009,223891,51375,159,217,50482,0,22,0,21246,1999,698,1300,0,0,0,0,499,18748,0,202645,107,0,107,-1812,164,49,115
15,2010,214989,51183,152,343,48273,0,21,0,21096,2081,668,1412,0,0,0,0,530,18484,0,0,114,0,114,-604,120,0,120
16,2011,197312,2328,143,26,0,0,20,0,14733,2338,668,1669,0,1,0,0,0,12394,0,182579,129,0,129,-660,111,0,111
17,2012,204002,6525,147,30,0,0,41047,0,17158,2321,114,2207,0,0,0,0,0,14837,0,186844,161,0,161,-2843,51,0,51
18,2013,202985,831,145,14,0,0,41654,0,4984,3836,143,3693,0,0,0,0,0,1148,0,198002,159,0,159,-2704,14,0,14
